supercell_repeats,device_length_mm,pump_GHz,Idc_A,Ip0_A,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite,minimum_in_band_gain_db,maximum_in_band_gain_db,strict_pass
2600,150.8,12.7,0.00025,0.00025,"[4.0, 8.0]",38.79197585099496,7.299999999999988,31.644885053052377,32.53963743349019,21.644680306797756,4.734255924369673,1.0,1.0,0.9876543209876543,"[(4.899999999999997, 4.899999999999997), (5.499999999999995, 5.499999999999995), (5.649999999999994, 5.649999999999994), (6.599999999999991, 6.599999999999991), (7.199999999999989, 7.199999999999989), (7.299999999999988, 7.299999999999988), (7.449999999999988, 7.699999999999987), (7.7999999999999865, 7.7999999999999865), (7.899999999999986, 7.999999999999986)]",0.7999999999999972,True,17.147295544197203,38.79197585099496,False
1400,81.2,12.6,0.00045,0.00025,"[4.0, 8.0]",42.43576798675993,7.899999999999986,33.67392976030974,33.908654780473114,23.258158819775247,4.493971999797334,1.0,1.0,0.9876543209876543,"[(5.499999999999995, 5.499999999999995), (5.749999999999994, 5.749999999999994), (5.849999999999993, 5.849999999999993), (7.2499999999999885, 7.2499999999999885), (7.549999999999987, 7.549999999999987), (7.699999999999987, 7.699999999999987), (7.7999999999999865, 7.7999999999999865), (7.899999999999986, 7.899999999999986)]",0.3999999999999986,True,19.17760916698468,42.43576798675993,False
2200,127.60000000000001,12.9,0.00025,0.00025,"[4.0, 8.0]",42.419070152256495,6.599999999999991,33.03047967782708,33.79853656516139,26.00338731075502,5.346539436086944,1.0,0.9876543209876543,0.9876543209876543,"[(6.549999999999991, 6.649999999999991), (7.149999999999989, 7.199999999999989), (7.499999999999988, 7.649999999999987), (7.999999999999986, 7.999999999999986)]",0.4999999999999982,True,16.415682841501475,42.419070152256495,False
2600,150.8,12.6,0.00035,0.00019999999999999998,"[4.0, 8.0]",38.32521836993716,7.899999999999986,30.58361877259426,31.128585339064294,24.93951306106095,5.105377957856707,0.9876543209876543,0.9876543209876543,0.9506172839506173,"[(5.849999999999993, 5.849999999999993), (6.299999999999992, 6.299999999999992), (6.499999999999991, 6.499999999999991), (7.149999999999989, 7.149999999999989), (7.2499999999999885, 7.499999999999988), (7.599999999999987, 7.599999999999987), (7.749999999999987, 7.749999999999987), (7.849999999999986, 7.899999999999986)]",0.6999999999999975,True,13.385705308876211,38.32521836993716,False
2200,127.60000000000001,12.7,0.00025,0.00025,"[4.0, 8.0]",39.92238949437154,7.149999999999989,32.225827149446545,33.56674705308134,32.51031234004256,5.510766326231825,0.9876543209876543,0.9876543209876543,0.9876543209876543,"[(5.949999999999993, 5.949999999999993), (6.0999999999999925, 6.0999999999999925), (6.499999999999991, 6.649999999999991), (7.149999999999989, 7.299999999999988), (7.749999999999987, 7.949999999999986)]",0.7499999999999973,True,7.4120771543289745,39.92238949437154,False
2600,150.8,12.7,0.00035,0.00019999999999999998,"[4.0, 8.0]",36.786753314674826,7.299999999999988,29.0201921635291,29.349524348993363,24.63188024605234,5.429748323193851,0.9753086419753086,0.9506172839506173,0.9382716049382716,"[(4.1499999999999995, 4.199999999999999), (5.599999999999994, 5.749999999999994), (6.149999999999992, 6.149999999999992), (6.249999999999992, 6.249999999999992), (6.499999999999991, 6.499999999999991), (6.599999999999991, 6.599999999999991), (7.199999999999989, 7.299999999999988), (7.449999999999988, 7.749999999999987)]",0.9999999999999964,True,12.154873068622486,36.786753314674826,False
2600,150.8,12.8,0.00035,0.00019999999999999998,"[4.0, 8.0]",37.87170972836737,6.249999999999992,28.461723926433685,29.57945289197069,32.681465493312174,5.949461374371335,0.9753086419753086,0.9506172839506173,0.9259259259259259,"[(6.249999999999992, 6.249999999999992), (6.599999999999991, 6.599999999999991), (6.999999999999989, 6.999999999999989), (7.149999999999989, 7.299999999999988)]",0.34999999999999876,True,5.1902442350552,37.87170972836737,False
2200,127.60000000000001,12.6,0.00025,0.00019999999999999998,"[4.0, 8.0]",35.93436793739257,7.999999999999986,28.10073152060808,28.64327716302676,25.34733145415902,5.202612271779337,0.9506172839506173,0.9382716049382716,0.9259259259259259,"[(6.3999999999999915, 6.499999999999991), (6.599999999999991, 6.649999999999991), (7.599999999999987, 7.999999999999986)]",0.6999999999999975,True,10.587036483233552,35.93436793739257,False
2600,150.8,12.7,0.00025,0.00019999999999999998,"[4.0, 8.0]",31.311277334387633,7.2499999999999885,22.306112072156314,22.18611060847788,22.605503441342012,5.502997049086464,0.8641975308641975,0.7654320987654321,0.654320987654321,"[(5.499999999999995, 5.499999999999995), (5.599999999999994, 5.649999999999994), (6.9499999999999895, 7.499999999999988)]",0.7499999999999973,True,8.70577389304562,31.311277334387633,False
2600,150.8,12.8,0.00025,0.00019999999999999998,"[4.0, 8.0]",32.210456183208954,4.199999999999999,20.590361685516335,20.9297098999173,35.81410745200322,7.895991925630035,0.8148148148148148,0.7407407407407407,0.5679012345679012,"[(4.0, 4.449999999999998), (6.79999999999999, 6.84999999999999)]",0.5999999999999979,True,-3.603651268794264,32.210456183208954,False
