signal_GHz,general_ideal__basic_p_s_i,general_ideal__basic_plus_p2,general_ideal__basic_plus_ps_pi,general_ideal__basic_plus_s2_i2,general_ideal__all_except_p2,general_ideal__all_except_ps_pi,general_ideal__all_except_s2_i2,general_ideal__all_8_modes,general__basic_p_s_i,general__basic_plus_p2,general__basic_plus_ps_pi,general__basic_plus_s2_i2,general__all_except_p2,general__all_except_ps_pi,general__all_except_s2_i2,general__all_8_modes
4.0,19.572342310410015,16.550383737748785,41.85053792068355,32.645732871097735,34.27333884579095,28.16988794355193,39.53596398160552,38.15403037301892,9.694806143997253,19.420376325712237,35.48326010539304,9.898298261908025,35.08278518998607,30.028693988318366,34.79669121478304,35.50225139034542
4.05,19.67232809755987,16.576038817326925,42.60783673125542,32.20116786653984,35.39954686477705,28.189830692159358,39.62774424294215,37.66035821466405,10.233038683450582,20.032180931823863,38.52661975548507,10.431248692952158,35.57446461713921,30.589324734092912,38.206937456859045,35.17013593305782
4.1,19.710001682358477,16.612357075526546,41.956108858908756,31.700067658902622,36.365153006585544,28.27970758722153,36.18534117496898,37.54737953372991,10.614131792086784,20.503197347540176,38.86001078131104,10.80995902429515,35.85370860495667,31.04157969229209,38.701879470390246,34.676591343765196
4.1499999999999995,19.806702886084736,16.641877529411808,40.31877438139648,31.304259054765197,36.784821966965396,28.404038894298584,28.432869447134994,37.18503634415762,10.089493716702405,19.966561714937605,37.59897914543573,10.281855677221987,35.51101473120853,30.5150537267223,32.93010827360555,34.93895302326376
4.199999999999999,19.84212255247601,16.68190156838239,37.784757600159374,30.85688075052605,36.96261325653007,28.576518274634758,28.45611370356813,35.45797801408568,9.692557196783095,19.58363443572842,37.14462233886651,9.884475638375601,35.81490121635983,30.16941933829653,35.3258279783209,36.61211366951796
4.249999999999999,19.93547826583876,16.715099785271477,34.57417839994271,30.517113826534967,37.33310262672843,28.764504620383843,35.713514313279624,28.83770518063544,10.13752113343247,20.110436409362407,38.92263348554279,10.324160501983197,37.14657277831445,30.733252525326286,36.86636001489433,37.1390152220066
4.299999999999999,19.968488852431282,16.758658217031467,30.99664521940586,30.103002798994353,37.95530370268946,28.973379690878293,38.84285407179916,34.91465927154968,10.623720398294946,20.714952382443315,40.93876972443382,10.806880900415877,38.34658340987462,31.378486031977793,37.16361414621672,29.58070778061235
4.349999999999999,20.058473275467087,16.795364828267388,28.10675203379105,29.799776297721344,38.52601196875939,29.18414398543132,35.0572238603177,37.529390417471916,10.206752439667959,20.311809971965836,39.32954172104584,10.385597043593704,38.15217293155136,31.03679032205705,25.605740590748816,35.54941061342243
4.399999999999999,20.08895804792696,16.84230348609756,27.743457964780443,29.421578715942157,38.70507639579762,29.40141135255255,28.20287907255281,36.32687366813497,9.708557200564487,19.82411720324561,34.98180690262596,9.885520380119564,37.337855607229514,30.61610740668023,30.291555224020147,30.058283410498067
4.449999999999998,20.175555110226785,16.882369057052497,30.3957996434862,29.145915550780618,38.361685759632515,29.61021711673597,28.92506469015967,34.83417296147683,10.026989346816691,20.20315674947686,31.21610256726644,10.198101989680143,36.99656484012026,31.043172058088622,37.36842402859865,37.220013854876036
4.499999999999998,20.203410301324833,16.932552844562714,34.535109721309325,28.79431545234596,37.54453435501067,29.81671681678533,38.194403345800765,39.29768936194352,10.591081326679923,20.877435885087095,29.243778546913628,10.757519035055534,36.754217478096905,31.74742426725414,35.74354440456128,40.13623771975539
4.549999999999998,20.286689842419214,16.975834853097133,38.69622581506358,28.536219114419318,36.45985690874053,30.008281491440055,35.81581811733953,40.51726927891031,10.323432566502362,20.627598807495545,29.67843087138061,10.484272679303082,35.635187348856675,31.53435478478808,32.45634667202253,36.15377781995935
4.599999999999998,20.31190088611047,17.029134770350097,41.90936920771938,28.20028809559549,35.461745224673614,30.191015201510506,35.05915068173474,30.719200883030556,9.749152007549942,20.061292695332643,32.36754984444231,9.90659975198367,34.55085621168926,30.994356816939586,34.25282378310107,35.01975329326119
4.649999999999998,20.391770885714223,17.075533130847344,42.65244507941108,27.94763233785545,35.08344603491941,30.352852021005777,39.7074318760993,35.50638186809215,9.919105374518004,20.29032723727179,36.262018179430996,10.069882611053469,34.89268819135174,31.210027355502042,31.93586957332185,36.11618020014913
4.6999999999999975,20.41416415370226,17.13186212986985,41.34659530256424,27.61375856408514,35.559050145759805,30.498355134728662,39.37839141992595,28.51832620868253,10.524511866965945,21.028397502981242,40.197915066054875,10.669898323601021,36.204975167686236,31.893089110059098,39.79545188593723,28.351925382154263
4.749999999999997,20.49070300239005,17.181268584722503,39.78928900146449,27.350427296871484,36.58674518154292,30.613998185450086,40.336726579962665,13.482891771523484,10.44241956086137,20.9973891026945,42.166478809632764,10.5827345540463,37.000194070582815,31.796540692949883,38.74988704317589,37.44556716916001
4.799999999999997,20.51027756498845,17.240530750111514,38.67411434743908,26.99799582207301,37.892865654250066,30.699736126862604,37.708103843696,40.33910835984137,9.826220920975024,20.396792929980517,41.35564312714418,9.96553470682449,37.620758208599646,31.103026899316735,38.06865891559125,36.368013493564135
4.849999999999997,20.5835089904946,17.292861349812462,37.946261867974336,26.694963125377296,39.61102438510552,30.736323699640895,33.95738839216995,39.129873252367126,9.822687963930624,20.431447705555858,39.962630593992536,9.959993419329509,39.06234607261065,30.97989338923009,36.69275664239608,39.038382353558355
4.899999999999997,20.600211995738857,17.354984663040856,37.389751728464894,26.27798692008206,40.265044817075164,30.714561160232474,31.098929843052694,35.48610289431572,10.413217363439397,21.139971635601125,39.27417298153716,10.550152582927147,39.93214143536869,31.432867428494053,35.04772212780783,34.383770840358004
4.949999999999997,20.670086226181084,17.410182123926564,36.98273963239403,25.844214761761112,38.86812908322047,30.588493244996194,30.262242834699332,40.019675936337016,10.538479106562272,21.31978127963152,38.404428963193105,10.673200408672805,38.413692335105154,31.245838686377333,32.087555919510166,25.63045478485947
4.9999999999999964,20.683793140744157,17.47512088189461,36.73701627546276,25.02294513786651,36.63636373296376,30.061330736218462,30.502306678830678,36.359317425412826,9.938340848050581,20.734567580930147,37.096695489234065,10.064248989788613,34.304003976282786,29.885483221641866,28.737980680049738,37.35453669910306
5.049999999999996,20.750407791304628,17.533120318455413,36.59334021386769,25.29727513510447,36.58940546290296,30.7013172493323,30.77612556469095,34.20171791424919,9.753497244743821,20.577703578831215,36.51200569870343,9.89275451973987,34.27477306710786,30.160201871617677,26.95230742926379,37.789763048054176
5.099999999999996,20.761143414635775,17.600820802173725,36.50613527692338,26.293108569309812,37.47218635330265,32.07614915488806,30.51412763438059,36.15956259035389,10.268122290982406,21.21988523864406,36.83324127695753,10.510753353424235,39.99564645114701,34.36588113479522,26.706237809826487,40.14312121413532
5.149999999999996,20.824478892627035,17.661589411946505,36.43523252479746,28.30056476937738,38.626489552008294,33.7246766468737,29.52861333053829,33.94019652541206,10.597848152096539,21.639908604553973,36.98602929753082,10.592350723768158,38.45726633040499,34.36146511617667,26.573965015839285,37.01750374842873
5.199999999999996,20.832152682038405,17.732029776197063,36.36117772787595,34.435803047050214,37.7868581075715,36.44202457157838,27.80290093572452,38.126331792663386,10.089278246401136,21.169764911578298,36.300086324292295,9.494937665907965,37.6989393243341,36.3779314585199,25.705269288868454,38.63832099346107
5.249999999999996,20.892215015190274,17.79554480826293,36.20912193232086,34.703532422755316,34.33205401319636,35.158941997192116,25.633069345670783,37.0069351537892,9.7305468651646,20.825594897257464,35.81393935023875,9.936969058717672,40.243257764805136,33.544930042762296,25.3067168343637,36.4448949753658
5.299999999999995,20.8967632238975,17.868713031947735,36.04363720276101,33.9221887858436,37.75931124692262,31.47360269333148,23.484840012420342,28.963056371322903,10.102298092426834,21.302601888067056,36.14618113170562,9.960509486377596,41.01381962836237,33.24952904606229,25.46443406740524,39.11295507921691
5.349999999999995,20.95356239494043,17.934964727002736,35.86933487445532,20.478756182965782,41.70341791242096,33.83929759775465,22.4110332097494,33.98402733100055,10.593830673783087,21.90531901912443,36.593193009854765,9.879582403750922,38.806115014737415,32.83137685638628,26.558018113007684,37.64101583795603
5.399999999999995,20.954926406877764,18.01086160624481,35.70136832084018,22.400876244708403,40.023563557111146,35.03490238239709,22.79583472768021,32.864027264886474,10.261647620801899,21.58914144555154,36.20613956479701,9.983843836668276,37.09580889262072,33.76142066253418,25.46753789655523,34.31451374815945
5.449999999999995,21.00849001724243,18.07985092583537,35.470916181487894,22.73651183294069,40.215778132752796,35.09608477947908,23.898395942488676,29.981283379019725,9.766627012474844,21.077305099587726,35.609027807838864,9.298303503072798,40.400673804755186,33.480500276723504,26.484827378093648,28.989626930690537
5.499999999999995,21.006629897122554,18.158487858171675,35.26190826669341,22.275233010180003,44.1012434087333,32.171935209973256,25.00712579266835,42.491372426453076,9.942439767805016,21.37794318032099,35.66793122202126,13.491357320902843,34.8435550335472,33.3290408162436,28.52105758571635,40.01405301107691
5.5499999999999945,21.05691007588369,18.23024068979772,35.07344136572785,33.85278905048794,44.98799853731208,32.83824339251621,25.90040227052458,38.13652866468019,10.514166095771271,22.051820995831868,36.11947235903501,17.82194088276779,42.90098134989282,30.780296828088865,28.65251068074068,35.39525445711433
5.599999999999994,21.051710914081468,18.311653931539308,34.9158647837295,33.58992214446839,34.82827613524418,28.26101321210459,26.64211924115522,39.34884691608789,10.855309013623,21.842935110825785,35.971627500344596,21.80546268803896,32.75267780783872,15.579748812304675,28.845269799607614,31.460242974702734
5.649999999999994,21.0987555058991,18.386194795886123,34.7092621736271,39.0003227620639,41.51125849791745,35.7952568633936,27.49823422327855,37.539295089236774,9.879193808264631,21.52421450979674,35.360676194046256,11.418523810979938,34.74356645688473,32.46327857059179,30.53532491504953,33.67923909111862
5.699999999999994,21.09019875557866,18.470419200004795,34.53386485171113,20.513082651271766,36.31821478630138,40.23765870401049,28.720300102565872,40.98356675227826,9.819095634521304,21.54536142425428,35.12872686443915,10.290469744037834,33.638830790069896,39.301106413492185,31.827370400003716,34.69743979344848
5.749999999999994,21.133929264685236,18.547805409675743,34.38044276696925,22.830431079399524,42.49468939098143,40.28720931405977,30.343776245992803,39.095773708826364,10.35614954420095,22.27901247404745,35.73763551387152,10.253005481322521,36.102360904390586,40.776371741988896,33.282976888441354,28.088472878679482
5.799999999999994,21.121869978678628,18.634908639604802,34.25182477937782,22.521531104300124,38.89666470079917,38.87297680541152,32.133638761329564,34.7115294042913,10.552353493794865,22.451358179128277,35.96608706683723,10.525184181312518,30.419652022188608,39.797332363920845,35.04155989270479,39.14176970556427
5.849999999999993,21.16230431085379,18.71519630647867,34.067258454132386,20.677285595734087,21.823543610772663,36.63098274385352,33.81698519011436,34.67314871196747,10.054583554256231,21.994211981401808,35.547597749824746,9.990207156938256,33.33663562855569,35.50251051864931,35.5701474107938,31.987337243814473
5.899999999999993,21.146693983260576,18.80524489967399,33.91334275684004,35.95637675163972,34.80467146302396,33.30787653561393,35.23587044595,24.129720951963304,9.755192399949316,21.73847409078614,35.670388744731824,9.831071169043565,30.652173105740367,33.95725204189389,36.367807232097775,29.529746206443157
5.949999999999993,21.183774941084664,18.888515462937686,33.80317248439737,34.75047316629005,28.48135156155965,40.049420371438856,36.3112978694672,35.37614349461314,10.151140188734518,22.235856660584986,36.722213482760935,10.278016571356083,30.25176132462765,33.604346511902904,37.66528663882988,32.799477936724685
5.999999999999993,21.164489536097978,18.981601406751196,33.783870272479916,33.72433300891016,39.53510509198492,39.42328925631969,37.0390560219382,38.0156415087404,10.575719867921453,22.789252622143724,38.06907804436575,10.628032374623611,39.70458923619834,39.93356254237544,38.637173536054085,30.457872744173976
6.049999999999993,21.198178878009063,19.067947581817492,33.90273156766051,27.905127717202816,41.00715042274504,36.95023544452378,37.47162865058465,39.36723499215975,10.27507890510085,22.53756699806418,38.853277432833636,10.40259264042329,41.40119608352879,37.148223394463535,38.3844677934929,41.316626219187704
6.0999999999999925,21.17511267349669,19.164174338717874,34.314801588309514,26.006777326902174,40.84602384921301,35.52802663223194,37.630064329614555,37.34378376587547,9.798119900582126,22.112067453375637,39.6062016216575,9.892702561966264,30.932414086815093,31.89476008852568,33.87376858370952,36.74135345060664
6.149999999999992,21.205377898408035,19.253702688630522,35.067034105448535,25.091859025236033,40.3035453372823,34.53259386535024,37.8622449013894,41.803827123904355,9.952967291586646,22.342756248882093,41.08562233162101,10.052704498286118,39.40045996023879,34.14747731810815,33.64339762502229,39.46059011585245
6.199999999999992,21.178430110938304,19.35318786244027,36.14778932704881,24.81600923457021,40.272075402786456,34.059402078676186,37.17167617281137,40.70412771004743,10.47475120459319,22.98952745582215,42.82605325448442,10.566222977041157,40.054099065471185,34.29427416257027,41.105992870883014,34.63993479549178
6.249999999999992,21.205266937428135,19.446016069294096,37.52113848099118,25.4578040116437,40.608073700459684,34.48513070481009,20.697406520296497,34.5168960254415,10.480936000798025,23.05553196020157,43.39789848015393,10.58244584239672,40.84130848532875,34.8106236119207,28.50521798873755,37.79904640511875
6.299999999999992,21.174364271200716,19.54888878442963,39.03562190232039,25.74217687718469,39.54269173930042,34.628290707957504,36.32552248066495,35.48399771634549,9.953011318241806,22.574728694695274,42.23132485689652,10.059621986992411,40.86400696927476,34.491289498544106,39.44544619439935,39.88353455396278
6.349999999999992,21.19765144818553,19.6451682133251,40.56584194506864,26.01003616725443,39.594745953750845,34.712632860681076,33.53549602751512,31.953499085843255,9.820308455805865,22.504429956351466,40.2561449155709,9.929204755258887,39.92565513589013,34.50792414462895,38.862922379521734,39.754660065474575
6.3999999999999915,21.162601766395852,19.751591732190544,42.00381569280712,26.157895066649075,39.88526856929861,34.7603435604421,34.7386514398049,39.40264418669167,10.261751096875475,23.086716481842096,38.23744748037604,10.372210879569758,39.581790121350735,35.120618134249156,39.32299206866695,34.89008166803758
6.449999999999991,21.182371891182903,19.851468003563205,43.14211001010213,26.34702194175712,39.614862410419896,34.78541522267701,39.764969023829394,36.52666477967186,10.579710744097202,23.510497114963904,35.83564680530174,10.690603700124996,39.82496548395761,35.55367421971755,38.57733847343431,25.202731231016365
6.499999999999991,21.14313582984668,19.96160059875233,43.44690757564689,26.441141799023605,38.16107535930322,34.80091123582886,39.06452379970204,28.18800427777608,10.193539498183616,23.199653856881884,32.602522608855644,10.3070388676316,39.474309391014536,35.23698259742447,40.45808281741916,35.876952063705396
6.549999999999991,21.159349761232072,20.065248621720414,42.39921271360137,26.593334054668354,35.82880299602461,34.80676341173787,39.42442797426785,33.30638102665827,9.815357261448973,22.868227346048773,29.271387673951356,9.929614316337288,38.3504035430298,34.89129896021244,27.71880295067955,25.294749488209924
6.599999999999991,21.115814518849277,20.179278656004904,40.0302995922841,26.65817773079434,34.5117489779859,34.80823499515474,40.65600183288795,37.73015820336016,10.020178964773045,23.188234176066686,26.489975026887475,10.135274981857803,37.2160885340238,35.170561478133074,35.66070917541204,34.471817969723006
6.649999999999991,21.128380876078793,20.286901000392376,36.643272004321055,26.79299750184417,35.228596845584505,34.797217469721254,22.92595782146659,41.305417942780636,10.510539079826662,23.786517622578828,24.192724908312904,10.626884086992243,36.39486966846596,35.710537434257866,30.507065936000725,37.84951647659949
