signal_GHz,selected__minimal_3wm,selected__general_ideal,selected__general_loss_only,selected__general,general__pump_12.68,general__pump_12.70,general__pump_12.72
4.0,18.20028128298707,21.179853500625313,35.21769198328405,31.567732641811908,31.999902100032088,31.567732641811908,36.95002590347018
4.1,18.57198326297031,23.299071176513536,33.75906456204783,30.368186339188547,25.774627009555747,30.368186339188547,29.7088303696588
4.199999999999999,18.930307292114883,22.048821597468056,33.641990795277614,34.182993595811794,29.604133083766673,34.182993595811794,30.177615039961236
4.299999999999999,19.249812620890758,31.962491226464063,32.99155159341612,33.02355543094891,37.097537101948404,33.02355543094891,37.08395800712848
4.399999999999999,19.55600819412657,31.110101822606033,31.34109676344602,32.07204954529031,37.81011960125537,32.07204954529031,36.37854920703298
4.499999999999998,19.817284261287696,30.54687359603028,32.406845345357176,29.575513378853586,37.75298592081084,29.575513378853586,31.618178341923674
4.599999999999998,20.071675838526385,28.804441188509152,30.29313137777632,32.13931809984372,32.012318086379835,32.13931809984372,28.39141027189917
4.6999999999999975,20.288429984059533,27.551003446095528,28.617428784430125,30.2873539596862,27.496867148287034,30.2873539596862,27.60248588997545
4.799999999999997,20.477475624624127,28.97492460510503,27.64911129874975,29.842767605961377,24.502221971974084,29.842767605961377,26.066313423053945
4.899999999999997,20.663509293646733,28.380224182508282,25.470548279474002,29.78648848161513,22.892435282872697,29.78648848161513,24.192750856086995
4.9999999999999964,20.795507670437928,26.89205544041333,25.4514122541083,34.280845351116945,30.77543212603162,34.280845351116945,28.409273672431365
5.099999999999996,20.9423112176531,27.93586623308583,34.47937335290838,22.817166493745038,29.56662601743675,22.817166493745038,38.13060433374649
5.199999999999996,21.034776240036916,20.491732408470675,37.71490660652245,35.647530214031455,29.009784840256923,35.647530214031455,33.5530329158713
5.299999999999995,21.117974682881496,37.850474638608006,37.25854570767464,37.97003053645702,37.056827484716635,37.97003053645702,37.1102153193889
5.399999999999995,21.19277182609987,38.667655396133746,35.798631451499375,38.400440031542594,39.13053683043237,38.400440031542594,40.16640764550434
5.499999999999995,21.214063122736746,32.26180778744009,31.76842108438002,37.46609618049486,38.31928399368239,37.46609618049486,38.12059402598112
5.599999999999994,21.257188877965802,32.324566497908116,39.46680587589699,40.961256446642764,31.29418576567398,40.961256446642764,39.367970696840956
5.699999999999994,21.237551246602248,39.27126820460417,38.9771423830601,35.09793404927297,27.36865721576983,35.09793404927297,39.830273683816266
5.799999999999994,21.228425983102355,30.82424720689339,37.75664167644497,28.50769742210599,32.89085878020841,28.50769742210599,26.138199646455647
5.899999999999993,21.1901793760493,39.35352130470417,37.73890709069522,35.48314619517526,34.435173785149814,35.48314619517526,37.74912790065063
5.999999999999993,21.119153007227077,27.72512704964411,33.45231696422634,34.51545455190982,36.6066179217201,34.51545455190982,34.02183835217041
6.0999999999999925,21.061821866808216,26.108196674913906,27.52462552014012,33.82710252491123,38.968638134293585,33.82710252491123,34.714723485496044
6.199999999999992,20.942118227629187,35.744434310507856,35.68610534195228,31.97099793765984,29.69822530257855,31.97099793765984,32.839021400385754
6.299999999999992,20.842851536737598,38.99187210508176,23.262068940394272,23.42724966715627,27.880110055491777,23.42724966715627,35.520684911572104
6.3999999999999915,20.702370466196225,33.1424013391737,38.69402554567281,36.26767094619368,33.09179552350904,36.26767094619368,38.71718688900967
6.499999999999991,20.534373985531325,31.38217238012395,33.76371958526811,36.83442785325174,32.62518620950191,36.83442785325174,26.830670514364108
6.599999999999991,20.376904278579644,36.785514757413694,31.528525240941217,24.201970173880127,19.86455321257911,24.201970173880127,31.710064447480974
6.69999999999999,20.1594019749251,38.746307015935656,24.877408312690086,38.42789926447469,36.404485129280935,38.42789926447469,34.9258851582979
6.79999999999999,19.9605003090498,32.83551586025292,21.27269422588664,33.355711652158064,28.729402411384065,33.355711652158064,26.947327677432416
6.89999999999999,19.717084063917646,38.08176392670107,32.51243308666172,26.31107347917173,32.75046228294402,26.31107347917173,32.45169905349308
6.999999999999989,19.4548120364012,40.37389853342121,13.102072322872049,36.89266324287411,36.13035228063559,36.89266324287411,36.01593551024515
7.099999999999989,19.196231005030146,43.23048580145209,32.04521796102693,34.03480996041066,38.20383756372021,34.03480996041066,33.95156196236713
7.199999999999989,18.872494957557745,42.342830261435644,42.41700659183885,41.789408846456126,40.86790458236965,41.789408846456126,43.04146625317258
7.299999999999988,18.573836832315234,41.73343752579096,41.95703901562776,41.65333608513444,37.589694642480744,41.65333608513444,36.12789404650712
7.399999999999988,18.22045216737093,33.36310580090009,38.89176976002667,39.6315637469476,41.437984588506694,39.6315637469476,39.16332125654673
7.499999999999988,17.85187180970332,40.764803535587966,34.767967669629826,37.30627090006106,42.55065161094948,37.30627090006106,42.74343307203043
7.599999999999987,17.477681510133824,40.97899483236269,40.12148894326204,40.74879091967064,37.35662821585325,40.74879091967064,36.314866165814095
7.699999999999987,17.045408618608725,31.81341445836444,41.11645663342212,42.32876831830233,39.58612315066164,42.32876831830233,37.731338471803014
7.7999999999999865,16.62840764153903,40.163685211162246,34.688674150795784,41.846256619995295,38.91260481601294,41.846256619995295,40.63729323704371
7.899999999999986,16.14981022940237,35.950808252048986,36.10692723045287,34.06104665299124,33.877421960582275,34.06104665299124,35.275845376935315
7.999999999999986,15.66683745967644,30.363186546656664,32.08658804819618,34.63888861124059,26.89816086916185,34.63888861124059,28.99033582987014
