case,pump_GHz,Idc_A,Ip0_A,model,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite,minimum_in_band_gain_db,maximum_in_band_gain_db,pump_exit_power_fraction_median,pump_exit_power_fraction_min,pump_exit_power_fraction_max
selected,12.7,0.00036,0.00028,minimal_3wm,"[4.0, 8.0]",21.257188877965802,5.599999999999994,19.697364436174162,20.1594019749251,5.590351418289362,1.514870190544741,1.0,0.926829268292683,0.5365853658536586,"[(4.1, 7.299999999999988)]",3.2999999999999883,True,15.66683745967644,21.257188877965802,0.9938715974994528,0.9922245470537323,0.9985653103340113
selected,12.7,0.00036,0.00028,general_ideal,"[4.0, 8.0]",43.23048580145209,7.099999999999989,33.179340430222396,32.324566497908116,22.738753392981415,6.0849581034245315,1.0,1.0,1.0,"[(6.999999999999989, 7.299999999999988), (7.499999999999988, 7.599999999999987)]",0.5999999999999979,True,20.491732408470675,43.23048580145209,0.24775487687714523,0.0021203915808593126,0.8424032924397019
selected,12.7,0.00036,0.00028,general_loss_only,"[4.0, 8.0]",42.41700659183885,7.199999999999989,33.11400925262035,33.75906456204783,29.3149342689668,5.960250735610996,0.975609756097561,0.975609756097561,0.975609756097561,"[(5.599999999999994, 5.599999999999994), (7.199999999999989, 7.299999999999988), (7.599999999999987, 7.699999999999987)]",0.4999999999999982,True,13.102072322872049,42.41700659183885,0.25059134744954753,0.0002975556235323651,0.8123317096237267
selected,12.7,0.00036,0.00028,general,"[4.0, 8.0]",42.32876831830233,7.699999999999987,34.23291375498653,34.280845351116945,19.511601824557292,4.943902157953037,1.0,1.0,1.0,"[(5.599999999999994, 5.599999999999994), (7.199999999999989, 7.399999999999988), (7.599999999999987, 7.7999999999999865)]",0.6999999999999975,True,22.817166493745038,42.32876831830233,0.25415100144428837,0.005219984424505143,0.7187734121344651
nearby_pump,12.68,0.00036,0.00028,general,"[4.0, 8.0]",42.55065161094948,7.499999999999988,33.33710621001119,33.09179552350904,22.68609839837037,5.377977289135534,1.0,1.0,0.975609756097561,"[(7.199999999999989, 7.199999999999989), (7.399999999999988, 7.499999999999988), (7.699999999999987, 7.699999999999987)]",0.3999999999999986,True,19.86455321257911,42.55065161094948,0.19635941180565847,0.0012190497827563092,0.8029387082210732
nearby_pump,12.72,0.00036,0.00028,general,"[4.0, 8.0]",43.04146625317258,7.199999999999989,34.27849293226624,35.275845376935315,18.848715397085584,4.844750761572423,1.0,1.0,1.0,"[(5.399999999999995, 5.399999999999995), (7.199999999999989, 7.199999999999989), (7.499999999999988, 7.499999999999988), (7.7999999999999865, 7.7999999999999865)]",0.3999999999999986,True,24.192750856086995,43.04146625317258,0.13898387559526212,0.0008791345154205246,0.729615468543794
