signal_GHz,basic_3_modes,add_pump_harmonic,add_sum_conversions,add_signal_idler_harmonics,all_8_modes
4.0,16.496410876671256,39.811073372665035,-1.7853851701989378,27.97635645219379,21.179853500625313
4.1,16.881274009094767,39.90226319817993,3.379062724470882,23.77719481162302,23.299071176513536
4.199999999999999,17.251514999645657,39.993597470934795,6.6477657557018865,19.508153944736875,22.048821597468056
4.299999999999999,17.5819983306553,40.05275767880324,2.5910380620298623,13.541108225425146,31.962491226464063
4.399999999999999,17.897266414939008,39.962606456507615,26.617608690985968,12.807949636801153,31.110101822606033
4.499999999999998,18.168231835223256,39.58443872424614,38.654649087393324,24.41824860736756,30.54687359603028
4.599999999999998,18.433238320785485,38.760913221917015,36.646796256668864,29.954179669544494,28.804441188509152
4.6999999999999975,18.657004425715115,37.39183763865289,32.43226451610755,33.262374081428696,27.551003446095528
4.799999999999997,18.85776313725328,35.26162788701994,40.53180198832207,35.01435152863045,28.97492460510503
4.899999999999997,19.051662924355472,31.80047848637866,33.30418127892806,35.666897320520704,28.380224182508282
4.9999999999999964,19.187386474015803,26.84070023390659,35.096580779626215,35.704086182468025,26.89205544041333
5.099999999999996,19.341729891488747,13.353987554628304,40.209674750834324,35.537260915804644,27.93586623308583
5.199999999999996,19.438352194746958,19.70905689351785,35.40816558224711,35.46053016025055,20.491732408470675
5.299999999999995,19.529020055442142,25.989211557774993,39.19410252707546,35.5808808688584,37.850474638608006
5.399999999999995,19.6063325903306,28.762838667996657,41.281264178058095,35.929268060133715,38.667655396133746
5.499999999999995,19.63224049328403,29.120031486182576,43.11659863609453,36.82171297489122,32.26180778744009
5.599999999999994,19.67852614798286,29.41755418710839,42.75579064015777,38.79998162027841,32.324566497908116
5.699999999999994,19.665081326090423,27.244827932955978,41.91365588108151,36.95523235073628,39.27126820460417
5.799999999999994,19.655350029814155,23.223248009677178,42.8574943188748,37.124829918419344,30.82424720689339
5.899999999999993,19.623002878937786,10.227582904532039,42.15120771408831,37.435227295958065,39.35352130470417
5.999999999999993,19.55137086173354,25.594266374221814,28.179066200604645,30.88286139994495,27.72512704964411
6.0999999999999925,19.49335813644447,31.789848832356526,38.33272786624636,33.94810011119427,26.108196674913906
6.199999999999992,19.37861249238577,36.03613460646882,39.75801375626237,29.62512202707421,35.744434310507856
6.299999999999992,19.271992068726394,38.54576932611664,40.70631262900779,29.46878394842155,38.99187210508176
6.3999999999999915,19.135046186226404,40.21529445007687,41.339553013562806,29.451627291770507,33.1424013391737
6.499999999999991,18.96763319254458,41.21228872195549,38.915760562011435,33.88045680535357,31.38217238012395
6.599999999999991,18.808199191609205,41.67426266999431,41.47387103993181,37.12907597176363,36.785514757413694
6.69999999999999,18.591657155766526,41.772413693509876,25.295659961387177,34.97601663796389,38.746307015935656
6.79999999999999,18.388256720997994,41.65595021595828,38.71792041612479,35.65541768596485,32.83551586025292
6.89999999999999,18.144992710590767,41.4802123466687,43.140440556245004,39.79177131630677,38.08176392670107
6.999999999999989,17.878303394389114,41.36930729055075,42.775637385444554,41.70693284455919,40.37389853342121
7.099999999999989,17.614528396980283,41.38294028974106,43.502286028159006,42.11271679973023,43.23048580145209
7.199999999999989,17.28993422901524,41.58831672806763,42.807276798877695,41.45258280445149,42.342830261435644
7.299999999999988,16.984645932060893,41.92618639146245,38.50678898398134,38.14617532744173,41.73343752579096
7.399999999999988,16.62665963673905,42.28102285613681,37.360341014782975,37.24591764245794,33.36310580090009
7.499999999999988,16.25394323110457,42.030896435172636,38.697197993080195,37.55529128797919,40.764803535587966
7.599999999999987,15.873813459547728,39.905159907538696,30.021505164399464,38.10633101764401,40.97899483236269
7.699999999999987,15.43432838899838,30.53024012223874,14.858450906804388,38.404598380282906,31.81341445836444
7.7999999999999865,15.011841797959413,33.07528871160949,39.43347342176933,38.232023005602464,40.163685211162246
7.899999999999986,14.529370310558674,40.2702403553975,31.156339629701133,37.36779959737277,35.950808252048986
7.999999999999986,14.038310016963628,42.18274606827339,30.164409205394275,35.658736365197285,30.363186546656664
