label,stub_length_um,L_pH,C_fF,Lf_pH,Z0_ohm,fit_s21_rmse_db,fit_phase_rmse_deg
40um,40.0,55.06053996648913,96.59156354335477,437.48867683219487,23.875398826899108,0.0004394014968743198,0.014210943962250786
50um,50.0,55.374782102575395,118.20836992023999,553.677721387477,21.643719699716673,0.0005652339107079902,0.019915666401503235
60um,60.0,54.83271145769709,119.03347260082994,546.7504023528318,21.462747151682397,0.0007003550260545281,0.019434945037771163
