pattern,supercell_repeats,device_length_mm,pump_GHz,Idc_A,Ip0_A,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite,minimum_in_band_gain_db,maximum_in_band_gain_db,strict_pass
13-3-13,900,52.2,12.399999999999995,0.00035,0.00029,"[4.0, 8.0]",39.0619547264052,7.199999999999989,34.790440434875734,34.23943864728237,7.968807060073836,2.5962112458096347,1.0,1.0,1.0,"[(6.3999999999999915, 7.449999999999988), (7.699999999999987, 7.999999999999986)]",1.4499999999999948,True,31.09314766633136,39.0619547264052,False
13-3-13,900,52.2,12.599999999999994,0.00045,0.00021999999999999998,"[4.0, 8.0]",33.74283789405252,7.349999999999988,27.9784361278244,27.641168566897058,11.789023748564428,2.90898729095947,1.0,1.0,1.0,"[(6.84999999999999, 7.549999999999987)]",0.7499999999999973,True,21.953814145488092,33.74283789405252,False
13-3-13,1200,69.6,11.999999999999996,0.00035,0.00029,"[4.0, 8.0]",41.49287211625012,7.7999999999999865,36.19123625174802,36.52496056184469,13.256683117529839,2.4812557279245624,1.0,1.0,1.0,"[(4.749999999999997, 4.749999999999997), (5.199999999999996, 5.199999999999996), (6.74999999999999, 6.74999999999999), (6.84999999999999, 6.89999999999999), (6.999999999999989, 6.999999999999989), (7.649999999999987, 7.899999999999986)]",0.5999999999999979,True,28.23618899872028,41.49287211625012,False
13-3-13,900,52.2,11.2,0.00045,0.00029,"[4.0, 8.0]",44.91836212371404,5.949999999999993,38.38161621524069,38.51980958760076,20.00686805693907,3.732977499954445,1.0,1.0,1.0,"[(4.199999999999999, 4.199999999999999), (4.449999999999998, 4.449999999999998), (4.549999999999998, 4.549999999999998), (4.949999999999997, 4.949999999999997), (5.449999999999995, 5.499999999999995), (5.799999999999994, 5.799999999999994), (5.949999999999993, 6.049999999999993), (6.299999999999992, 6.299999999999992), (6.649999999999991, 6.649999999999991), (7.499999999999988, 7.549999999999987), (7.999999999999986, 7.999999999999986)]",0.7499999999999973,True,24.91149406677497,44.91836212371404,False
13-3-13,1200,69.6,12.199999999999996,0.00045,0.00021999999999999998,"[4.0, 8.0]",41.999162577471154,7.749999999999987,33.22667950324914,33.958875138747196,20.36263446272439,4.250673346692394,1.0,1.0,1.0,"[(7.449999999999988, 7.449999999999988), (7.599999999999987, 7.649999999999987), (7.749999999999987, 7.849999999999986)]",0.29999999999999893,True,21.636528114746763,41.999162577471154,False
13-3-13,1200,69.6,11.999999999999996,0.00045,0.00021999999999999998,"[4.0, 8.0]",40.294530359548624,7.349999999999988,33.29532023743294,34.35753741364269,23.053657628240497,5.344310842944377,1.0,1.0,0.9382716049382716,"[(4.649999999999998, 4.649999999999998), (5.649999999999994, 5.699999999999994), (6.349999999999992, 6.3999999999999915), (6.69999999999999, 6.69999999999999), (6.79999999999999, 6.79999999999999), (7.099999999999989, 7.399999999999988), (7.599999999999987, 7.599999999999987), (7.699999999999987, 7.699999999999987)]",0.7999999999999972,True,17.240872731308126,40.294530359548624,False
13-3-13,1200,69.6,11.799999999999997,0.00035,0.00029,"[4.0, 8.0]",42.18048265205188,7.2499999999999885,36.62302479351228,37.13678020545577,24.263624243344488,3.9573198806535927,1.0,1.0,0.9876543209876543,"[(4.549999999999998, 4.549999999999998), (5.599999999999994, 5.749999999999994), (5.849999999999993, 6.199999999999992), (6.79999999999999, 6.79999999999999), (6.999999999999989, 6.999999999999989), (7.099999999999989, 7.2499999999999885), (7.549999999999987, 7.549999999999987), (7.649999999999987, 7.649999999999987), (7.749999999999987, 7.849999999999986)]",1.1999999999999957,True,17.91685840870739,42.18048265205188,False
13-3-13,1200,69.6,12.799999999999994,0.00045,0.00029,"[4.0, 8.0]",46.579349090222316,7.599999999999987,35.145533842747966,35.310433015512636,25.965847498884184,4.7546084160336655,1.0,1.0,1.0,"[(7.599999999999987, 7.699999999999987)]",0.14999999999999947,True,20.61350159133813,46.579349090222316,False
13-3-13,900,52.2,11.0,0.00045,0.00029,"[4.0, 8.0]",47.374343108409775,5.899999999999993,37.146734113021715,38.67896166319901,28.476857042361413,6.134721249978548,1.0,1.0,0.9876543209876543,"[(5.449999999999995, 5.449999999999995), (5.649999999999994, 5.649999999999994), (5.899999999999993, 5.899999999999993)]",0.14999999999999947,True,18.897486066048362,47.374343108409775,False
13-3-13,900,52.2,11.399999999999999,0.00045,0.00029,"[4.0, 8.0]",50.76778565480979,5.799999999999994,37.472479820935014,38.340410668214176,31.0297837425944,6.1331566437972445,1.0,1.0,0.9753086419753086,"[(5.799999999999994, 5.899999999999993)]",0.14999999999999947,True,19.738001912215392,50.76778565480979,False
