supercell_repeats,device_length_mm,pump_GHz,Idc_A,Ip0_A,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite,minimum_in_band_gain_db,maximum_in_band_gain_db,strict_pass
900,61.2,12.7,0.00019999999999999998,0.00015,"[4.0, 8.0]",28.69869125283334,7.999999999999986,28.020320011194606,28.171125754267422,1.4120592087474009,0.41360545254260894,1.0,1.0,1.0,"[(4.0, 7.999999999999986)]",4.099999999999985,True,27.286632044085938,28.69869125283334,True
900,61.2,12.75,0.00019999999999999998,0.00015,"[4.0, 8.0]",28.30420832877263,7.999999999999986,27.516293710879022,27.672551931526513,1.5990316201355377,0.42305522510864285,1.0,1.0,1.0,"[(4.0, 7.999999999999986)]",4.099999999999985,True,26.705176708637094,28.30420832877263,True
900,61.2,12.7,0.000225,0.00011999999999999999,"[4.0, 8.0]",27.338916292120498,7.999999999999986,26.495344643284785,26.62688238968066,1.675134703161195,0.44054171219195454,1.0,1.0,1.0,"[(4.0, 7.999999999999986)]",4.099999999999985,True,25.663781588959303,27.338916292120498,True
900,61.2,12.8,0.00019999999999999998,0.00017999999999999998,"[4.0, 8.0]",32.198519990713564,7.999999999999986,31.391152445551686,31.584866730344793,1.6802887022737565,0.4451464844475817,1.0,1.0,1.0,"[(4.0, 7.999999999999986)]",4.099999999999985,True,30.518231288439807,32.198519990713564,True
900,61.2,12.850000000000001,0.00019999999999999998,0.00017999999999999998,"[4.0, 8.0]",31.767857439743477,7.999999999999986,30.893131793877178,31.09589850677923,1.802966354983841,0.4371225531342388,1.0,1.0,1.0,"[(4.0, 7.999999999999986)]",4.099999999999985,True,29.964891084759635,31.767857439743477,True
900,61.2,12.8,0.00019999999999999998,0.00015,"[4.0, 8.0]",27.618838779936343,7.999999999999986,26.739309187713378,26.767239379381387,1.8178897049494758,0.4816194662617215,1.0,1.0,1.0,"[(4.0, 7.999999999999986)]",4.099999999999985,True,25.800949074986868,27.618838779936343,True
900,61.2,12.7,0.00019999999999999998,0.00011999999999999999,"[4.0, 8.0]",23.134681318273028,4.1,22.20332545388938,22.231874052363338,1.8219599955511576,0.5046324663832367,1.0,1.0,1.0,"[(4.0, 7.999999999999986)]",4.099999999999985,True,21.31272132272187,23.134681318273028,True
900,61.2,12.75,0.00019999999999999998,0.00017999999999999998,"[4.0, 8.0]",32.62370917641728,7.999999999999986,31.897010412527777,32.03414510186261,1.8828286173112225,0.4903097020625888,1.0,1.0,1.0,"[(4.0, 7.999999999999986)]",4.099999999999985,True,30.740880559106056,32.62370917641728,True
900,61.2,12.7,0.00025,0.00011999999999999999,"[4.0, 8.0]",31.34272021497351,7.999999999999986,30.34565716257423,30.580495085764884,1.9074391190156383,0.4853816351792133,1.0,1.0,1.0,"[(4.0, 7.999999999999986)]",4.099999999999985,True,29.435281095957873,31.34272021497351,True
900,61.2,12.75,0.000225,0.00011999999999999999,"[4.0, 8.0]",26.82351455794361,7.999999999999986,25.875611602815457,25.926528360006948,1.9189818895195287,0.5141040711819896,1.0,1.0,1.0,"[(4.0, 7.999999999999986)]",4.099999999999985,True,24.904532668424082,26.82351455794361,True
