pattern,supercell_repeats,device_length_mm,pump_GHz,Idc_A,Ip0_A,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite,minimum_in_band_gain_db,maximum_in_band_gain_db,strict_pass
15-4-15,900,61.2,11.999999999999996,0.00045,0.00021999999999999998,"[4.0, 8.0]",27.19232875944008,6.199999999999992,25.809949225867733,26.098342297622068,4.295754771841384,1.0786713300604156,1.0,1.0,1.0,"[(4.1, 4.1), (4.249999999999999, 5.949999999999993), (6.049999999999993, 6.549999999999991), (6.84999999999999, 7.999999999999986)]",3.5499999999999874,True,22.896573987598696,27.19232875944008,False
15-4-15,900,61.2,11.999999999999996,0.00045,0.00015,"[4.0, 8.0]",26.773926975214223,6.199999999999992,25.207142433890503,25.47618074875217,4.545527673703127,1.000022975013558,1.0,1.0,1.0,"[(4.299999999999999, 6.599999999999991), (6.84999999999999, 7.999999999999986)]",3.5499999999999874,True,22.228399301511097,26.773926975214223,False
15-4-15,900,61.2,11.999999999999996,0.00035,0.00029,"[4.0, 8.0]",28.249146692715147,6.199999999999992,26.619733812600096,26.83119436958809,4.679175032541892,0.9711832897073561,1.0,1.0,1.0,"[(4.299999999999999, 4.349999999999999), (4.449999999999998, 7.899999999999986)]",3.599999999999987,True,23.569971660173255,28.249146692715147,False
15-4-15,900,61.2,11.999999999999996,0.00035,0.00021999999999999998,"[4.0, 8.0]",27.80013278669871,6.199999999999992,26.102234653912973,26.272346141141032,4.94033291126653,1.0348446487476126,1.0,1.0,1.0,"[(4.299999999999999, 4.349999999999999), (4.449999999999998, 7.849999999999986)]",3.5499999999999874,True,22.85979987543218,27.80013278669871,False
15-4-15,900,61.2,11.999999999999996,0.00045,0.00029,"[4.0, 8.0]",27.441525245248243,7.349999999999988,25.956074854208328,26.32197665178213,4.989080513502106,1.167648823733245,1.0,1.0,1.0,"[(4.1, 4.1), (4.249999999999999, 5.949999999999993), (6.049999999999993, 6.549999999999991), (6.84999999999999, 7.999999999999986)]",3.5499999999999874,True,22.452444731746137,27.441525245248243,False
15-4-15,900,61.2,11.999999999999996,0.00035,0.00015,"[4.0, 8.0]",26.355045359426907,6.199999999999992,24.5338461015057,24.76238999045101,5.492545684159097,1.2181608294260957,1.0,1.0,1.0,"[(4.299999999999999, 4.299999999999999), (4.449999999999998, 7.649999999999987)]",3.2999999999999883,True,20.86249967526781,26.355045359426907,False
15-4-15,900,61.2,11.999999999999996,0.00025,0.00029,"[4.0, 8.0]",25.988790956910115,6.199999999999992,24.092031053391594,24.462367832950736,5.988496020837829,1.4460413679756285,1.0,1.0,1.0,"[(4.499999999999998, 7.599999999999987)]",3.149999999999989,True,20.000294936072287,25.988790956910115,False
15-4-15,900,61.2,11.999999999999996,0.00025,0.00021999999999999998,"[4.0, 8.0]",25.235014582906366,5.799999999999994,23.240404067072916,23.71652297478065,6.280314869686478,1.5487742571639271,1.0,1.0,0.9506172839506173,"[(4.499999999999998, 4.549999999999998), (4.649999999999998, 7.449999999999988), (7.549999999999987, 7.599999999999987)]",3.049999999999989,True,18.95469971321989,25.235014582906366,False
15-4-15,1200,81.6,11.999999999999996,0.00035,0.00015,"[4.0, 8.0]",27.239316576649763,7.099999999999989,25.24166477081944,25.837212016761157,6.419574953252731,1.5847867820438193,1.0,1.0,1.0,"[(4.599999999999998, 5.949999999999993), (6.049999999999993, 6.549999999999991), (6.79999999999999, 7.949999999999986)]",3.149999999999989,True,20.819741623397032,27.239316576649763,False
15-4-15,1200,81.6,11.999999999999996,0.00025,0.00029,"[4.0, 8.0]",29.298125721489384,5.799999999999994,27.154650798562997,27.808309758343462,7.404634716790724,1.8400661527108255,1.0,1.0,1.0,"[(4.649999999999998, 5.949999999999993), (6.049999999999993, 6.599999999999991), (6.74999999999999, 7.599999999999987)]",2.84999999999999,True,21.89349100469866,29.298125721489384,False
15-4-15,1200,81.6,11.999999999999996,0.00035,0.00021999999999999998,"[4.0, 8.0]",27.614134857343995,5.249999999999996,25.249110073385257,25.474528851198016,8.679143756891772,1.7746718042978196,1.0,1.0,0.9753086419753086,"[(4.749999999999997, 5.949999999999993), (6.049999999999993, 6.549999999999991), (6.79999999999999, 7.999999999999986)]",3.049999999999989,True,18.934991100452223,27.614134857343995,False
15-4-15,2200,149.6,11.999999999999996,0.00025,0.00029,"[4.0, 8.0]",28.427021316514995,5.349999999999995,20.23375711744647,19.498802882450104,11.069786716878536,2.0749524647751976,1.0,1.0,0.37037037037037035,"[(5.349999999999995, 5.349999999999995), (6.649999999999991, 6.649999999999991)]",0.09999999999999964,True,17.35723459963646,28.427021316514995,False
15-4-15,1600,108.8,13.399999999999991,0.00045,0.00029,"[4.0, 8.0]",42.81829629825854,7.7999999999999865,36.5455919522586,37.17806793131003,15.102724702683187,3.319024294545076,1.0,1.0,1.0,"[(4.399999999999999, 4.399999999999999), (4.599999999999998, 4.599999999999998), (5.649999999999994, 5.649999999999994), (6.199999999999992, 6.199999999999992), (6.74999999999999, 6.74999999999999), (7.049999999999989, 7.049999999999989), (7.2499999999999885, 7.299999999999988), (7.449999999999988, 7.449999999999988), (7.549999999999987, 7.549999999999987), (7.699999999999987, 7.699999999999987), (7.7999999999999865, 7.7999999999999865), (7.949999999999986, 7.949999999999986)]",0.6499999999999977,True,27.71557159557535,42.81829629825854,False
15-4-15,1600,108.8,13.199999999999992,0.00045,0.00021999999999999998,"[4.0, 8.0]",39.93286364271745,7.499999999999988,34.979913400534784,35.820870701817896,20.880295164984453,3.8151544340115793,1.0,1.0,0.9876543209876543,"[(4.599999999999998, 4.599999999999998), (4.899999999999997, 4.949999999999997), (5.049999999999996, 5.049999999999996), (5.399999999999995, 5.399999999999995), (5.499999999999995, 5.599999999999994), (5.699999999999994, 5.749999999999994), (6.199999999999992, 6.199999999999992), (6.349999999999992, 6.349999999999992), (6.499999999999991, 6.549999999999991), (6.649999999999991, 6.74999999999999), (6.84999999999999, 6.84999999999999), (6.999999999999989, 7.2499999999999885), (7.349999999999988, 7.349999999999988), (7.499999999999988, 7.549999999999987), (7.749999999999987, 7.749999999999987)]",1.399999999999995,True,19.052568477732997,39.93286364271745,False
15-4-15,1200,81.6,13.399999999999991,0.00045,0.00021999999999999998,"[4.0, 8.0]",39.74052550279736,7.299999999999988,33.915376366716636,35.858063008273284,22.133112226621844,5.317355243084025,1.0,1.0,0.9506172839506173,"[(4.499999999999998, 4.499999999999998), (4.749999999999997, 4.849999999999997), (5.049999999999996, 5.049999999999996), (5.149999999999996, 5.199999999999996), (5.299999999999995, 5.5499999999999945), (5.699999999999994, 5.749999999999994), (6.449999999999991, 6.449999999999991), (6.69999999999999, 6.69999999999999), (6.9499999999999895, 6.9499999999999895), (7.099999999999989, 7.099999999999989), (7.299999999999988, 7.449999999999988), (7.849999999999986, 7.999999999999986)]",1.3499999999999952,True,17.607413276175517,39.74052550279736,False
15-4-15,1600,108.8,13.399999999999991,0.00045,0.00015,"[4.0, 8.0]",36.0895816157964,7.849999999999986,28.12362261585506,29.038494397897246,31.223751545403644,6.786462517891145,0.9382716049382716,0.9259259259259259,0.9135802469135802,"[(5.249999999999996, 5.249999999999996), (5.449999999999995, 5.599999999999994), (6.249999999999992, 6.249999999999992), (6.3999999999999915, 6.3999999999999915), (6.599999999999991, 6.649999999999991), (6.74999999999999, 6.79999999999999), (6.999999999999989, 6.999999999999989), (7.149999999999989, 7.149999999999989), (7.299999999999988, 7.299999999999988), (7.399999999999988, 7.549999999999987), (7.7999999999999865, 7.949999999999986)]",1.099999999999996,True,4.865830070392752,36.0895816157964,False
