signal_GHz,p_minus_s_i,p_s_minus_ps,p_i_minus_pi,2p_minus_p2,2s_minus_s2,2i_minus_i2,ps_minus_i_s2,pi_minus_s_i2,p2_minus_s2_i2
4.0,0.6187587289161606,0.3069973912154661,-0.1912678738162088,-1.3826211512207864,-0.1031603010947027,-0.11454872649871439,0.20860103660599524,0.695477876233655,2.4024295814596974
4.05,0.620079702086062,0.2996665177921465,-0.18252235931587313,-1.3826211512207864,-0.10733197405608103,-0.10082000124721213,0.21308121023783794,0.7017820601547264,2.4146285800896172
4.1,0.6214006752559633,0.29233564436884074,-0.17377684481552358,-1.3826211512207864,-0.11171855831942218,-0.08709127599572375,0.21734647256770045,0.7080862440757631,2.4266126674175674
4.1499999999999995,0.6226297288045233,0.28502851339966967,-0.16496315314799836,-1.3826211512207864,-0.11628477566028722,-0.0721722076694048,0.22131643974456633,0.7154206742831168,2.4394236255001407
4.199999999999999,0.623858782353083,0.2777213824304847,-0.15614946148045927,-1.3826211512207864,-0.12109161894732073,-0.057253139343099724,0.2250457809752776,0.7227551044904426,2.451993957636532
4.249999999999999,0.6249973863057048,0.2704233914298665,-0.14759522911343692,-1.3826211512207864,-0.12610439780045418,-0.041125198277848496,0.22846959707538417,0.7314674171412933,2.4653863277538934
4.299999999999999,0.626135990258337,0.2631254004292552,-0.13904099674641457,-1.3826211512207864,-0.13138935704021248,-0.024073427415727267,0.23162123278886587,0.7411035595890209,2.4794303472815207
4.349999999999999,0.627185459285251,0.25585332534294736,-0.1304235453679775,-1.3826211512207864,-0.13691324565500568,-0.005770953803593826,0.234418888287298,0.7518380508496416,2.494307870332689
4.399999999999999,0.6282349283121685,0.2485812502566534,-0.12180609398956821,-1.3826211512207864,-0.14274870042157994,0.013908631648705538,0.2369049776339352,0.7639496539504492,2.510250939072249
4.449999999999998,0.6291964476925691,0.24128483752537677,-0.11342958979472517,-1.3826211512207864,-0.1488652007995972,0.035411062924949055,0.23904640936759508,0.7780371004122433,2.5275599087312766
4.499999999999998,0.630157967072973,0.2339884247940932,-0.10505308559989601,-1.3826211512207864,-0.15534333191374178,0.059036815197872905,0.24082621036513457,0.7942478678707385,2.5466305686508637
4.549999999999998,0.6310325409345057,0.22672012401822594,-0.0966177478415875,-1.3826211512207864,-0.16215704349552273,0.0854668360916605,0.24215537342076043,0.8131171248677571,2.5679960256859355
4.599999999999998,0.6319071147960452,0.21945182324233092,-0.0881824100832651,-1.3826211512207864,-0.1693971916040954,0.11535321919375202,0.24305809994962235,0.8354427440730658,2.5923914084025332
4.649999999999998,0.6326957605570227,0.21213150118630508,-0.07997094870355881,-1.3826211512207864,-0.1770450135263335,0.14989498403470553,0.24351924584437717,0.8625616932952801,2.620862642843204
4.6999999999999975,0.6334844063179933,0.20481117913030006,-0.07175948732385251,-1.3826211512207864,-0.18520505764305084,0.19056784366348195,0.24346816954464584,0.8958117373053311,2.654952749877204
4.749999999999997,0.6341879064181501,0.1975211143417574,-0.063493137550788,-1.3826211512207864,-0.19387028725129096,0.23992360642883376,0.2427965048250949,0.937604650397772,2.6970502832346295
4.799999999999997,0.6348914065183037,0.19023104955323555,-0.05522678777775125,-1.3826211512207864,-0.20316406987651303,0.3018582429478653,0.24149628708855508,0.9919764372439133,2.751098137328746
4.849999999999997,0.6355104841190596,0.18286529311693778,-0.04716826856482337,-1.3826211512207864,-0.21309795155207562,0.38366197328336404,0.2395472394500428,1.0663407259672435,2.824206141190194
4.899999999999997,0.6361295617198226,0.17549953668064694,-0.039109749351881606,-1.3826211512207864,-0.22382320256320726,0.5000880855914186,0.23680682247596146,1.1753273966631228,2.931145157688643
4.949999999999997,0.6366648990221608,0.16816623492306448,-0.03099994451925825,-1.3826211512207864,-0.23538133571133352,0.6910653315083879,0.2331173283877594,1.3587301750498104,3.1116349450621623
4.9999999999999964,0.6372002363245061,0.16083293316551672,-0.022890139686621014,-1.3826211512207864,-0.2479665481598739,1.2046552207735441,0.22840075499911544,1.8647455967846782,3.613710296483469
5.049999999999996,0.6376523091368504,0.15340322049307853,-0.01497286545422416,-1.3826211512207864,-0.2616703000622514,1.2157788449273788,0.22257878858152058,1.8684040195184535,3.6120343143596148
5.099999999999996,0.6381043819492018,0.1459735078206681,-0.007055591221841184,-1.3826211512207864,-0.27675719646632485,0.828362122495846,0.21537367766220894,1.473522095666889,3.2104348411487114
5.149999999999996,0.6384736642172789,0.13857853483999205,0.0009097338631164353,-1.3826211512207864,-0.2934063766906955,0.4410415017693792,0.20648875268659828,1.0786054321235485,2.807203604734028
5.199999999999996,0.6388429464853663,0.13118356185927438,0.008875058948087933,-1.3826211512207864,-0.31200598501016086,0.053720881042898516,0.19565339961592765,0.6836887685801735,2.4020219402242566
5.249999999999996,0.6391298039771995,0.12367381637404251,0.01666278134185295,-1.3826211512207864,-0.3328991705306428,-0.3335067607688827,0.1825568170725142,0.28896026186646384,1.9944748278756599
5.299999999999995,0.6394166614690326,0.11616407088879677,0.024450503735645723,-1.3826211512207864,-0.3567107066894601,-0.720734402580657,0.16654188389076535,-0.10576824484727354,1.5840093648887346
5.349999999999995,0.6396213699115596,0.108691440617259,0.0322832599650158,-1.3826211512207864,-0.38412225005848843,-1.1078719767212628,0.1468076792358053,-0.5005338667747119,1.1698696642641546
5.399999999999995,0.6398260783540971,0.1012188103457351,0.04011601619439975,-1.3826211512207864,-0.41626990717155005,-1.4950095508618615,0.12233736083681196,-0.8952994887021573,0.750993849895569
5.449999999999995,0.6399488146725425,0.09361447140178447,0.04778606325805956,-1.3826211512207864,-0.4546305487372476,-1.3962703215348802,0.09170379453350697,-0.8041075701204006,0.8116179102937437
5.499999999999995,0.6400715509909983,0.08601013245783384,0.055456110321733254,-1.3826211512207864,-0.5016604731093512,-0.9361825572542157,0.05240094542380974,-0.35156711658495404,1.2249212228392161
5.5499999999999945,0.640112465203492,0.07844539203667733,0.0631683809686201,-1.3826211512207864,-0.5611648639050337,-0.7527221782001048,0.0005022092617809615,-0.17577809396523286,1.348959039522632
5.599999999999994,0.6401533794159822,0.07088065161549306,0.07088065161550694,-1.3826211512207864,-0.6401533794159753,-0.6401533794159892,-0.07088065161549306,-0.07088065161550694,1.3826211512207864
5.649999999999994,0.640112465203492,0.0631683809686201,0.07844539203667733,-1.3826211512207864,-0.7527221782000839,-0.5611648639050406,-0.17577809396521205,0.0005022092617740226,1.3489590395226458
5.699999999999994,0.6400715509909983,0.05545611032174713,0.08601013245784772,-1.3826211512207864,-0.936182557254174,-0.5016604731093582,-0.3515671165849263,0.052400945423788925,1.2249212228392508
5.749999999999994,0.6399488146725425,0.04778606325805956,0.09361447140178447,-1.3826211512207864,-1.396270321534783,-0.45463054873725456,-0.8041075701203035,0.09170379453350003,0.8116179102938339
5.799999999999994,0.6398260783540971,0.04011601619438587,0.1012188103457351,-1.3826211512207864,-1.4950095508618477,-0.416269907171557,-0.8952994887021435,0.12233736083680502,0.7509938498955759
5.849999999999993,0.6396213699115596,0.03228325996500192,0.10869144061727287,-1.3826211512207864,-1.107871976721346,-0.3841222500584954,-0.5005338667747952,0.14680767923579835,1.1698696642640645
5.899999999999993,0.6394166614690326,0.024450503735631846,0.11616407088879677,-1.3826211512207864,-0.7207344025807403,-0.3567107066894601,-0.10576824484734293,0.16654188389077923,1.5840093648886513
