signal_GHz,basic,basic_plus_s2,basic_plus_i2,all_except_s2_i2,all_except_i2,all_except_s2,all_8_modes
4.0,9.694806143997253,9.720937422351785,9.787425809944425,34.79669121478304,31.67883866621795,31.842436015144088,35.50225139034542
4.05,10.233038683450582,10.260099319371145,10.321447249062851,38.206937456859045,36.020092459363646,31.70011166275295,35.17013593305782
4.1,10.614131792086784,10.642581323282062,10.699738391006488,38.701879470390246,35.27798805987549,31.479910893320366,34.676591343765196
4.1499999999999995,10.089493716702405,10.119342191402517,10.171877262353453,32.93010827360555,17.96695880828426,31.280388340352545,34.93895302326376
4.199999999999999,9.692557196783095,9.724323598370075,9.7725655257672,35.3258279783209,28.90716192124424,32.82338711442818,36.61211366951796
4.249999999999999,10.13752113343247,10.170552977455753,10.213114726907286,36.86636001489433,21.90989011369375,35.47304835629868,37.1390152220066
4.299999999999999,10.623720398294946,10.658544773816763,10.695740808130905,37.16361414621672,31.633175131534518,37.615873590731326,29.58070778061235
4.349999999999999,10.206752439667959,10.243534692610991,10.275340358221548,25.605740590748816,27.914899850481554,37.4652651712084,35.54941061342243
4.399999999999999,9.708557200564487,9.748134092849067,9.774731912533882,30.291555224020147,23.092115294640596,35.08531382660805,30.058283410498067
4.449999999999998,10.026989346816691,10.068744860508474,10.089357275168993,37.36842402859865,34.4368863216883,32.57446957443214,37.220013854876036
4.499999999999998,10.591081326679923,10.635510414636373,10.650019354096623,35.74354440456128,35.718268535267875,29.55002043235059,40.13623771975539
4.549999999999998,10.323432566502362,10.370552580350479,10.37890547126777,32.45634667202253,29.386002282670866,34.48376332272281,36.15377781995935
4.599999999999998,9.749152007549942,9.799674499162034,9.801901275319896,34.25282378310107,25.410679461422138,37.47003645035259,35.01975329326119
4.649999999999998,9.919105374518004,9.971771031273923,9.96798609157273,31.93586957332185,32.01357502086766,26.064616430632498,36.11618020014913
4.6999999999999975,10.524511866965945,10.579020014143905,10.569609089719382,39.79545188593723,28.02320673963855,32.50869697781323,28.351925382154263
4.749999999999997,10.44241956086137,10.497945215692022,10.483630107613873,38.74988704317589,24.25151596168954,36.06011969334439,37.44556716916001
4.799999999999997,9.826220920975024,9.883058160383856,9.864066894347438,38.06865891559125,35.11093696181303,27.225520739312262,36.368013493564135
4.849999999999997,9.822687963930624,9.879406075294717,9.856347937150181,36.69275664239608,34.84742898748321,37.95422895236583,39.038382353558355
4.899999999999997,10.413217363439397,10.470473913210718,10.44237963597321,35.04772212780783,35.00579301471665,29.917498821501226,34.383770840358004
4.949999999999997,10.538479106562272,10.598055003406849,10.562387686351812,32.087555919510166,27.081168264789895,38.952262195134445,25.63045478485947
4.9999999999999964,9.938340848050581,10.006061638826624,9.954864431828138,28.737980680049738,35.55529731009047,35.906544799778395,37.35453669910306
5.049999999999996,9.753497244743821,9.834310277593762,9.769536252305155,26.95230742926379,29.64227928729679,31.79460707590848,37.789763048054176
5.099999999999996,10.268122290982406,10.36512951323898,10.279380545953769,26.706237809826487,39.758763217821965,39.05628970666951,40.14312121413532
5.149999999999996,10.597848152096539,10.69881130409385,10.625447287244704,26.573965015839285,40.74867543476155,36.92343285905379,37.01750374842873
5.199999999999996,10.089278246401136,10.152356589517925,10.13495809910161,25.705269288868454,38.46839711560276,35.06529282198793,38.63832099346107
5.249999999999996,9.7305468651646,9.660409242383889,9.735702935663474,25.3067168343637,36.41422983480481,39.429741928099254,36.4448949753658
5.299999999999995,10.102298092426834,9.77704967539776,10.104564236142268,25.46443406740524,35.42505021900868,39.50662562277509,39.11295507921691
5.349999999999995,10.593830673783087,10.002506404500336,10.592277455945979,26.558018113007684,34.6971043824156,38.71892091249093,37.64101583795603
5.399999999999995,10.261647620801899,9.748005635836133,10.235041781225764,25.46753789655523,33.90032501188236,39.790780915218726,34.31451374815945
5.449999999999995,9.766627012474844,9.801258552881361,9.737635620861523,26.484827378093648,34.43050425227454,39.43524508573254,28.989626930690537
5.499999999999995,9.942439767805016,10.150103965019621,9.880308426217411,28.52105758571635,34.09455369380905,43.03234516552141,40.01405301107691
5.5499999999999945,10.514166095771271,10.106413692732474,10.46615138580595,28.65251068074068,34.612056799528375,41.887933187204,35.39525445711433
5.599999999999994,10.855309013623,10.881408255646134,11.166367007152152,28.845269799607614,36.13542451660813,39.990166108681095,31.460242974702734
5.649999999999994,9.879193808264631,9.767594613788377,9.681990115079934,30.53532491504953,38.04074840834067,32.25738335185154,33.67923909111862
5.699999999999994,9.819095634521304,9.757048507811646,10.104515955792209,31.827370400003716,34.9428358889888,40.13434764894643,34.69743979344848
5.749999999999994,10.35614954420095,10.327319850135321,10.438031265490187,33.282976888441354,39.32692017634117,39.88508312954835,28.088472878679482
5.799999999999994,10.552353493794865,10.526130622180636,10.4450609377655,35.04155989270479,39.46608112809265,31.51425857468514,39.14176970556427
5.849999999999993,10.054583554256231,10.03359185989562,9.979241377597136,35.5701474107938,17.465363729784457,37.553487865149904,31.987337243814473
5.899999999999993,9.755192399949316,9.73741546026939,9.767898334394783,36.367807232097775,23.982826127772427,35.20714268503398,29.529746206443157
5.949999999999993,10.151140188734518,10.13695148620763,10.214785065067222,37.66528663882988,24.834334321185366,40.79578392033316,32.799477936724685
5.999999999999993,10.575719867921453,10.619576371105783,10.654139718163105,38.637173536054085,37.153122432609464,35.571405165737374,30.457872744173976
6.049999999999993,10.27507890510085,10.301231252360608,10.349920047507856,38.3844677934929,27.418993952717237,41.45293803276304,41.316626219187704
6.0999999999999925,9.798119900582126,9.795636667978158,9.86533055377598,33.87376858370952,23.01089124318945,38.66903181920187,36.74135345060664
6.149999999999992,9.952967291586646,9.967291561889187,10.011951844507783,33.64339762502229,35.36429155342563,29.810387649593206,39.46059011585245
6.199999999999992,10.47475120459319,10.489213623723836,10.527719062862367,41.105992870883014,37.64712665761899,37.12338856451924,34.63993479549178
6.249999999999992,10.480936000798025,10.501729209186,10.52917361158766,28.50521798873755,34.68735483635549,37.3817986669481,37.79904640511875
6.299999999999992,9.953011318241806,9.978116885307765,9.998148284722536,39.44544619439935,36.206973455086306,35.13476520147786,39.88353455396278
6.349999999999992,9.820308455805865,9.848588376921633,9.862202549527964,38.862922379521734,27.64605172116564,36.20206470227981,39.754660065474575
6.3999999999999915,10.261751096875475,10.292942308450879,10.30083824364916,39.32299206866695,33.84092780481539,38.77912158162253,34.89008166803758
6.449999999999991,10.579710744097202,10.613539579031062,10.615907786908894,38.57733847343431,33.64031537325434,39.69667303898481,25.202731231016365
6.499999999999991,10.193539498183616,10.229401172583245,10.227631354013289,40.45808281741916,35.88931075791947,39.241272590219076,35.876952063705396
6.549999999999991,9.815357261448973,9.853876439135338,9.84718749194078,27.71880295067955,33.08868896676429,33.86534677977147,25.294749488209924
6.599999999999991,10.020178964773045,10.060840294250061,10.050036625804648,35.66070917541204,30.43586599270775,37.71348990684743,34.471817969723006
6.649999999999991,10.510539079826662,10.551899709864056,10.538228306052616,30.507065936000725,24.75936685200032,30.725343177722696,37.84951647659949
6.69999999999999,10.442410784548438,10.486429183792632,10.46849881878173,22.868408009023597,16.82394942028362,35.11959276108508,36.153895101829164
6.74999999999999,9.964267823561716,10.010754794213256,9.988676552833414,36.60867486782977,22.993866541620175,32.86668583668097,32.19490823648835
6.79999999999999,9.847596629335099,9.895290513037558,9.870564379812599,39.17310213382654,30.08186963173288,33.7759091018467,34.094136512038
6.84999999999999,10.27544079482949,10.322781161603622,10.296696304371872,37.232856281850005,34.24430405717232,30.567121802313505,39.22879267455344
6.89999999999999,10.557124328088769,10.605799824569411,10.577053275812753,29.369572029933224,36.08007160710977,26.189024948127933,39.3976014537552
6.9499999999999895,10.227767274080025,10.278842751014565,10.246367363273253,21.016150888301787,35.69341708249574,31.525712578641834,37.94849796746295
6.999999999999989,9.8428935803984,9.897100431643329,9.860477417591278,16.391150772669462,34.17800023838795,31.0183355310075,36.13943181743189
7.049999999999989,10.003754787446148,10.058598957586122,10.020104490204826,17.64106590300769,32.63655318321294,30.394354565818684,35.43424557706079
7.099999999999989,10.449168176809646,10.503469734750707,10.464513536768747,25.850998474134407,31.454798937183206,30.573515530449825,35.73996236681244
7.149999999999989,10.479280855391691,10.531916612014927,10.49354971301916,29.585645147353553,31.496960573196837,30.829193665792886,35.11973226605829
7.199999999999989,10.033346694097538,10.086554838885684,10.046807475595063,31.22308238396165,32.512429402080976,31.043276027672224,32.47783749836315
7.2499999999999885,9.845401378761881,9.900379197213562,9.857873729629112,32.40456754901509,34.091176364539145,31.924724626420886,30.597139492379334
7.299999999999988,10.15350122351804,10.212572776823762,10.165135357075082,33.622224951725045,35.35466273299777,33.561612489700366,31.258052516697962
7.349999999999988,10.511499265028954,10.572969998066517,10.522195430954397,34.41520008527395,35.79627982033718,35.21097909110988,33.77821051026882
7.399999999999988,10.323379200148118,10.385543143534397,10.33340363103255,34.177549047708865,35.144444723505835,35.79217663490899,35.91818686472994
7.449999999999988,9.925793071144229,9.983129979101989,9.93503554884329,33.15518990809914,33.91868775648362,35.373260020913214,36.59915270406556
7.499999999999988,9.888846005524728,9.93943378549355,9.897500421339558,31.915684782787146,32.90775861733622,34.509448026727675,37.807475847499646
7.549999999999987,10.271886072459056,10.314563257907594,10.279792595316636,30.382133351860226,32.15060126416947,33.08368435251381,38.383514537370914
7.599999999999987,10.479213639865513,10.520225214327308,10.486552365735696,27.97683220751637,31.45491182541239,30.381596289748792,38.16703675753109
7.649999999999987,10.190104350080214,10.235513115661682,10.196796771755318,24.611739077947274,30.565935777675396,26.009611221356224,37.615952631756244
7.699999999999987,9.844400687070145,9.901522210786407,9.850593768297049,21.264099237870767,29.893643452358205,20.01772845272505,37.06084176039119
7.749999999999987,9.931388906063553,9.995500078121042,9.936964957638617,19.22655594957478,30.056342937768093,13.671197406933782,37.08521811424936
7.7999999999999865,10.293574914525003,10.350369182787265,10.298678928778358,18.66790311617978,30.88023185473054,15.491389160559327,37.51752948653589
7.849999999999986,10.400691283686406,10.415852263480602,10.405260053238761,18.80252763661323,31.771723250545143,19.31723646657575,37.768712746111504
7.899999999999986,10.066461607754956,9.995456750546714,10.070647774413226,19.132707872417527,32.387600859366835,21.741976032124594,37.573944860567906
7.949999999999986,9.80206928571323,9.588435258936883,9.80578000776943,19.995915820651074,33.142856933857544,23.728626390747078,37.44827548746057
7.999999999999986,9.926054551221334,9.524425550838105,9.92939885062366,21.61311381669168,34.28777056031471,25.856324798905842,37.74957519015468
