configuration,included_modes,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite,minimum_in_band_gain_db,maximum_in_band_gain_db,minimum_gain_frequency_GHz
basic,"['p', 's', 'i']","[4.0, 8.0]",10.855309013623,5.599999999999994,10.158627449612538,10.151140188734518,1.1627518168399043,0.29724533049864443,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True,9.692557196783095,10.855309013623,4.199999999999999
basic_plus_s2,"['p', 's', 'i', 's2']","[4.0, 8.0]",10.881408255646134,5.599999999999994,10.162092016371085,10.13695148620763,1.3569827048080292,0.316486941558538,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True,9.524425550838105,10.881408255646134,7.999999999999986
basic_plus_i2,"['p', 's', 'i', 'i2']","[4.0, 8.0]",11.166367007152152,5.599999999999994,10.189823041736727,10.196796771755318,1.484376892072218,0.3099859659940129,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True,9.681990115079934,11.166367007152152,5.649999999999994
all_except_s2_i2,"['p', 's', 'i', 'ps', 'pi', 'p2']","[4.0, 8.0]",41.105992870883014,6.199999999999992,31.177560382967634,32.087555919510166,24.714842098213552,6.315748828582006,1.0,0.9876543209876543,0.9135802469135802,"[(4.05, 4.1), (4.6999999999999975, 4.749999999999997), (5.999999999999993, 6.049999999999993), (6.199999999999992, 6.199999999999992), (6.299999999999992, 6.499999999999991), (6.79999999999999, 6.79999999999999)]",0.6499999999999977,True,16.391150772669462,41.105992870883014,6.999999999999989
all_except_i2,"['p', 's', 'i', 'ps', 'pi', 'p2', 's2']","[4.0, 8.0]",40.74867543476155,5.149999999999996,31.980475107645663,33.64031537325434,23.924726014477933,5.085679264469897,1.0,0.9876543209876543,0.9629629629629629,"[(5.099999999999996, 5.199999999999996), (5.649999999999994, 5.649999999999994), (5.749999999999994, 5.799999999999994)]",0.29999999999999893,True,16.82394942028362,40.74867543476155,6.69999999999999
all_except_s2,"['p', 's', 'i', 'ps', 'pi', 'p2', 'i2']","[4.0, 8.0]",43.03234516552141,5.499999999999995,33.535230896476214,34.509448026727675,29.36114775858763,5.76989716974922,0.9876543209876543,0.9753086419753086,0.9629629629629629,"[(5.499999999999995, 5.5499999999999945), (5.699999999999994, 5.699999999999994), (5.949999999999993, 5.949999999999993), (6.049999999999993, 6.049999999999993)]",0.2499999999999991,True,13.671197406933782,43.03234516552141,7.749999999999987
all_8_modes,"['p', 's', 'i', 'ps', 'pi', 'p2', 's2', 'i2']","[4.0, 8.0]",41.316626219187704,6.049999999999993,35.422569791335654,36.15377781995935,16.11389498817134,3.5564894224837116,1.0,1.0,1.0,"[(4.499999999999998, 4.499999999999998), (4.849999999999997, 4.849999999999997), (5.099999999999996, 5.099999999999996), (5.199999999999996, 5.199999999999996), (5.299999999999995, 5.299999999999995), (5.499999999999995, 5.499999999999995), (5.799999999999994, 5.799999999999994), (6.049999999999993, 6.049999999999993), (6.149999999999992, 6.149999999999992), (6.299999999999992, 6.349999999999992), (6.84999999999999, 6.89999999999999), (7.549999999999987, 7.549999999999987)]",0.6999999999999975,True,25.202731231016365,41.316626219187704,6.449999999999991
