pump_GHz,Idc_A,Ip0_A,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite,minimum_in_band_gain_db,maximum_in_band_gain_db,strict_qualified
12.930000000000001,0.00030499999999999993,0.0002999999999999999,"[4.0, 8.0]",25.231483712788236,5.449999999999995,24.086585334019922,24.50092163160187,4.288470770706208,1.1645953415659982,1.0,1.0,1.0,"[(4.0, 7.549999999999987)]",3.599999999999987,True,20.943012942082028,25.231483712788236,False
12.940000000000001,0.00030499999999999993,0.0002999999999999999,"[4.0, 8.0]",23.592660358728146,5.449999999999995,22.452403277178174,22.85713354455663,4.271609670804239,1.167029439453324,1.0,1.0,0.9382716049382716,"[(4.0, 7.549999999999987)]",3.599999999999987,True,19.321050687923908,23.592660358728146,False
12.950000000000001,0.00030499999999999993,0.0002999999999999999,"[4.0, 8.0]",22.006091912712904,5.449999999999995,20.871793587032744,21.29518703139615,4.2532119620392095,1.169119577390654,1.0,1.0,0.7901234567901234,"[(4.0, 7.549999999999987)]",3.599999999999987,True,17.752879950673695,22.006091912712904,False
12.930000000000001,0.00030499999999999993,0.00030999999999999995,"[4.0, 8.0]",34.52834654706137,5.699999999999994,33.47675902687428,33.80270296723363,3.847701133076775,1.025466892397597,1.0,1.0,1.0,"[(4.0, 7.749999999999987)]",3.7999999999999865,True,30.680645413984593,34.52834654706137,False
12.940000000000001,0.00030499999999999993,0.00030999999999999995,"[4.0, 8.0]",33.25815507670604,5.649999999999994,32.16580040223724,32.48866668905944,3.996789214709125,1.0646410774420954,1.0,1.0,1.0,"[(4.0, 7.699999999999987)]",3.7499999999999867,True,29.261365861996914,33.25815507670604,False
12.950000000000001,0.00030499999999999993,0.00030999999999999995,"[4.0, 8.0]",31.97441727914239,5.649999999999994,30.85660891624568,31.21153613590501,4.090739146965085,1.090895371254569,1.0,1.0,1.0,"[(4.0, 7.649999999999987)]",3.699999999999987,True,27.883678132177305,31.97441727914239,False
12.930000000000001,0.00030499999999999993,0.00031999999999999997,"[4.0, 8.0]",39.89286229231372,6.999999999999989,39.13184181540043,39.24801528680295,2.25417588748968,0.6322213306945416,1.0,1.0,1.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True,37.63868640482404,39.89286229231372,True
12.940000000000001,0.00030499999999999993,0.00031999999999999997,"[4.0, 8.0]",39.435052200885345,6.74999999999999,38.734080725755994,38.892534576203545,2.2772538231740356,0.6177927207016667,1.0,1.0,1.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True,37.15779837771131,39.435052200885345,True
12.950000000000001,0.00030499999999999993,0.00031999999999999997,"[4.0, 8.0]",38.91266342052937,6.499999999999991,38.19838962704493,38.402675118364876,2.348389789537258,0.6615715068190708,1.0,1.0,1.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True,36.56427363099211,38.91266342052937,True
12.930000000000001,0.00031499999999999996,0.0002999999999999999,"[4.0, 8.0]",32.22559982016316,5.649999999999994,31.11991434387616,31.467740530742386,4.077335989668754,1.086075507882687,1.0,1.0,1.0,"[(4.0, 7.649999999999987)]",3.699999999999987,True,28.148263830494408,32.22559982016316,False
