pump_GHz,Idc_A,Ip0_A,nominal_minimum_gain_db,nominal_mean_gain_db,nominal_ripple_db,qualified_points,qualified_fraction,worst_minimum_gain_db,worst_ripple_db
12.940000000000001,0.000325,0.00030999999999999995,37.39218527472352,38.522096382120566,2.8990319744941644,9,0.3333333333333333,23.452400572433135,8.610199452696506
12.940000000000001,0.00031499999999999996,0.00030999999999999995,35.93812070290707,37.56641137422546,2.3746236880910914,9,0.3333333333333333,17.752879950673695,7.72137094284701
12.99,0.000335,0.00030999999999999995,36.93724617004027,38.04929023025293,2.910142478634775,9,0.3333333333333333,21.959612687687176,8.498083294758459
13.03,0.000285,0.00034999999999999994,36.27195532894653,38.1142781005352,2.6228848025009412,9,0.3333333333333333,16.332531115512765,7.745059938707335
12.930000000000001,0.00031499999999999996,0.00030999999999999995,36.653294378919824,38.236328208561424,2.278542137367211,9,0.3333333333333333,19.321050687923908,7.983851204686069
13.03,0.00026499999999999994,0.00037,37.468920623412274,39.24611026093542,2.5067991057202192,9,0.3333333333333333,18.55459533031175,7.826748130666456
12.98,0.00038500000000000003,0.00026999999999999995,33.80638063458107,35.559296633591,2.5214115625626263,8,0.2962962962962963,13.111806385967451,7.9330178915113585
13.0,0.000335,0.00030999999999999995,36.90117360157852,38.22011759274045,2.568313132752529,9,0.3333333333333333,21.335290834335513,8.378315045030547
12.920000000000002,0.00031499999999999996,0.00030999999999999995,37.21489830929336,38.729261210408275,2.229735825158528,9,0.3333333333333333,20.943012942082028,8.184910119732027
13.02,0.000285,0.00034999999999999994,37.33428412880122,39.042063720674896,2.4365837283247345,9,0.3333333333333333,18.588028216584142,7.990703844177784
13.02,0.00026499999999999994,0.00037,38.31593198717507,39.94578195930066,2.382658015242477,9,0.3333333333333333,20.63334537419433,8.040373191426248
12.950000000000001,0.000325,0.00030999999999999995,37.40657895195451,38.66873915041964,2.5822594302440933,9,0.3333333333333333,23.641383594804605,8.498709478538771
