pump_GHz,Idc_A,Ip0_A,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite,minimum_in_band_gain_db,maximum_in_band_gain_db,strict_qualified
13.02,0.00026499999999999994,0.00034999999999999994,"[4.0, 8.0]",26.389333795635675,5.5499999999999945,25.252298215178946,25.599485940263275,4.169322329015888,1.1159516952700221,1.0,1.0,1.0,"[(4.0, 7.599999999999987)]",3.649999999999987,True,22.220011466619788,26.389333795635675,False
13.03,0.00026499999999999994,0.00034999999999999994,"[4.0, 8.0]",24.027601624480127,5.5499999999999945,22.899847674489127,23.25023424997841,4.149016254025668,1.1164386812783287,1.0,1.0,0.9876543209876543,"[(4.0, 7.599999999999987)]",3.649999999999987,True,19.87858537045446,24.027601624480127,False
13.04,0.00026499999999999994,0.00034999999999999994,"[4.0, 8.0]",21.84200430469331,5.5499999999999945,20.72718679986155,21.09234314838881,4.127487859276499,1.1175203139366667,1.0,1.0,0.7777777777777778,"[(4.0, 7.599999999999987)]",3.649999999999987,True,17.714516445416812,21.84200430469331,False
13.049999999999999,0.00026499999999999994,0.00034999999999999994,"[4.0, 8.0]",19.498928562954838,5.5499999999999945,18.393947670979337,18.771000206626873,4.109139513696761,1.122759668914768,1.0,0.8518518518518519,0.0,"[(4.0, 7.599999999999987)]",3.649999999999987,True,15.389789049258077,19.498928562954838,False
13.059999999999999,0.00026499999999999994,0.00034999999999999994,"[4.0, 8.0]",16.46139317058938,5.099999999999996,15.352630920340609,15.756832156824885,4.1320381542669935,1.14389747305753,0.7283950617283951,0.0,0.0,"[(4.0, 7.549999999999987)]",3.599999999999987,True,12.329355016322385,16.46139317058938,False
13.069999999999999,0.00026499999999999994,0.00034999999999999994,"[4.0, 8.0]",13.218133650404,5.099999999999996,12.043059159733652,12.504768630153913,4.296807659348463,1.200793470129564,0.0,0.0,0.0,"[(4.0, 7.499999999999988)]",3.5499999999999874,True,8.921325991055538,13.218133650404,False
13.079999999999998,0.00026499999999999994,0.00034999999999999994,"[4.0, 8.0]",10.16580775363639,5.099999999999996,8.877569971126302,9.430947328589198,4.618912154942527,1.311251553792615,0.0,0.0,0.0,"[(4.0, 7.399999999999988)]",3.4499999999999877,True,5.546895598693863,10.16580775363639,False
13.089999999999998,0.00026499999999999994,0.00034999999999999994,"[4.0, 8.0]",6.096045489950164,5.099999999999996,4.600918862414869,5.220441207387266,4.938016947203243,1.4917412519686286,0.0,0.0,0.0,"[(4.0, 7.149999999999989)]",3.1999999999999886,True,1.1580285427469206,6.096045489950164,False
13.099999999999998,0.00026499999999999994,0.00034999999999999994,"[4.0, 8.0]",2.669264147964733,7.999999999999986,0.5701925046793148,0.35729760748602146,2.6690836454153817,0.6765350876081873,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True,0.00018050254935141497,2.669264147964733,False
13.02,0.00026499999999999994,0.00035999999999999997,"[4.0, 8.0]",35.39403672596991,5.699999999999994,34.326470375083055,34.65261594490774,3.7360024891782295,1.0138247390110746,1.0,1.0,1.0,"[(4.0, 7.749999999999987)]",3.7999999999999865,True,31.658034236791682,35.39403672596991,False
13.03,0.00026499999999999994,0.00035999999999999997,"[4.0, 8.0]",33.53732728521262,5.699999999999994,32.41388440652033,32.745201588091575,3.938293051626033,1.060130531226582,1.0,1.0,1.0,"[(4.0, 7.699999999999987)]",3.7499999999999867,True,29.599034233586586,33.53732728521262,False
13.04,0.00026499999999999994,0.00035999999999999997,"[4.0, 8.0]",31.729358176130216,5.649999999999994,30.578454816889646,30.929392177450055,4.0466387661574466,1.0839090112448637,1.0,1.0,1.0,"[(4.0, 7.649999999999987)]",3.699999999999987,True,27.68271940997277,31.729358176130216,False
13.049999999999999,0.00026499999999999994,0.00035999999999999997,"[4.0, 8.0]",29.724064287171984,5.649999999999994,28.561949064910056,28.92745074303292,4.098536724458178,1.0961774511337072,1.0,1.0,1.0,"[(4.0, 7.649999999999987)]",3.699999999999987,True,25.625527562713806,29.724064287171984,False
13.059999999999999,0.00026499999999999994,0.00035999999999999997,"[4.0, 8.0]",27.065615593352653,5.599999999999994,25.9033335511194,26.26788406609773,4.122990205903818,1.1018738864003346,1.0,1.0,1.0,"[(4.0, 7.599999999999987)]",3.649999999999987,True,22.942625387448835,27.065615593352653,False
13.069999999999999,0.00026499999999999994,0.00035999999999999997,"[4.0, 8.0]",24.19907185285167,5.599999999999994,23.04844997395686,23.410459955230444,4.114971679243279,1.1012377171828267,1.0,1.0,1.0,"[(4.0, 7.599999999999987)]",3.649999999999987,True,20.08410017360839,24.19907185285167,False
