pump_GHz,Idc_A,Ip0_A,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite,minimum_in_band_gain_db,maximum_in_band_gain_db
13.099999999999998,0.0003,0.00022999999999999998,"[4.0, 8.0]",31.410955673581128,4.5,27.853503738604555,28.60607372283706,7.412575809189004,2.6645613044820005,1.0,1.0,1.0,"[(4.0, 5.0), (6.5, 6.5), (8.0, 8.0)]",2.5,True,23.998379864392124,31.410955673581128
12.6,0.00039999999999999996,0.00033,"[4.0, 8.0]",40.632120175820674,4.5,36.92174016601095,37.441168821206745,7.881797367231265,2.1436046148985306,1.0,1.0,1.0,"[(4.0, 4.5), (6.0, 6.5)]",2.0,True,32.75032280858941,40.632120175820674
12.7,0.00035,0.00033,"[4.0, 8.0]",42.36349028579759,8.0,37.82314975365388,38.458406275791226,10.467758947452264,3.190734663584214,1.0,1.0,1.0,"[(6.5, 6.5), (7.5, 8.0)]",1.5,True,31.895731338345325,42.36349028579759
12.799999999999999,0.00039999999999999996,0.00028,"[4.0, 8.0]",38.737116774745374,7.5,34.133663580944436,34.595388585116204,10.480278063289962,3.39995736868564,1.0,1.0,1.0,"[(5.0, 5.0), (6.0, 6.0), (7.0, 7.5)]",2.0,True,28.256838711455412,38.737116774745374
12.999999999999998,0.0003,0.00022999999999999998,"[4.0, 8.0]",38.57902809054933,7.5,32.24409927266177,32.00025718335739,10.933106742031839,3.007339633179315,1.0,1.0,1.0,"[(7.5, 7.5)]",0.5,True,27.64592134851749,38.57902809054933
12.6,0.00039999999999999996,0.00028,"[4.0, 8.0]",40.59680562367289,6.0,34.847613961012414,35.46917204469851,11.348548124966076,4.104898489417953,1.0,1.0,1.0,"[(4.5, 4.5), (6.0, 6.0), (8.0, 8.0)]",1.5,True,29.248257498706817,40.59680562367289
12.899999999999999,0.00039999999999999996,0.00028,"[4.0, 8.0]",39.00720778085723,5.5,33.7591129816017,34.21831713418377,12.127190162381083,3.1431646729925604,1.0,1.0,1.0,"[(5.5, 5.5), (8.0, 8.0)]",1.0,True,26.880017618476145,39.00720778085723
13.099999999999998,0.00025,0.00028,"[4.0, 8.0]",36.10656180305231,7.0,29.86542241014031,30.266435437154442,12.196100337464557,3.5636445419834826,1.0,1.0,1.0,"[(7.0, 7.0)]",0.5,True,23.91046146558775,36.10656180305231
12.7,0.0003,0.00017999999999999998,"[4.0, 8.0]",34.25866507463844,6.5,28.256633606293963,28.649143489150045,12.986174173197906,4.056826163013776,1.0,1.0,1.0,"[(6.5, 6.5), (7.5, 8.0)]",1.5,True,21.27249090144053,34.25866507463844
12.799999999999999,0.00039999999999999996,0.00033,"[4.0, 8.0]",43.32183854450367,8.0,36.11523306250144,36.23563455473052,13.115067277337932,4.101475648179345,1.0,1.0,1.0,"[(6.0, 6.0), (8.0, 8.0)]",1.0,True,30.20677126716574,43.32183854450367
