frequency_GHz,S11_13_3_13_dB,S21_13_3_13_dB,bloch_phase_13_3_13_rad_per_mm,group_delay_13_3_13_ps_per_mm,S11_16_2_16_dB,S21_16_2_16_dB,bloch_phase_16_2_16_rad_per_mm,group_delay_16_2_16_ps_per_mm,S11_15_4_15_dB,S21_15_4_15_dB,bloch_phase_15_4_15_rad_per_mm,group_delay_15_4_15_ps_per_mm
3.0,-27.615588120274566,-0.007526634384957763,11.528517835594199,612.2002741197549,-22.598838619353447,-0.02393848673379692,11.512112400406098,611.2056184207984,-21.872571650738664,-0.02831011143871229,11.539166746260584,613.6950666370342
3.05,-27.509321981313843,-0.007715554389516051,11.720846223964227,612.2125970115377,-22.49357228459233,-0.02453473696586964,11.704128308472454,611.217027442145,-21.787351173692997,-0.028878601207439084,11.731964737549701,613.7039334792804
3.0999999999999996,-27.40305584235312,-0.007904474394074339,11.913174612334252,612.2249199033204,-22.38830594983121,-0.025130987197942357,11.896144216538813,611.2284364634917,-21.702130696647327,-0.029447090976165876,11.924762728838822,613.7128003215266
3.1499999999999995,-27.30222327830702,-0.008092504004089738,12.1055184861068,612.2501351160195,-22.28884228418296,-0.025721718789028614,12.08817446160423,611.2516182274672,-21.621775411748796,-0.030004100352302936,12.117571862530525,613.7318031297602
3.1999999999999993,-27.201390714260924,-0.008280533614105136,12.297862359879344,612.2753503287187,-22.189378618534704,-0.026312450380114875,12.280204706669647,611.2747999914429,-21.541420126850266,-0.030561109728439995,12.31038099622223,613.7508059379938
3.249999999999999,-27.105783329302874,-0.008467083480975073,12.490222434620161,612.3015594430707,-22.095583806400935,-0.02689501464984912,12.472249745799767,611.2987809861658,-21.46580626238037,-0.031104551956004246,12.503202867144447,613.7721862121749
3.299999999999999,-27.01017594434482,-0.008653633347845007,12.68258250936098,612.3277685574229,-22.001788994267166,-0.027477578919583367,12.664294784929886,611.3227619808886,-21.390192397910468,-0.0316479941835685,12.696024738066667,613.793566486356
3.3499999999999988,-26.919572070154985,-0.008838180029350733,12.874959318477968,612.3549791892794,-21.913348344629643,-0.028050573563405734,12.856355165402041,611.3475345966401,-21.319223980341953,-0.032175685285133704,12.888860739003292,613.8171091218023
3.3999999999999986,-26.828968195965146,-0.009022726710856459,13.067336127594956,612.3821898211361,-21.824907694992117,-0.028623568207228105,13.0484155458742,611.3723072123918,-21.248255562773437,-0.03270337638669891,13.081696739939915,613.8406517572487
3.4499999999999984,-26.743187346645165,-0.009204704809096322,13.25973039622423,612.410396337568,-21.74163503029582,-0.029184983922901968,13.240491715191379,611.3978545131724,-21.181832994209817,-0.03321325946616692,13.274548195410357,613.8662498296607
3.4999999999999982,-26.657406497325187,-0.009386682907336186,13.452124664853502,612.4386028540001,-21.65836236559953,-0.029746399638575834,13.43256788450856,611.4234018139532,-21.1154104256462,-0.033723142545634924,13.467399650880802,613.8918479020728
3.549999999999998,-26.57628805447632,-0.009565526348081116,13.64453691932441,612.4677607531795,-21.580054353001994,-0.030294491479487182,13.624660368665696,611.4497335914825,-21.053456288130455,-0.03421310203142471,13.66026781930392,613.9194765230051
3.599999999999998,-26.49516961162745,-0.009744369788826044,13.836949173795324,612.496918652359,-21.501746340404463,-0.03084258332039853,13.816752852822832,611.476065369012,-20.991502150614714,-0.034703061517214494,13.853135987727038,613.9471051439375
3.6499999999999977,-26.418546237630764,-0.009919564590754243,14.029380083321337,612.5270064848648,-21.42824450392688,-0.031375467399520865,14.008862111627549,611.5031817478307,-20.93393026369299,-0.0351711715374312,14.046022162346501,613.9766802236826
3.6999999999999975,-26.34192286363408,-0.010094759392682442,14.22181099284735,612.5570943173708,-21.354742667449297,-0.031908351478643196,14.200971370432267,611.5302981266497,-20.876358376771265,-0.035639281557647895,14.238908336965963,614.0062553034277
3.7499999999999973,-26.269676892346748,-0.010265718388006707,14.414261056803689,612.5880815373921,-21.28587674810134,-0.03242438346544662,14.393097930036001,611.5582018405181,-20.82308844446708,-0.03608370062781285,14.431813670530385,614.037731680612
3.799999999999997,-26.197430921059418,-0.010436677383330971,14.606711120760027,612.6190687574134,-21.217010828753384,-0.032940415452250044,14.585224489639735,611.5861055543866,-20.769818512162892,-0.03652811969797779,14.624719004094805,614.0692080577962
3.849999999999997,-26.12943714083059,-0.010602866996635669,14.799180969975149,612.6510942795871,-21.15265549598901,-0.033437784686372575,14.77736881328545,611.614802765126,-20.720790086043802,-0.03694698407225332,14.8176447330964,614.1025686164597
3.899999999999997,-26.061443360601757,-0.010769056609940366,14.991650819190275,612.683119801761,-21.088300163224634,-0.033935153920495106,14.969513136931164,611.6434999758657,-20.671761659924716,-0.037365848446528835,15.01057046209799,614.1359291751231
3.9499999999999966,-25.99757793685832,-0.010929981628087893,15.184141127604684,612.7161408756408,-21.02832121462031,-0.034412267507534774,15.161675758513475,611.673016478424,-20.626932147512218,-0.03775727839519653,15.20351771777682,614.1710348529984
3.9999999999999964,-25.93371251311488,-0.011090906646235417,15.376631436019096,612.7491619495207,-20.96834226601598,-0.03488938109457444,15.353838380095782,611.7025329809823,-20.582102635099723,-0.03814870834386422,15.396464973455647,614.2061405308737
4.049999999999996,-25.873878047473468,-0.01124603883012982,15.569142780739465,612.7831120431745,-20.91262618844944,-0.03534464622112934,15.546019795272535,611.7328339000022,-20.54140318224456,-0.03851120638124173,15.589434817553126,614.2430094679836
4.099999999999996,-25.814043581832053,-0.011401171014024224,15.761654125459838,612.8170621368283,-20.8569101108829,-0.035799911347684225,15.738201210449292,611.7631348190223,-20.5007037293894,-0.038873704418619245,15.782404661650604,614.2798784050935
4.149999999999996,-25.758139722242664,-0.01155003650038009,15.954187096820174,612.8519479132176,-20.805383268278653,-0.03623155839532574,15.930401909289436,611.7942498383592,-20.46409912632588,-0.03920563810256457,15.97539824820222,614.3185172666869
4.199999999999996,-25.70223586265327,-0.011698901986735953,16.14672006818051,612.886833689607,-20.753856425674407,-0.03666320544296725,16.122602608129583,611.8253648576962,-20.42749452326236,-0.03953757178650989,16.168391834753834,614.3571561282802
4.249999999999996,-25.650200113197737,-0.011840964537161805,16.33927525166041,612.9227137414407,-20.70637823425169,-0.03707018452775596,16.314823123592802,611.8573099254614,-20.394964108786656,-0.03983733680412378,16.3614102338768,614.3975245745327
4.299999999999995,-25.598164363742203,-0.011983027087587658,16.531830435140307,612.9585937932745,-20.65890004282897,-0.03747716361254467,16.507043639056022,611.8892549932268,-20.362433694310955,-0.040137101821737665,16.55442863299977,614.4378930207852
4.349999999999995,-25.549901498095632,-0.012117857820805813,16.724408494703543,612.9954710332939,-20.61542182490247,-0.037857810736181455,16.69928448125225,611.9220046078555,-20.333925929894583,-0.040403551804560615,16.747472948037057,614.4799977832099
4.399999999999995,-25.501638632449062,-0.012252688554023968,16.916986554266778,613.0323482733133,-20.571943606975967,-0.038238457859818234,16.89152532344848,611.9547542224841,-20.305418165478212,-0.040670001787383565,16.940517263074348,614.5221025456347
4.449999999999995,-25.45709418128727,-0.012379843665279909,17.109588079053207,613.070192478615,-20.532385646686183,-0.03859152701521314,17.083786993291188,611.9883297012839,-20.280911155586843,-0.040901896417351986,17.13358857260224,614.5659548620187
4.499999999999995,-25.41254973012548,-0.012506998776535848,17.30218960383964,613.1080366839166,-20.4928276863964,-0.03894459617060803,17.2760486631339,612.0219051800836,-20.256404145695473,-0.04113379104732041,17.326659882130134,614.6098071784027
4.5499999999999945,-25.37167511369617,-0.012626000577512144,17.494815219833818,613.1468595892898,-20.457135632491955,-0.039268779264437254,17.468331697521144,612.0563249124184,-20.235901407606924,-0.04132983675079234,17.519759303613423,614.6553739629455
4.599999999999994,-25.330800497266857,-0.012745002378488439,17.687440835828003,613.185682494663,-20.42144357858751,-0.03959296235826647,17.660614731908392,612.0907446447532,-20.21539866951838,-0.041525882454264265,17.712858725096712,614.7009407474883
4.649999999999994,-25.293545686749635,-0.012855440261141993,17.880091146916154,613.2255332092286,-20.389556576024077,-0.03988716978188558,17.852919654862394,612.1260117784557,-20.198897476192,-0.041685027657032775,17.90598729553483,614.7482147171498
4.699999999999994,-25.256290876232413,-0.012965878143795545,18.07274145800431,613.2653839237944,-20.357669573460644,-0.04018137720550469,18.045224577816402,612.1612789121582,-20.182396282865618,-0.04184417285980128,18.099115865972948,614.7954886868114
4.749999999999994,-25.222592237448588,-0.013067424225233956,18.265417151883337,613.3062366166097,-20.329540713333557,-0.040444554160309794,18.237551930190907,612.1973761400685,-20.169879981434057,-0.04196570460444174,18.292274693678554,614.8445315698368
4.799999999999994,-25.18889359866476,-0.013168970306672367,18.458092845762366,613.3470893094251,-20.30141185320647,-0.0407077311151149,18.429879282565416,612.2334733679787,-20.157363680002497,-0.042087236349082194,18.485433521384163,614.8935744528623
4.849999999999993,-25.158748579306305,-0.01326115721194812,18.65079449385837,613.388940905639,-20.277006627258736,-0.04093887195846166,18.622229566633827,612.2704296135778,-20.148864667826427,-0.042170163992963694,18.678623720926687,614.9443659801877
4.899999999999993,-25.12860355994785,-0.013353344117223873,18.843496141954375,613.430792501853,-20.252601401311,-0.04117001280180841,18.81457985070224,612.3073858591771,-20.140365655650353,-0.04225309163684519,18.87181392046922,614.9951575075131
4.949999999999993,-25.101950275240608,-0.013435930890085039,19.036224428100287,613.4736911770254,-20.231876783801447,-0.04136836575683916,19.00695364366462,612.3452170068329,-20.135878761166033,-0.04229700351524832,19.065036574690467,615.0477493519996
4.999999999999993,-25.075296990533364,-0.013518517662946204,19.228952714246198,613.516589852198,-20.211152166291896,-0.0415667187118699,19.199327436626998,612.3830481544886,-20.13139186668171,-0.042340915393651445,19.25825922891172,615.100341196486
