label,stub_length_um,L_pH,C_fF,Z0_ohm,fit_s21_rmse_db,fit_phase_rmse_deg
2.5um,2.5,54.0014898766,7.80698034117,83.1689709723,0.000409602450141,0.00217042941503
3um,3,54.3811003945,9.07564707756,77.407884023,0.000700719671136,0.00242634639547
3.9um_baseline,3.9,54.1028688065,10.9782623985,70.2010072774,1.52667108729e-05,0.0025013065317
7um,7,53.5586510179,18.4457266579,53.8848813136,2.43423330443e-05,0.00332335985857
8um,8,53.9165078944,20.8082327243,50.9029884103,0.000539406558423,0.00385823373443
9um,9,53.9340881702,23.1766279795,48.2399162924,0.000951900092888,0.00434955266316
10um,10,55.2793124805,25.0449851377,46.980856206,0.000637357560126,0.00473091423243
11um,11,55.3581028808,27.3831136176,44.9623689527,0.000876730484244,0.00513504790173
12um_baseline,12,55.2934222582,29.7807431137,43.0892534783,0.000579869939745,0.00535704728635
