configuration,included_modes,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite,minimum_in_band_gain_db,maximum_in_band_gain_db,minimum_gain_frequency_GHz
basic,"['p', 's', 'i']","[4.0, 8.0]",1.701682635958551,7.849999999999986,0.14946358029544105,0.06392117881615181,2.5781088676543686,0.5938668548460334,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True,-0.8764262316958177,1.701682635958551,4.849999999999997
basic_plus_s2,"['p', 's', 'i', 's2']","[4.0, 8.0]",1.703395441658331,7.849999999999986,0.13574966717492132,0.033674834311244364,2.60155144856424,0.6015311763846695,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True,-0.8981560069059092,1.703395441658331,4.599999999999998
basic_plus_i2,"['p', 's', 'i', 'i2']","[4.0, 8.0]",1.7019290330145975,7.849999999999986,0.14992104900019068,0.06477029235514745,2.578395571480777,0.5938393448176075,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True,-0.8764665384661796,1.7019290330145975,4.849999999999997
all_except_s2_i2,"['p', 's', 'i', 'ps', 'pi', 'p2']","[4.0, 8.0]",32.83854082207427,7.399999999999988,29.90766811873651,29.7027742648035,8.587840957204754,1.4614116674955648,1.0,1.0,1.0,"[(4.0, 4.349999999999999), (4.499999999999998, 4.499999999999998), (6.199999999999992, 6.249999999999992), (6.3999999999999915, 6.499999999999991), (6.599999999999991, 7.749999999999987)]",1.8999999999999932,True,24.250699864869517,32.83854082207427,7.999999999999986
all_except_i2,"['p', 's', 'i', 'ps', 'pi', 'p2', 's2']","[4.0, 8.0]",33.14525216264093,7.399999999999988,29.905823690396293,30.06221171630429,11.225434359777879,2.101825882426987,1.0,1.0,1.0,"[(4.0, 4.349999999999999), (4.499999999999998, 4.549999999999998), (6.199999999999992, 6.249999999999992), (6.3999999999999915, 7.699999999999987)]",1.949999999999993,True,21.91981780286305,33.14525216264093,5.499999999999995
all_except_s2,"['p', 's', 'i', 'ps', 'pi', 'p2', 'i2']","[4.0, 8.0]",32.96807677876014,7.399999999999988,30.45945498431195,30.821003063337066,8.670474875891916,1.70896544134499,1.0,1.0,1.0,"[(4.0, 4.549999999999998), (4.6999999999999975, 4.749999999999997), (5.799999999999994, 7.749999999999987)]",2.6999999999999904,True,24.297601902868227,32.96807677876014,7.999999999999986
all_8_modes,"['p', 's', 'i', 'ps', 'pi', 'p2', 's2', 'i2']","[4.0, 8.0]",33.22314381413147,7.399999999999988,30.197118409933204,30.971618314642416,13.50879977190002,2.742451083254905,1.0,1.0,0.9876543209876543,"[(4.0, 4.549999999999998), (4.6999999999999975, 4.749999999999997), (4.949999999999997, 4.949999999999997), (5.949999999999993, 7.699999999999987)]",2.549999999999991,True,19.71434404223145,33.22314381413147,5.449999999999995
