pump_GHz,mean_abs_mismatch_rad_per_mm,minimum_mismatch_rad_per_mm,maximum_mismatch_rad_per_mm,peak_to_peak_mismatch_rad_per_mm
11.0,0.3010059380981843,0.2512436149622026,0.3182651658458795,0.0670215508836769
11.02,0.3035139867386392,0.2537864230317588,0.32081460932377937,0.06702818629202056
11.04,0.3060220353790937,0.2563292311013132,0.3233640528016828,0.06703482170036956
11.059999999999999,0.3085266758651247,0.25887203917086943,0.32591349627958266,0.06704145710871323
11.079999999999998,0.3110279081967314,0.26141484724042385,0.32846293975748253,0.06704809251705868
11.099999999999998,0.3135291405283384,0.26395765530998005,0.3310123832353824,0.06705472792540235
11.119999999999997,0.3160355701063507,0.2665292883348016,0.33357447695513187,0.06704518862033026
11.139999999999997,0.3185419996843627,0.26910092135962316,0.3361365706748849,0.06703564931526174
11.159999999999997,0.3210446029207356,0.2716725543844358,0.33869866439462726,0.06702611001019143
11.179999999999996,0.3235433798154828,0.2742441874092574,0.3412607581143767,0.06701657070511935
11.199999999999996,0.32604215671023035,0.27681582043407893,0.3438228518341262,0.06700703140004727
11.219999999999995,0.32854355634305143,0.2794137444280569,0.34637260480520027,0.06695886037714338
11.239999999999995,0.33104495597587263,0.28201166842203484,0.3489223577762708,0.06691068935423594
11.259999999999994,0.3335421072533938,0.2846095924160199,0.35147211074735196,0.06686251833133205
11.279999999999994,0.33603501017560156,0.28720751640999964,0.3540218637184225,0.06681434730842284
11.299999999999994,0.3385279130978091,0.2898054404039776,0.35657161668949655,0.06676617628551895
11.319999999999993,0.34101712570424025,0.2924234317094996,0.3591268469021145,0.06670341519261491
11.339999999999993,0.34350633831066457,0.29504142301501624,0.3616820771147218,0.06664065409970554
11.359999999999992,0.3459908770762752,0.29765941432054,0.3642373073273397,0.06657789300679973
11.379999999999992,0.3484707420010581,0.30027740562605665,0.366792537539947,0.06651513191389036
11.399999999999991,0.3509506069258481,0.30289539693157863,0.36934776775256495,0.06645237082098632
11.419999999999991,0.35342459400751075,0.3055312241789281,0.3718818078696735,0.06635058369074542
11.43999999999999,0.35589858108918093,0.30816705142628287,0.3744158479867892,0.0662487965605063
11.45999999999999,0.3583674667895896,0.3108028786736323,0.37694988810389773,0.06614700943026541
11.47999999999999,0.3608312511087513,0.3134387059209871,0.3794839282210134,0.0660452223000263
11.49999999999999,0.3632950354279058,0.3160745331683348,0.38201796833812196,0.06594343516978718
11.519999999999989,0.36574710717738884,0.3187222934949041,0.3845511989168031,0.06582890542189901
11.539999999999988,0.36819917892687215,0.32137005382147343,0.3870844294954843,0.06571437567401084
11.559999999999988,0.37064572050260697,0.32401781414804987,0.38961766007417253,0.06559984592612267
