signal_GHz,candidate_1_gain_dB,candidate_2_gain_dB,candidate_3_gain_dB,candidate_4_gain_dB,candidate_5_gain_dB,candidate_6_gain_dB,candidate_7_gain_dB,candidate_8_gain_dB,candidate_9_gain_dB,candidate_10_gain_dB,candidate_11_gain_dB,candidate_12_gain_dB,candidate_13_gain_dB,candidate_14_gain_dB,candidate_15_gain_dB,candidate_16_gain_dB
4.0,31.838822697615544,27.61162577837066,21.415961200641334,35.12216004037206,19.300708734944042,30.356847936701282,30.768613983109056,29.65259404810243,26.992174133405335,24.414346793856584,28.51247256092449,11.717637442940239,8.186248188900722,-0.12464724873106547,5.79814965225882,3.562162239711472
4.05,32.184787274565586,27.846868681431967,37.940619372758945,35.071515177593334,40.92970107971608,38.20249761288307,37.630692734908855,34.94101514180314,25.914107982598424,24.49965071486683,28.62218386709545,7.383578704758334,8.919315183374422,0.32854840607482705,5.5315196921039425,3.765425902012925
4.1,32.515922531378095,27.885919234219823,37.56547116484189,35.7400919278652,38.57484879136233,36.98890300024219,36.60248988747435,27.119239255459313,25.13546508599179,25.91581706674203,28.754439532638592,8.644616749629682,9.173982172680496,0.26441398006204136,6.222327702956423,3.474380236310947
4.1499999999999995,31.901029115247063,27.823032409902098,34.736871979916664,35.79085197267008,27.11603367681352,40.09202221366846,35.436615809089986,39.49138993755666,23.512964449511706,26.72159976228187,28.86770154630038,11.284055077545618,9.03370140063694,-0.21138519486964935,6.26225554021277,2.7983854790631897
4.199999999999999,31.320629373512695,27.807739050639153,35.037610153480344,33.56649811179713,34.8689651230353,34.93817419046862,30.32743808855452,33.25416093856765,22.140614298876944,26.589265731580873,29.000260218748643,12.367342910732361,9.203670586422751,-0.3396073664959235,5.344364939452756,2.3376891409406593
4.249999999999999,31.55781534406005,27.834272850100824,31.583771129705475,28.655687917826178,29.654955881479786,33.311564605361916,33.70424936231387,27.37532215137971,21.733939747169728,27.74325435399877,29.155364224311683,13.73570753086059,9.997720475131816,0.24803615531656484,5.480236796591481,2.4840936933209514
4.299999999999999,31.919303189721106,27.697298624000773,33.15557825065417,25.815502038664956,24.157528482368914,41.542586716861194,29.312230025653122,36.62359585503892,21.54566055938207,28.511936884434945,29.293966831022328,14.26005586230741,10.844023461270604,1.0646925461781618,5.2958890549561985,2.874193819448979
4.349999999999999,31.396221793968095,27.332235952343726,37.53940580498216,26.13412526478651,37.30912701622954,30.73938767284098,32.43350233220777,31.738820954062113,23.130584463346597,28.089257701016393,29.4139605344178,13.440531732946027,10.925691627883218,1.317086681619815,4.109523352553229,2.699472485248087
4.399999999999999,30.733415327043613,26.985591207065646,37.63642633372728,26.709032810876398,34.08212351279209,39.59426397976388,33.71159754912125,33.674102578435466,25.31452007387324,28.76647652454638,29.541007963653986,13.347895654977597,10.449211277226503,1.0951675427506584,3.8726031694827805,2.0379177297982403
4.449999999999998,30.859946030803442,26.796500479285818,37.485755340795556,29.761791321481414,34.80911480053337,35.81429721676396,25.652022312044625,22.010326894762557,26.579029760832338,29.435000436831288,29.613727633711623,12.991008330941385,10.208025533514611,1.0767724486032564,3.4814253330869045,1.6766460717875733
