pattern,supercell_repeats,device_length_mm,pump_GHz,Idc_A,Ip0_A,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite,minimum_in_band_gain_db,maximum_in_band_gain_db,strict_pass
15-4-15,1600,108.8,11.0,0.00025,0.00021999999999999998,"[4.0, 8.0]",31.933264555666042,6.5,28.219586286526674,28.842973049645877,8.40610365582727,2.8413908318793615,1.0,1.0,1.0,"[(5.0, 5.0), (6.0, 7.0)]",2.0,True,23.527160899838773,31.933264555666042,False
15-4-15,2200,149.6,11.0,0.00045,0.00021999999999999998,"[4.0, 8.0]",39.68636857476329,6.5,35.64211443252442,36.90340779361798,8.917754591654237,3.1579560650581397,1.0,1.0,1.0,"[(4.5, 4.5), (5.5, 5.5), (6.5, 7.5)]",2.5,True,30.768613983109056,39.68636857476329,False
15-4-15,2200,149.6,11.2,0.00025,0.00029,"[4.0, 8.0]",40.58099996125836,7.5,35.4850424770305,35.90705943641244,10.023947549488703,2.675930399121309,1.0,1.0,1.0,"[(7.5, 7.5)]",0.5,True,30.557052411769654,40.58099996125836,False
15-4-15,1600,108.8,11.2,0.00025,0.00029,"[4.0, 8.0]",41.96451807035858,7.0,36.30480024876718,36.05460302462586,10.507435592619927,2.803707454668799,1.0,1.0,1.0,"[(7.0, 7.0)]",0.5,True,31.457082477738652,41.96451807035858,False
15-4-15,2200,149.6,11.2,0.00035,0.00029,"[4.0, 8.0]",41.18087666170632,8.0,36.25921410841781,38.97172964225796,10.79354235367104,4.369180668791708,1.0,1.0,1.0,"[(5.5, 5.5), (6.5, 8.0)]",2.5,True,30.387334308035282,41.18087666170632,False
15-4-15,2200,149.6,11.2,0.00035,0.00021999999999999998,"[4.0, 8.0]",37.07268096532671,8.0,29.465665044859968,28.349664892860098,12.985664377958255,3.89127553883647,1.0,1.0,1.0,"[(7.5, 8.0)]",1.0,True,24.087016587368456,37.07268096532671,False
15-4-15,1600,108.8,11.0,0.00045,0.00029,"[4.0, 8.0]",43.921696837105614,8.0,37.13799059902945,38.996972820750045,14.269102789003185,5.026208891453242,1.0,1.0,1.0,"[(6.5, 6.5), (8.0, 8.0)]",1.0,True,29.65259404810243,43.921696837105614,False
15-4-15,1200,81.6,11.0,0.00035,0.00021999999999999998,"[4.0, 8.0]",34.74658689127926,7.5,30.354200378364983,31.60428269103943,15.213281091341475,4.3544408525836396,1.0,1.0,0.8888888888888888,"[(6.0, 7.5)]",2.0,True,19.533305799937782,34.74658689127926,False
15-4-15,1600,108.8,11.2,0.00035,0.00021999999999999998,"[4.0, 8.0]",34.28804645227883,8.0,28.43284019774864,28.763575347331063,15.550195006194684,5.084637681706744,1.0,1.0,0.8888888888888888,"[(5.5, 6.0), (7.5, 8.0)]",2.0,True,18.737851446084143,34.28804645227883,False
15-4-15,2200,149.6,11.2,0.00045,0.00021999999999999998,"[4.0, 8.0]",38.67439803293678,7.0,32.019430536619005,34.87419366545247,15.845817592944886,5.418770159898256,1.0,1.0,1.0,"[(7.0, 7.5)]",1.0,True,22.828580439991892,38.67439803293678,False
15-4-15,1200,81.6,11.0,0.00025,0.00029,"[4.0, 8.0]",38.295661908030155,8.0,30.067903828620032,31.324414085443312,17.051549384034846,4.7721581292564474,1.0,1.0,1.0,"[(8.0, 8.0)]",0.5,True,21.24411252399531,38.295661908030155,False
15-4-15,900,61.2,11.0,0.00045,0.00029,"[4.0, 8.0]",42.427453206157544,7.5,33.01017063067101,31.203044989695474,18.516389195211012,5.139445489799141,1.0,1.0,1.0,"[(7.5, 7.5)]",0.5,True,23.911064010946532,42.427453206157544,False
