frequency_GHz,S11_13_3_13_dB,S21_13_3_13_dB,phase_delay_13_3_13_rad_per_mm,group_delay_13_3_13_ps_per_mm,S11_16_2_16_dB,S21_16_2_16_dB,phase_delay_16_2_16_rad_per_mm,group_delay_16_2_16_ps_per_mm,S11_15_4_15_dB,S21_15_4_15_dB,phase_delay_15_4_15_rad_per_mm,group_delay_15_4_15_ps_per_mm
3.0,-27.615588120274566,-0.007526634384957763,11.547406758058258,612.3011438744744,-22.598838619353447,-0.02393848673379692,11.552738906218112,610.9716581075186,-21.872571650738664,-0.02831011143871229,11.587012475201549,612.7078390547022
3.05,-27.509321981313843,-0.007715554389516051,11.739766835596326,612.2975410390206,-22.49357228459233,-0.02453473696586964,11.744681313484326,610.9383103896878,-21.787351173692997,-0.028878601207439084,11.779500319798661,612.6756604847858
3.0999999999999996,-27.40305584235312,-0.007904474394074339,11.932126913134391,612.2939382035668,-22.38830594983121,-0.025130987197942357,11.936623720750541,610.904962671857,-21.702130696647327,-0.029447090976165876,11.971988164395773,612.6434819148693
3.1499999999999995,-27.30222327830702,-0.008092504004089738,12.124482463215902,612.2872464052676,-22.28884228418296,-0.025721718789028614,12.128524222038616,610.8381682227329,-21.621775411748796,-0.030004100352302936,12.164435572209344,612.580743279228
3.1999999999999993,-27.201390714260924,-0.008280533614105136,12.31683801329741,612.2805546069686,-22.189378618534704,-0.026312450380114875,12.32042472332669,610.7713737736088,-21.541420126850266,-0.030561109728439995,12.356882980022917,612.5180046435867
3.249999999999999,-27.105783329302874,-0.008467083480975073,12.50918968167373,612.2749154730253,-22.095583806400935,-0.02689501464984912,12.512283194212639,610.7061220194634,-21.46580626238037,-0.031104551956004246,12.549291984925297,612.4584185558523
3.299999999999999,-27.01017594434482,-0.008653633347845007,12.701541350050046,612.269276339082,-22.001788994267166,-0.027477578919583367,12.704141665098588,610.6408702653179,-21.390192397910468,-0.0316479941835685,12.74170098982768,612.3988324681178
3.3499999999999988,-26.919572070154985,-0.008838180029350733,12.893889813786847,612.264839424162,-21.913348344629643,-0.028050573563405734,12.895960168614076,610.5781855682707,-21.319223980341953,-0.032175685285133704,12.934073519555056,612.3425911294427
3.3999999999999986,-26.828968195965146,-0.009022726710856459,13.086238277523648,612.260402509242,-21.824907694992117,-0.028623568207228105,13.087778672129568,610.5155008712235,-21.248255562773437,-0.03270337638669891,13.126446049282436,612.2863497907675
3.4499999999999984,-26.743187346645165,-0.009204704809096322,13.27858437030824,612.2571746128336,-21.74163503029582,-0.029184983922901968,13.27955837110202,610.4551411032679,-21.181832994209817,-0.03321325946616692,13.318784379234252,612.2337838417686
3.4999999999999982,-26.657406497325187,-0.009386682907336186,13.470930463092827,612.2539467164253,-21.65836236559953,-0.029746399638575834,13.471338070074474,610.3947813353124,-21.1154104256462,-0.033723142545634924,13.511122709186072,612.1812178927697
3.549999999999998,-26.57628805447632,-0.009565526348081116,13.663274870535373,612.2520483977956,-21.580054353001994,-0.030294491479487182,13.663080723268534,610.3371174672582,-21.053456288130455,-0.03421310203142471,13.703429182593768,612.1327533476507
3.599999999999998,-26.49516961162745,-0.009744369788826044,13.855619277977919,612.250150079166,-21.501746340404463,-0.03084258332039853,13.854823376462592,610.2794535992037,-20.991502150614714,-0.034703061517214494,13.895735656001465,612.0842888025317
3.6499999999999977,-26.418546237630764,-0.009919564590754243,14.047962985264963,612.2496117849262,-21.42824450392688,-0.031375467399520865,14.046530612881341,610.224766652033,-20.93393026369299,-0.0351711715374312,14.08801308360972,612.0403938927902
3.6999999999999975,-26.34192286363408,-0.010094759392682442,14.240306692552007,612.2490734906863,-21.354742667449297,-0.031908351478643196,14.238237849300091,610.1700797048621,-20.876358376771265,-0.035639281557647895,14.280290511217975,611.9964989830487
3.7499999999999973,-26.269676892346748,-0.010265718388006707,14.43265042355406,612.2499100155298,-21.28587674810134,-0.03242438346544662,14.429911780849558,610.1186314880318,-20.82308844446708,-0.03608370062781285,14.47254182465528,611.9574298859495
3.799999999999997,-26.197430921059418,-0.010436677383330971,14.624994154556115,612.2507465403736,-21.217010828753384,-0.032940415452250044,14.621585712399026,610.0671832712014,-20.769818512162892,-0.03652811969797779,14.66479313809259,611.9183607888502
3.849999999999997,-26.12943714083059,-0.010602866996635669,14.817338913051282,612.2532959833578,-21.15265549598901,-0.033437784686372575,14.813228297081762,610.0191882116013,-20.720790086043802,-0.03694698407225332,14.85702147002547,611.8843060276052
3.899999999999997,-26.061443360601757,-0.010769056609940366,15.009683671546448,612.2558454263423,-21.088300163224634,-0.033935153920495106,15.004870881764496,609.9711931520011,-20.671761659924716,-0.037365848446528835,15.049249801958355,611.8502512663603
3.9499999999999966,-25.99757793685832,-0.010929981628087893,15.20203060627304,612.2601403701403,-21.02832121462031,-0.034412267507534774,15.196484500943306,609.9270265726105,-20.626932147512218,-0.03775727839519653,15.241458320920565,611.8215895712832
3.9999999999999964,-25.93371251311488,-0.011090906646235417,15.394377540999633,612.2644353139386,-20.96834226601598,-0.03488938109457444,15.388098120122114,609.88285999322,-20.582102635099723,-0.03814870834386422,15.433666839882774,611.7929278762059
4.049999999999996,-25.873878047473468,-0.01124603883012982,15.586727696680352,612.2704903731562,-20.91262618844944,-0.03534464622112934,15.57968520344431,609.8425106956502,-20.54140318224456,-0.03851120638124173,15.62585915446738,611.7700548924423
4.099999999999996,-25.814043581832053,-0.011401171014024224,15.779077852361073,612.276545432374,-20.8569101108829,-0.035799911347684225,15.771272286766507,609.8021613980803,-20.5007037293894,-0.038873704418619245,15.818051469051985,611.7471819086785
4.149999999999996,-25.758139722242664,-0.01155003650038009,15.971432396099488,612.284408626172,-20.805383268278653,-0.03623155839532574,15.962835201522587,609.7661910354785,-20.46409912632588,-0.03920563810256457,16.010231244975092,611.7301904300426
4.199999999999996,-25.70223586265327,-0.011698901986735953,16.1637869398379,612.2922718199701,-20.753856425674407,-0.03666320544296725,16.154398116278667,609.7302206728766,-20.42749452326236,-0.03953757178650989,16.202411020898197,611.7131989514065
4.249999999999996,-25.650200113197737,-0.011840964537161805,16.35614697669937,612.302128333909,-20.70637823425169,-0.03707018452775596,16.3459399979101,609.6988470858457,-20.394964108786656,-0.03983733680412378,16.394581983361018,611.7025335418291
4.299999999999995,-25.598164363742203,-0.011983027087587658,16.54850701356084,612.311984847848,-20.65890004282897,-0.03747716361254467,16.53748187954154,609.6674734988148,-20.362433694310955,-0.040137101821737665,16.586752945823847,611.6918681322514
4.349999999999995,-25.549901498095632,-0.012117857820805813,16.740873943359965,612.3239502085146,-20.61542182490247,-0.037857810736181455,16.729005369085407,609.6406388909326,-20.333925929894583,-0.040403551804560615,16.778919319197996,611.6878857543195
4.399999999999995,-25.501638632449062,-0.012252688554023968,16.93324087315909,612.3359155691815,-20.571943606975967,-0.038238457859818234,16.920528858629275,609.6138042830502,-20.305418165478212,-0.040670001787383565,16.971085692572153,611.6839033763875
4.449999999999995,-25.45709418128727,-0.012379843665279909,17.12561594613623,612.3499487057824,-20.532385646686183,-0.03859152701521314,17.112037018897915,609.5918849423726,-20.280911155586843,-0.040901896417351986,17.163251650631274,611.6866203878683
4.499999999999995,-25.41254973012548,-0.012506998776535848,17.317991019113364,612.3639818423833,-20.4928276863964,-0.03894459617060803,17.30354517916656,609.5699656016949,-20.256404145695473,-0.04113379104732041,17.3554176086904,611.689337399349
4.5499999999999945,-25.37167511369617,-0.012626000577512144,17.510375583472033,612.3802088026077,-20.457135632491955,-0.039268779264437254,17.49504112405457,609.5531620050544,-20.235901407606924,-0.04132983675079234,17.547587396361877,611.6989392431888
4.599999999999994,-25.330800497266857,-0.012745002378488439,17.702760147830702,612.3964357628323,-20.42144357858751,-0.03959296235826647,17.68653706894258,609.536358408414,-20.21539866951838,-0.041525882454264265,17.73975718403335,611.7085410870286
4.649999999999994,-25.293545686749635,-0.012855440261141993,17.89515561220745,612.4150621407427,-20.389556576024077,-0.03988716978188558,17.878024113188918,609.5248987831706,-20.198897476192,-0.041685027657032775,17.9319352081253,611.7254048010499
4.699999999999994,-25.256290876232413,-0.012965878143795545,18.087551076584198,612.4336885186533,-20.357669573460644,-0.04018137720550469,18.069511157435254,609.5134391579271,-20.182396282865618,-0.04184417285980128,18.12411323221725,611.7422685150714
4.749999999999994,-25.222592237448588,-0.013067424225233956,18.27995904753967,612.4546694593756,-20.329540713333557,-0.040444554160309794,18.26099270173347,609.5074234013189,-20.169879981434057,-0.04196570460444174,18.31630421145676,611.7665462040328
4.799999999999994,-25.18889359866476,-0.013168970306672367,18.47236701849514,612.4756504000981,-20.30141185320647,-0.0407077311151149,18.452474246031695,609.5014076447105,-20.157363680002497,-0.042087236349082194,18.508495190696273,611.7908238929944
4.849999999999993,-25.158748579306305,-0.01326115721194812,18.66478884829958,612.49907829356,-20.277006627258736,-0.04093887195846166,18.643953730655323,609.5010618199851,-20.148864667826427,-0.042170163992963694,18.700703723031936,611.8226614606109
4.899999999999993,-25.12860355994785,-0.013353344117223873,18.857210678104025,612.5225061870223,-20.252601401311,-0.04117001280180841,18.835433215278957,609.5007159952597,-20.140365655650353,-0.04225309163684519,18.892912255367598,611.8544990282275
4.949999999999993,-25.101950275240608,-0.013435930890085039,19.049648089418692,612.5485297695885,-20.231876783801447,-0.04136836575683916,19.02691432500101,609.5061142565652,-20.135878761166033,-0.04229700351524832,19.08514324287452,611.8941264610411
4.999999999999993,-25.075296990533364,-0.013518517662946204,19.24208550073336,612.5745533521548,-20.211152166291896,-0.0415667187118699,19.218395434723064,609.5115125178708,-20.13139186668171,-0.042340915393651445,19.277374230381444,611.9337538938546
