freq_GHz,S21_db_engineered,k_star_engineered_rad,bloch_evanescence_Np_per_cell
1.0000000000000007,-2.5437896905904044e-25,-1.4588607560882087e-05,7.178054192727208e-31
1.0020000000000007,-7.637473535103787e-13,-1.4547847975614377e-05,2.1551388125081515e-18
1.0040000000000007,-1.5274947070205029e-12,-1.4507088390346666e-05,4.310277625015585e-18
1.0060000000000007,-2.2912420605306274e-12,-1.4466328805078955e-05,6.465416437523019e-18
1.0080000000000007,-3.0549894140407513e-12,-1.4425569219811245e-05,8.620555250030452e-18
1.0100000000000007,-3.818736767550876e-12,-1.4384809634543534e-05,1.0775694062537887e-17
1.0120000000000007,-4.582484121061e-12,-1.4344050049275824e-05,1.293083287504532e-17
1.0140000000000007,-5.346231474571125e-12,-1.4303290464008113e-05,1.5085971687552755e-17
1.0160000000000007,-6.10997882808125e-12,-1.4262530878740402e-05,1.724111050006019e-17
1.0180000000000007,-6.873726181591373e-12,-1.4221771293472692e-05,1.939624931256762e-17
1.0200000000000007,-6.248841983265824e-12,-1.4181011748262348e-05,1.763295392051867e-17
1.0220000000000007,-5.485094629755691e-12,-1.4140252207056614e-05,1.547781510801121e-17
1.0240000000000007,-4.721347276245557e-12,-1.4099492665850012e-05,1.332267629550375e-17
1.0260000000000007,-3.957599922735423e-12,-1.4058733124644278e-05,1.1167537482996289e-17
1.0280000000000007,-3.1938525692252894e-12,-1.4017973583438544e-05,9.01239867048883e-18
1.0300000000000007,-2.4301052157151554e-12,-1.397721404223281e-05,6.857259857981369e-18
1.0320000000000007,-1.6663578622050218e-12,-1.3936454501026208e-05,4.702121045473909e-18
1.0340000000000007,-9.026105086948883e-13,-1.3895694959820473e-05,2.546982232966449e-18
1.0360000000000007,-1.388631551847547e-13,-1.3854935418614739e-05,3.9184342045898896e-19
1.0380000000000007,-2.082947327752381e-13,-1.3814144436597245e-05,5.877651306831391e-19
1.0400000000000007,-4.628771839454195e-13,-1.3773346467731151e-05,1.3061447348526785e-18
1.0420000000000007,-7.174596351156009e-13,-1.3732548498865925e-05,2.0245243390222182e-18
1.0440000000000007,-9.720420862857822e-13,-1.3691750530000699e-05,2.7429039431917575e-18
1.0460000000000007,-1.2266245374559638e-12,-1.365095256113634e-05,3.4612835473612973e-18
1.0480000000000007,-1.481206988626145e-12,-1.3610154592270246e-05,4.1796631515308366e-18
1.0500000000000007,-1.7357894397963264e-12,-1.3569356623404152e-05,4.898042755700376e-18
1.0520000000000007,-1.990371890966508e-12,-1.3528558654539793e-05,5.616422359869916e-18
1.0540000000000007,-2.244954342136689e-12,-1.3487760685674567e-05,6.334801964039455e-18
1.0560000000000007,-2.499536793306769e-12,-1.3446935358893929e-05,7.053181568208708e-18
1.0580000000000007,-2.75411924447681e-12,-1.3406099772894468e-05,7.771561172377851e-18
1.0600000000000007,-3.008701695646852e-12,-1.336526418689414e-05,8.489940776546996e-18
1.0620000000000007,-3.2632841468168933e-12,-1.3324428600895548e-05,9.208320380716141e-18
1.0640000000000007,-3.5178665979869343e-12,-1.3283593014896088e-05,9.926699984885285e-18
1.0660000000000007,-3.772449049156976e-12,-1.3242757428896627e-05,1.064507958905443e-17
1.0680000000000007,-4.0270315003270176e-12,-1.32019218428963e-05,1.1363459193223574e-17
1.0700000000000007,-4.281613951497059e-12,-1.316108625689684e-05,1.2081838797392718e-17
1.0720000000000007,-4.5361964026671004e-12,-1.3120250670898247e-05,1.2800218401561864e-17
1.0740000000000007,-4.304757810693044e-12,-1.307940820645219e-05,1.2147146034131725e-17
1.0760000000000007,-3.795592908352955e-12,-1.3038561811467078e-05,1.0710386825793418e-17
1.0780000000000007,-3.2864280060128654e-12,-1.2997715416479365e-05,9.27362761745511e-18
1.0800000000000007,-2.7772631036727764e-12,-1.2956869021494254e-05,7.836868409116804e-18
1.0820000000000007,-2.268098201332687e-12,-1.2916022626507408e-05,6.400109200778497e-18
1.0840000000000007,-1.7589332989925982e-12,-1.2875176231522296e-05,4.96334999244019e-18
1.0860000000000007,-1.2497683966525092e-12,-1.283432983653545e-05,3.526590784101884e-18
1.0880000000000007,-7.4060349431242e-13,-1.2793483441549472e-05,2.089831575763577e-18
1.0900000000000007,-2.314385919723307e-13,-1.2752637046563493e-05,6.530723674252698e-19
1.0920000000000007,-0.0,-1.271176777259582e-05,0.0
1.0940000000000007,-0.0,-1.2670879432809777e-05,0.0
1.0960000000000008,-0.0,-1.2629991093023735e-05,0.0
1.0980000000000008,-0.0,-1.2589102753237692e-05,0.0
1.1000000000000008,-0.0,-1.254821441345165e-05,0.0
1.1020000000000008,-0.0,-1.2507326073666475e-05,0.0
1.1040000000000008,-0.0,-1.2466437733878698e-05,0.0
1.1060000000000008,-0.0,-1.2425549394092655e-05,0.0
1.1080000000000008,-0.0,-1.238466105430748e-05,0.0
1.1100000000000008,-1.1571929598636193e-13,-1.2343762666506067e-05,3.265361837131896e-19
1.1120000000000008,-3.7030174715640337e-13,-1.2302852221084994e-05,1.0449157878823342e-18
1.1140000000000008,-6.24884198326445e-13,-1.2261941775662186e-05,1.763295392051479e-18
1.1160000000000008,-8.794666494964864e-13,-1.2221031330241112e-05,2.4816749962206236e-18
1.1180000000000008,-1.134049100666528e-12,-1.2180120884820907e-05,3.2000546003897685e-18
1.1200000000000008,-1.3886315518365694e-12,-1.2139210439399833e-05,3.918434204558913e-18
1.1220000000000008,-1.6432140030066106e-12,-1.2098299993977026e-05,4.636813808728057e-18
1.1240000000000008,-1.897796454176652e-12,-1.2057389548555952e-05,5.355193412897202e-18
1.1260000000000008,-2.152378905346694e-12,-1.2016479103135747e-05,6.073573017066347e-18
1.1280000000000008,-2.221810482939041e-12,-1.1975559873067185e-05,6.269494727295757e-18
1.1300000000000008,-1.9672280317689966e-12,-1.1934625269865301e-05,5.5511151231266035e-18
1.1320000000000008,-1.712645580598952e-12,-1.1893690666661683e-05,4.83273551895745e-18
1.1340000000000008,-1.4580631294289075e-12,-1.1852756063458932e-05,4.114355914788297e-18
1.1360000000000008,-1.2034806782588626e-12,-1.1811821460257048e-05,3.3959763106191426e-18
1.1380000000000008,-9.488982270888182e-13,-1.1770886857054297e-05,2.6775967064499896e-18
1.1400000000000008,-6.943157759187736e-13,-1.1729952253850678e-05,1.9592171022808362e-18
1.1420000000000008,-4.3973332474872893e-13,-1.1689017650648795e-05,1.2408374981116825e-18
1.1440000000000008,-1.851508735786843e-13,-1.1648083047446044e-05,5.224578939425289e-19
1.1460000000000008,-1.3886315518279484e-13,-1.1607131128096512e-05,3.9184342045345866e-19
1.1480000000000008,-6.480280575231576e-13,-1.1566133032356145e-05,1.8286026287925375e-18
1.1500000000000008,-1.1571929598635203e-12,-1.1525134936613175e-05,3.265361837131616e-18
1.1520000000000008,-1.6663578622038828e-12,-1.1484136840872808e-05,4.702121045470695e-18
1.1540000000000008,-2.1755227645442456e-12,-1.144313874513244e-05,6.1388802538097735e-18
1.1560000000000008,-2.6846876668846084e-12,-1.1402140649390338e-05,7.575639462148853e-18
1.1580000000000008,-3.193852569224971e-12,-1.1361142553649103e-05,9.012398670487932e-18
1.1600000000000008,-3.703017471565334e-12,-1.1320144457908736e-05,1.044915787882701e-17
1.1620000000000008,-4.212182373905696e-12,-1.1279146362166634e-05,1.1885917087166089e-17
1.1640000000000008,-4.536196402665546e-12,-1.1238144438025996e-05,1.2800218401557478e-17
1.1660000000000008,-4.0270315003254626e-12,-1.119712528607937e-05,1.1363459193219188e-17
1.1680000000000008,-3.51786659798538e-12,-1.1156106134132746e-05,9.9266999848809e-18
1.1700000000000008,-3.0087016956452972e-12,-1.111508698218612e-05,8.48994077654261e-18
1.1720000000000008,-2.499536793305214e-12,-1.1074067830239495e-05,7.05318156820432e-18
1.1740000000000008,-1.990371890965131e-12,-1.1033048678295472e-05,5.616422359866031e-18
1.1760000000000008,-1.481206988625048e-12,-1.099202952634798e-05,4.179663151527741e-18
1.1780000000000008,-9.720420862849655e-13,-1.0951010374402222e-05,2.742903943189453e-18
1.1800000000000008,-4.628771839448824e-13,-1.0909991222455596e-05,1.306144734851163e-18
1.1820000000000006,-0.0,-1.0868968692486283e-05,0.0
1.1840000000000006,-0.0,-1.0827912382272743e-05,0.0
1.1860000000000006,-0.0,-1.078685607206007e-05,0.0
1.1880000000000006,-0.0,-1.074579976184653e-05,0.0
1.190000000000001,-0.0,-1.0704743451634725e-05,0.0
1.192000000000001,-0.0,-1.0663687141421185e-05,0.0
1.194000000000001,-0.0,-1.0622630831208513e-05,0.0
1.196000000000001,-0.0,-1.0581574520994105e-05,0.0
