pump_GHz,mean_B3dB_gain_dB,B3dB_bandwidth_GHz,GBP_dB_GHz
14.6,0.0703116248982,9.05,0.636320205328
14.7,0.143779186668,9.05,1.30120163935
14.8,0.304670945224,9.05,2.75727205427
14.9,0.480634265963,9.05,4.34974010696
15,0.779525799686,9.05,7.05470848716
15.1,0.611422385154,9.05,5.53337258564
15.2,2.23369100544,4.9,10.9450859267
15.3,16.7301973797,1.75,29.2778454145
15.4,26.7475799459,2.35,62.856812873
15.5,30.6774246601,2.95,90.4984027472
15.6,32.5404653043,3.75,122.026744891
15.7,33.1796772697,4.4,145.990579987
15.8,33.4009571049,4.95,165.334737669
15.9,33.3979854908,5.35,178.679222376
16,33.3314401585,5.6,186.656064888
16.1,33.5945101525,4.45,149.495570179
16.2,33.7929993537,3.9,131.792697479
16.3,33.8984115432,3.6,122.034281556
16.4,33.9563203715,3.3,112.055857226
16.5,33.9271660317,3.1,105.174214698
16.6,33.8745687346,2.9,98.2362493305
16.7,33.7577180582,2.8,94.5216105629
16.8,33.5830053623,2.8,94.0324150145
16.9,33.3727619479,2.85,95.1123715514
17,33.1577020901,2.85,94.4994509568
17.1,33.0021051351,2.65,87.4555786079
17.2,32.9025654213,2.3,75.6759004691
17.3,32.7709192389,2,65.5418384779
17.4,32.6940535268,1.65,53.9451883192
17.5,32.5399758796,1.4,45.5559662315
17.6,32.3966222559,1.15,37.2561155943
17.7,32.100714506,1,32.100714506
17.8,31.7813306015,0.85,27.0141310113
17.9,31.4008134795,0.7,21.9805694357
18,30.3414326857,0.95,28.8243610514
18.1,29.5427735633,1.35,39.8827443105
18.2,28.8603032527,1.75,50.5055306922
18.3,28.4456063455,1.8,51.2020914218
18.4,28.2924435606,1.55,43.8532875189
18.5,28.3580731886,1.3,36.8654951452
18.6,28.4140548104,1.15,32.676163032
18.7,28.3441523526,1.1,31.1785675879
18.8,28.211605613,1.05,29.6221858937
18.9,28.1063517511,0.95,26.7010341635
19,27.9689940528,0.9,25.1720946475
19.1,28.0237103968,0.7,19.6165972777
19.2,27.8244079653,0.7,19.4770855757
19.3,27.8248556014,0.6,16.6949133608
19.4,27.9902485075,0.45,12.5956118284
19.5,27.6488056466,0.5,13.8244028233
19.6,27.6511115004,0.45,12.4430001752
