signal_GHz,pump_14.60GHz_gain_dB,pump_14.70GHz_gain_dB,pump_14.80GHz_gain_dB,pump_14.90GHz_gain_dB,pump_15.00GHz_gain_dB,pump_15.10GHz_gain_dB,pump_15.20GHz_gain_dB,pump_15.30GHz_gain_dB,pump_15.40GHz_gain_dB,pump_15.50GHz_gain_dB,pump_15.60GHz_gain_dB,pump_15.70GHz_gain_dB,pump_15.80GHz_gain_dB,pump_15.90GHz_gain_dB,pump_16.00GHz_gain_dB,pump_16.10GHz_gain_dB,pump_16.20GHz_gain_dB,pump_16.30GHz_gain_dB,pump_16.40GHz_gain_dB,pump_16.50GHz_gain_dB,pump_16.60GHz_gain_dB,pump_16.70GHz_gain_dB,pump_16.80GHz_gain_dB,pump_16.90GHz_gain_dB,pump_17.00GHz_gain_dB,pump_17.10GHz_gain_dB,pump_17.20GHz_gain_dB,pump_17.30GHz_gain_dB,pump_17.40GHz_gain_dB,pump_17.50GHz_gain_dB,pump_17.60GHz_gain_dB,pump_17.70GHz_gain_dB,pump_17.80GHz_gain_dB,pump_17.90GHz_gain_dB,pump_18.00GHz_gain_dB,pump_18.10GHz_gain_dB,pump_18.20GHz_gain_dB,pump_18.30GHz_gain_dB,pump_18.40GHz_gain_dB,pump_18.50GHz_gain_dB,pump_18.60GHz_gain_dB,pump_18.70GHz_gain_dB,pump_18.80GHz_gain_dB,pump_18.90GHz_gain_dB,pump_19.00GHz_gain_dB,pump_19.10GHz_gain_dB,pump_19.20GHz_gain_dB,pump_19.30GHz_gain_dB,pump_19.40GHz_gain_dB,pump_19.50GHz_gain_dB,pump_19.60GHz_gain_dB
2.5,0.0548102124253,0.0786026054129,0.0138215447703,0.0880344580142,0.203842162724,0.17051771923,0.00330360126875,0.0077446387561,0.00032214315428,0.000428134411091,0.0926218410234,0.240024479721,0.00652524446173,0.0234507057278,0.0442337255955,0.00872561849741,0.000676723912569,0.0437304552704,0.0335425731697,0.470315635906,26.7236628047,0.239978858659,0.0274112648896,0.0401822604982,0.0306145532388,0.01008149546,0.0197507377488,0.166585455523,0.212972253639,0.0200971914997,0.402240757831,0.0768556853206,0.0815961013579,0.540239569932,0.680042010549,0.494314744585,0.2417216405,0.0348447645009,0.00416642016795,0.104678161978,0.250018453563,0.436496496297,0.582086816536,0.725164555546,0.82116136508,0.906633269777,0.958300548351,1.00012591741,1.01987865368,1.03000940849,1.02455017812
2.55,0.0441734296924,0.0939950912413,0.0449771528693,0.0411074230348,0.237448418941,0.0873374593291,0.0263228990621,0.108972383195,0.00141624391695,0.00074111720206,0.00574364601415,0.137849713314,0.171744265035,0.160116168234,0.138362003414,0.0884868590118,0.0057253047031,0.0182722611104,0.055780938019,0.0459107403589,1.93189374218,1.13967243688,0.000748452982008,0.0618210244874,0.0278320469604,0.00940495990685,0.00545790840829,0.107631072204,0.00893022214536,0.234155641277,0.145254503835,0.390481361889,0.0217477112068,0.185138556685,0.585892454454,0.688664731025,0.514592685163,0.259180117856,0.0653520870253,0.000133439293923,0.0443333928591,0.151121844525,0.28563460944,0.412227802557,0.5282557821,0.616728557319,0.68974504072,0.735463713671,0.768871014253,0.778552084212,0.77890527105
2.6,0.0308081910967,0.100148468441,0.0872470887493,0.00752047240963,0.226294009416,0.0171110701032,0.135824012552,0.266858200479,0.33920065567,0.000665224227655,0.207495911569,0.00711036140178,0.183116782843,0.0487325688232,0.132647587105,0.00112659012796,0.0464695274529,0.00353267638101,0.0535183598568,0.000580402694947,0.648034163901,26.297351534,0.0891149006417,0.0667663484487,0.0256325658335,0.00902300642469,0.000229498400951,0.0654702356636,0.204810016345,0.118525871518,0.00766228035768,0.320065683157,0.245297139241,4.22470693381e-06,0.317637985862,0.628677306594,0.690927613922,0.536662523837,0.277239774267,0.106923142516,0.00775425300086,0.00788280373012,0.073241178868,0.151500167404,0.255052268255,0.328576837438,0.408822339058,0.450678103883,0.493935483557,0.502291703852,0.510056051649
2.65,0.0182200143968,0.0962880220132,0.127423630108,0.0009580998576,0.178914269552,0.00181486181871,0.261901306821,0.36215663935,0.363835240862,0.00332472548396,0.00322302730573,0.217314773138,9.17027924316e-05,0.263743075348,0.0494724618396,0.0840011418546,0.0576684800079,0.0271816004411,0.0369802476377,0.0213689583375,0.172808842609,10.0193640022,1.14843606585,0.0360851914581,0.0591808730293,0.00883036189629,7.2635935591e-05,0.0357986749564,0.15231314225,0.0711051356898,0.292031764237,0.0294046919915,0.432003938736,0.160551596575,0.0232413257991,0.369607126101,0.668428751787,0.70925132035,0.558517405791,0.341751592874,0.156997742215,0.0427323318027,0.00116523316884,0.012679053895,0.0547914622922,0.107323599762,0.160184526761,0.20237349567,0.235020743677,0.250738723744,0.25615515397
2.7,0.00769186603084,0.0835786854739,0.160054742466,0.0229646535689,0.109757131009,0.0489180475578,0.355576166268,0.354233377217,0.247140819178,0.246609147496,0.000234993479976,0.388269381799,0.227466105365,0.0256449910549,0.209412352815,0.196513152565,0.028928486196,0.0760291004408,0.0180255060501,0.0393870576571,0.0236402861563,0.522445224661,25.6356342887,0.00394961702254,0.0947129044015,0.00876160695003,3.64357745387e-06,0.0162244788527,0.11035849767,0.185024317875,0.0306167259666,0.0891715177447,0.17325358786,0.401056750839,0.0799030743811,0.0951342722616,0.423477798792,0.703546503932,0.727236791047,0.583040638482,0.40862662279,0.218061369454,0.103107270306,0.0263731094558,0.0021972470754,0.00431513085778,0.0194465406271,0.0421248545514,0.0582652748951,0.0719820350424,0.0747717595724
2.75,0.00153272851711,0.065766734885,0.177413819709,0.0662621940129,0.0473057075253,0.13763660402,0.374704472339,0.25650120916,0.0915938861652,0.0706845425718,0.00136641976354,0.00265272718859,0.39650669438,0.130223336801,0.163029181325,0.00157446002635,0.0104481115351,0.013135534948,0.0466827178313,0.0415210848629,0.000224583383095,0.276723832277,16.3063611531,0.805407346204,0.10184641006,0.0393023463136,1.96946171292e-05,0.0125349729876,0.0761677205143,0.155363195658,0.157679408207,0.269690606345,0.00400897035709,0.357063556145,0.342418901379,0.0210790469203,0.130396787745,0.477023344257,0.712454860678,0.745578145858,0.639722206827,0.479924942408,0.316267459986,0.189024728184,0.097395049917,0.0443498138902,0.0150553602981,0.00360662535026,0.000109326903591,0.00023922505484,0.000934268409592
2.8,0.000144391016525,0.0450054682783,0.178548385327,0.123620084451,0.0066439406739,0.244818034036,0.319403468255,0.116806597178,0.0012132476281,0.00271219789178,0.00334189320978,5.80368622943e-06,0.198183148172,0.403805022895,0.0477712447577,0.278019211509,0.145953784369,0.104578409378,0.0710663855011,0.0312991549114,0.013822980542,0.090528810448,0.180735626503,24.7527836428,0.0326043536458,0.0939392290967,0.000111260038794,0.00960868612999,0.0487543886009,0.128474856295,0.118862748986,0.00038201946512,0.212614544137,0.0422886703547,0.460562546021,0.260948099357,6.24534936186e-05,0.169862165688,0.531145716928,0.719641823271,0.76345315391,0.693851767605,0.549811583429,0.42535012358,0.291145673045,0.208628636644,0.133420797252,0.0962528484814,0.0638901930357,0.0527287178396,0.0425857726755
2.85,0.00369841287182,0.0261070081683,0.164488560745,0.179326929523,0.00307235584117,0.331822134329,0.218648864564,0.0194294970074,0.0531954478201,0.121721784251,0.155329110282,2.41125423271e-06,0.000428476831878,0.24092427247,0.371855078782,0.0191615992751,0.0989549536671,0.0139144749414,0.00272156987659,0.0466812001801,0.0287443173552,0.0148408659242,0.277294466108,20.7533239204,0.325132001141,0.154200526925,0.0145120821715,0.00729539856252,0.0396406779927,0.102889379608,0.115819204691,0.218804887773,0.180025071152,0.0808185053902,0.205576663568,0.462593016514,0.168685213046,0.00342859610073,0.214447723073,0.527048311601,0.726135459373,0.784811422761,0.741396118892,0.645268204221,0.533964172353,0.430718493911,0.343730483913,0.27909934524,0.231565066451,0.202918381858,0.185909217134
2.9,0.0118273912404,0.0107457048027,0.137508096331,0.227025072812,0.0380236303213,0.384361547717,0.102721888162,0.00897027781512,0.230501170704,0.363029630737,0.439986720365,0.347721497911,0.000380964005138,0.000761017257029,0.28370461464,0.265757711735,0.179548649545,0.0421364808522,0.159260377747,0.037340038084,0.0331128816041,0.000109171700169,0.154095368914,0.00187784562599,23.5424944245,0.145682585087,0.0657723749239,0.00545941885759,0.0324292583711,0.0786659049147,0.110290404145,0.0436738075779,0.0440956319827,0.306549162967,0.00121331379333,0.395650115885,0.429900563653,0.0828913884192,0.0123504645131,0.261022030892,0.522446534184,0.729897618737,0.797001907683,0.782757951482,0.726894315589,0.640040749224,0.568129511663,0.493196778778,0.445351205479,0.403418586001,0.385142462446
2.95,0.0230535410026,0.00196894083084,0.104411370932,0.256567996798,0.101446839349,0.389375172541,0.0225144774831,0.0972267074525,0.435698363597,0.569534505327,0.632859273159,0.606521481134,0.00162388188092,0.000233790577017,0.00895834984988,0.400006361855,0.0447367776261,0.245109480225,0.10402279276,0.042880421538,0.0278284545118,0.0098906745944,0.0582064585422,0.170349304836,24.0600099778,0.0241820586097,0.16364970521,0.000586284127336,0.0266287680279,0.0654716071298,0.101431658836,0.0560734907505,0.222243872447,0.0717267315743,0.209830622496,0.0587237672671,0.459882211232,0.365939665845,0.0604545212988,0.0262608926156,0.250707301925,0.513744726873,0.706289589435,0.798464781317,0.818027470982,0.792935004451,0.745177797386,0.695660893796,0.647863294195,0.614331925604,0.589015656768
