pump_GHz,mean_B3dB_gain_dB,B3dB_bandwidth_GHz
13.8,32.31581731357484,2.719999999999942
13.805000000000001,32.38355618031001,2.7499999999999414
13.810000000000002,32.44742479848354,2.7799999999999407
13.815000000000003,32.500066338015216,2.81999999999994
13.820000000000004,32.55730464651011,2.8499999999999392
13.825000000000005,32.61130265210765,2.8799999999999386
13.830000000000005,32.654939522647545,2.9199999999999378
13.835000000000006,32.69547066231997,2.959999999999937
13.840000000000007,32.7405929701719,2.9899999999999363
13.845000000000008,32.77568330990697,3.0299999999999354
13.850000000000009,32.81560771916171,3.0599999999999348
13.85500000000001,32.85262712605815,3.089999999999934
13.86000000000001,32.880182281036035,3.1299999999999333
13.86500000000001,32.9123285438667,3.1599999999999326
13.870000000000012,32.94230895835729,3.189999999999932
13.875000000000012,32.9698033929861,3.2199999999999314
13.880000000000013,32.98854457894434,3.2599999999999305
13.885000000000014,33.011851710145145,3.28999999999993
13.890000000000015,33.03330123795354,3.3199999999999292
13.895000000000016,33.05263280998121,3.3499999999999286
13.900000000000016,33.070116742721694,3.379999999999928
13.905000000000017,33.0831985235191,3.4099999999999273
13.910000000000018,33.09493712085851,3.4399999999999267
13.915000000000019,33.10512551639907,3.469999999999926
13.92000000000002,33.11999496121632,3.4899999999999256
