gain_dB,dG_dB_gamma_-20dB,dG_dB_gamma_-13dB,dG_dB_gamma_-11dB,dG_dB_gamma_-10dB
0.01,0.08706204235751663,0.43669680882462114,0.6930019516505769,0.8735243339716379
0.06010025062656641,0.08807227513458443,0.44177240932309014,0.701077484884649,0.8837293504134002
0.11020050125313281,0.08909423187039715,0.4469072077647515,0.7092479477247727,0.8940552482414992
0.16030075187969922,0.09012804868115118,0.45210190185164506,0.7175144853491576,0.9045035184009573
0.21040100250626564,0.09117386326538102,0.4573571977651154,0.7258782577863994,0.915075672322969
0.26050125313283207,0.0922318149224243,0.46267381027784615,0.7343404401442206,0.9257732422793453
0.31060150375939843,0.09330204457110351,0.46805246286769303,0.7429022228429463,0.9365977817454598
0.36070175438596486,0.09438469476863491,0.4734938878333453,0.7515648118538354,0.947550865771965
0.4108020050125313,0.09547990972974886,0.47899882641185176,0.7603294289424044,0.9586340913655553
0.4609022556390977,0.09658783534604945,0.4845680288980522,0.7691973119168966,0.9698490778790724
0.5110025062656641,0.09770861920559314,0.4902022547659608,0.7781697148820305,0.9811974674112529
0.5611027568922305,0.09884241061270448,0.49590227279214477,0.7872479084981914,0.9926809252164321
0.6112030075187969,0.09998936060802452,0.5016688611811391,0.7964331802462183,1.0043011401245339
0.6613032581453633,0.10114962198879651,0.5075028076929387,0.8057268346979475,1.0160598249716695
0.7114035087719297,0.10232334932939197,0.5134049097726303,0.8151301937926887,1.0279587170417237
0.7615037593984961,0.10351069900208229,0.5193759746821921,0.8246445971198008,1.0399995785192697
0.8116040100250625,0.10471182919804839,0.525416819634532,0.8342714022075632,1.0521841969541985
0.861704260651629,0.10592689994865431,0.5315282719297927,0.8440119848185045,1.0645143857384722
0.9118045112781954,0.10715607314695705,0.5377111690940048,0.8538677392514165,1.0769919845953817
0.9619047619047618,0.1083995125694838,0.5439663590201119,0.8638400786502307,1.0896188600817733
1.0120050125313282,0.10965738389826214,0.5502947001114502,0.8739304353199737,1.1023969061036503
1.0621052631578947,0.11092985474311529,0.5566970614277187,0.8841402610500281,1.115328044445643
1.112205513784461,0.11221709466421778,0.56317432283352,0.8944710274448997,1.128414225314804
1.1623057644110275,0.11351927519492522,0.569727375149512,0.9049242262627684,1.141657427899244
1.2124060150375937,0.11483656986487284,0.5763571203062585,0.9155013697620016,1.1550596609421202
1.2625062656641601,0.11616915422334828,0.5830644715008194,0.9262039910559496,1.1686229633315222
1.3126065162907266,0.11751720586294616,0.5898503533561584,0.9370336444762302,1.1823494047068228
1.362706766917293,0.11888090444350206,0.5967157020834503,0.9479919059448,1.1962410860820683
1.4128070175438594,0.12026043171631653,0.6036614656473356,0.9590803733550892,1.2103001404870377
1.4629072681704258,0.12165597154865725,0.6106886039342121,0.970300666962487,1.2245287336265998
