gamma_dB,dG_dB_eta_1,dG_dB_eta_0.5
-15.1629072682,nan,nan
-15.1378446115,nan,nan
-15.1127819549,nan,nan
-15.0877192982,nan,nan
-15.0626566416,nan,nan
-15.037593985,nan,nan
-15.0125313283,nan,nan
-14.9874686717,nan,nan
-14.962406015,nan,nan
-14.9373433584,nan,nan
-14.9122807018,nan,nan
-14.8872180451,nan,nan
-14.8621553885,nan,nan
-14.8370927318,nan,nan
-14.8120300752,nan,nan
-14.7869674185,nan,nan
-14.7619047619,nan,nan
-14.7368421053,nan,nan
-14.7117794486,nan,nan
-14.686716792,nan,nan
-14.6616541353,nan,nan
-14.6365914787,nan,nan
-14.6115288221,nan,nan
-14.5864661654,nan,nan
-14.5614035088,nan,nan
-14.5363408521,nan,nan
-14.5112781955,nan,nan
-14.4862155388,nan,nan
-14.4611528822,nan,nan
-14.4360902256,nan,nan
-14.4110275689,nan,nan
-14.3859649123,nan,nan
-14.3609022556,nan,nan
-14.335839599,nan,nan
-14.3107769424,nan,nan
-14.2857142857,nan,nan
-14.2606516291,nan,nan
-14.2355889724,nan,nan
-14.2105263158,nan,nan
-14.1854636591,nan,nan
-14.1604010025,nan,nan
-14.1353383459,nan,nan
-14.1102756892,nan,nan
-14.0852130326,nan,nan
-14.0601503759,nan,nan
-14.0350877193,nan,nan
-14.0100250627,nan,nan
-13.984962406,nan,nan
-13.9598997494,nan,nan
-13.9348370927,nan,nan
-13.9097744361,nan,nan
-13.8847117794,nan,nan
-13.8596491228,nan,nan
-13.8345864662,nan,nan
-13.8095238095,nan,nan
-13.7844611529,nan,nan
-13.7593984962,nan,nan
-13.7343358396,nan,nan
-13.709273183,nan,nan
-13.6842105263,nan,nan
-13.6591478697,nan,nan
-13.634085213,nan,nan
-13.6090225564,nan,nan
-13.5839598997,nan,nan
-13.5588972431,nan,nan
-13.5338345865,nan,nan
-13.5087719298,nan,nan
-13.4837092732,nan,nan
-13.4586466165,nan,nan
-13.4335839599,nan,nan
-13.4085213033,nan,nan
-13.3834586466,nan,nan
-13.35839599,nan,nan
-13.3333333333,nan,nan
-13.3082706767,nan,nan
-13.2832080201,nan,nan
-13.2581453634,nan,nan
-13.2330827068,nan,nan
-13.2080200501,nan,nan
-13.1829573935,nan,nan
-13.1578947368,nan,nan
-13.1328320802,nan,nan
-13.1077694236,nan,nan
-13.0827067669,nan,nan
-13.0576441103,nan,nan
-13.0325814536,nan,nan
-13.007518797,nan,nan
-12.9824561404,nan,nan
-12.9573934837,nan,nan
-12.9323308271,nan,nan
-12.9072681704,nan,nan
-12.8822055138,nan,nan
-12.8571428571,nan,nan
-12.8320802005,nan,nan
-12.8070175439,nan,nan
-12.7819548872,nan,nan
-12.7568922306,nan,nan
-12.7318295739,nan,nan
-12.7067669173,nan,nan
-12.6817042607,nan,nan
-12.656641604,nan,nan
-12.6315789474,nan,nan
-12.6065162907,nan,nan
-12.5814536341,nan,nan
-12.5563909774,nan,nan
-12.5313283208,nan,nan
-12.5062656642,nan,nan
-12.4812030075,nan,nan
-12.4561403509,nan,nan
-12.4310776942,nan,nan
-12.4060150376,nan,nan
-12.380952381,nan,nan
-12.3558897243,nan,nan
-12.3308270677,nan,nan
-12.305764411,nan,nan
-12.2807017544,nan,nan
-12.2556390977,nan,nan
-12.2305764411,nan,nan
-12.2055137845,nan,nan
-12.1804511278,nan,nan
-12.1553884712,nan,nan
-12.1303258145,nan,nan
-12.1052631579,nan,nan
-12.0802005013,nan,nan
-12.0551378446,nan,nan
-12.030075188,nan,nan
-12.0050125313,nan,nan
-11.9799498747,nan,nan
-11.954887218,nan,nan
-11.9298245614,nan,nan
-11.9047619048,nan,nan
-11.8796992481,nan,nan
-11.8546365915,nan,nan
-11.8295739348,nan,nan
-11.8045112782,nan,nan
-11.7794486216,nan,nan
-11.7543859649,nan,nan
-11.7293233083,nan,nan
-11.7042606516,nan,nan
-11.679197995,nan,nan
-11.6541353383,nan,nan
-11.6290726817,nan,nan
-11.6040100251,nan,nan
-11.5789473684,nan,nan
-11.5538847118,nan,nan
-11.5288220551,nan,nan
