freq_GHz,S21_db_engineered,k_star_engineered_rad
1.244,-7.09500172076e-05,-2.55363785511e-05
1.246,-7.08004879513e-05,-2.54383152624e-05
1.248,-7.06509586951e-05,-2.53402519738e-05
1.25,-7.05014294388e-05,-2.52421886851e-05
1.252,-7.03519001826e-05,-2.51441253965e-05
1.254,-7.02023709263e-05,-2.50460621078e-05
1.256,-6.99912364203e-05,-2.49479288435e-05
1.258,-6.97569999456e-05,-2.48497693383e-05
1.26,-6.95227634709e-05,-2.47516098332e-05
1.262,-6.92885269961e-05,-2.4653450328e-05
1.264,-6.90542905214e-05,-2.45552908228e-05
1.266,-6.88200540467e-05,-2.44571313176e-05
1.268,-6.8585817572e-05,-2.43589718124e-05
1.27,-6.83515810973e-05,-2.42608123072e-05
1.272,-6.81173446226e-05,-2.4162652802e-05
1.274,-6.78329227494e-05,-2.40644309309e-05
1.276,-6.75198235055e-05,-2.39661734221e-05
1.278,-6.72067242616e-05,-2.38679159133e-05
1.28,-6.68936250177e-05,-2.37696584045e-05
1.282,-6.65805257738e-05,-2.36714008957e-05
1.284,-6.62674265299e-05,-2.35731433869e-05
1.286,-6.5954327286e-05,-2.34748858781e-05
1.288,-6.56412280421e-05,-2.33766283693e-05
1.29,-6.53281287982e-05,-2.32783708605e-05
1.292,-6.49753273286e-05,-2.31800589289e-05
1.294,-6.4589440671e-05,-2.30817016451e-05
1.296,-6.42035540134e-05,-2.29833443613e-05
1.298,-6.38176673559e-05,-2.28849870775e-05
1.3,-6.34317806983e-05,-2.27866297937e-05
1.302,-6.30458940407e-05,-2.26882725099e-05
1.304,-6.26600073831e-05,-2.25899152261e-05
1.306,-6.22741207255e-05,-2.24915579423e-05
1.308,-6.18882340679e-05,-2.23932006584e-05
1.31,-6.14721177116e-05,-2.22947972238e-05
1.312,-6.10197257168e-05,-2.21963384082e-05
1.314,-6.0567333722e-05,-2.20978795925e-05
1.316,-6.01149417272e-05,-2.19994207769e-05
1.318,-5.96625497324e-05,-2.19009619613e-05
1.32,-5.92101577375e-05,-2.18025031457e-05
1.322,-5.87577657427e-05,-2.170404433e-05
