freq_GHz,k_star_bare_rad_theoretical
0.2,-3.984290366234537e-07
0.202,-2.3516864591236668e-07
0.204,-2.379866213838124e-07
0.20600000000000002,-3.941339709882303e-07
0.20800000000000002,-4.6462327111078936e-07
0.21000000000000002,-3.3615148882021805e-07
0.21200000000000002,-1.9413161875787648e-07
0.21400000000000002,-2.4465325578490807e-07
0.21600000000000003,-4.039614060577675e-07
0.21800000000000003,-4.284531591701717e-07
0.22000000000000003,-2.7303905201933815e-07
0.22200000000000003,-1.6428387619547976e-07
0.22400000000000003,-2.5756877616530706e-07
0.22600000000000003,-4.059494398421016e-07
0.22800000000000004,-3.8173636361850003e-07
0.23000000000000004,-2.1261978825281528e-07
0.23200000000000004,-1.4615132010360483e-07
0.23400000000000004,-2.7362486542368853e-07
0.23600000000000004,-3.9789292054128855e-07
0.23800000000000007,-3.264985415809391e-07
0.24000000000000005,-1.581693298663661e-07
0.24200000000000005,-1.392358057112405e-07
0.24400000000000005,-2.894525956252539e-07
0.24600000000000005,-3.784287633017613e-07
0.24800000000000005,-2.655358544148751e-07
0.25000000000000006,-1.1241175838132625e-07
0.25200000000000006,-1.42076207361886e-07
0.25400000000000006,-3.01697817318221e-07
0.25600000000000006,-3.47167375905821e-07
0.25800000000000006,-2.0216644546595334e-07
0.26000000000000006,-7.72784395486727e-08
0.26200000000000007,-1.5238732028761276e-07
0.26400000000000007,-3.0729562286468427e-07
0.26600000000000007,-3.047447789313604e-07
0.26800000000000007,-1.3992683471923586e-07
0.2700000000000001,-5.374702847832282e-08
0.2720000000000001,-1.6726064598962791e-07
0.2740000000000001,-3.037256876805205e-07
0.2760000000000001,-2.5278471521127804e-07
0.2780000000000001,-8.224477354148649e-08
0.2800000000000001,-4.177194762213909e-08
0.2820000000000001,-1.8340904196030485e-07
0.2840000000000001,-2.892300539785765e-07
0.28600000000000003,-1.9376794131622643e-07
0.28800000000000003,-3.212380388344788e-08
0.29000000000000015,-4.0306838162821636e-08
0.2920000000000001,-1.9743677729994105e-07
0.2940000000000001,-2.629750301268467e-07
0.2960000000000001,-1.3081620058399447e-07
0.2980000000000001,8.127081749329662e-09
0.3000000000000001,-4.741065954085889e-08
0.3020000000000001,-2.0611672949650238e-07
0.3040000000000001,-2.25140269894189e-07
0.3060000000000001,-6.740951853331269e-08
0.3080000000000001,3.7092190773827145e-08
0.3100000000000001,-6.042317732290504e-08
0.3120000000000001,-2.0665657102280147e-07
0.3140000000000001,-1.7692176537600218e-07
0.3160000000000001,-7.065157139668141e-09
0.3180000000000001,5.436000802250783e-08
0.3200000000000001,-7.619247147289988e-08
0.3220000000000001,-1.9693560930926154e-07
0.3240000000000001,-1.204420763283899e-07
0.3260000000000001,4.6987497770260844e-08
0.3280000000000001,6.054104789189607e-08
0.3300000000000001,-9.133606143846631e-08
0.33200000000000013,-1.7569379759147137e-07
0.33400000000000013,-5.857049686073569e-08
0.33600000000000013,9.210119426015032e-08
0.33800000000000013,5.719741213647267e-08
0.34000000000000014,-1.025172674344859e-07
0.34200000000000014,-1.4265512669362976e-07
0.34400000000000014,5.333110787188178e-09
0.34600000000000014,1.264441099556573e-07
0.34800000000000014,4.669605318087869e-08
0.35000000000000014,-1.0671863470679797e-07
0.35200000000000015,-9.857015553240388e-08
0.3540000000000001,6.772643867448448e-08
0.3560000000000002,1.491510985753442e-07
0.35800000000000015,3.20020475431948e-08
0.36000000000000015,-1.0149418467057976e-07
0.36200000000000015,-4.5167694961165475e-08
0.36400000000000016,1.2521256963281095e-07
0.36600000000000016,1.6038282348636995e-07
0.36800000000000016,1.6430021712718e-08
0.37000000000000016,-8.518201672388752e-08
0.37200000000000016,1.4986117151481043e-08
0.37400000000000017,1.7485217570036883e-07
0.37600000000000017,1.6129338394196488e-07
0.37800000000000017,3.3721967375617556e-09
0.38000000000000017,-5.705898381818536e-08
0.3820000000000002,7.871260341435482e-08
0.3840000000000002,2.1442719239789243e-07
0.3860000000000002,1.5391557750218422e-07
0.3880000000000002,-3.978692509568754e-09
0.3900000000000002,-1.7420764041389813e-08
0.3920000000000002,1.4250933550981684e-07
0.3940000000000002,2.4263047164983786e-07
0.3960000000000002,1.4097854763987262e-07
0.3980000000000002,-2.8934254497556267e-09
0.4000000000000002,3.242537002247879e-08
0.4020000000000002,2.0287366706440296e-07
0.4040000000000002,2.5916635738366424e-07
0.4060000000000002,1.2567539953893883e-07
0.4080000000000002,8.661116885537792e-09
0.4100000000000002,9.026084817238822e-08
0.4120000000000002,2.5662634589433166e-07
0.4140000000000002,2.647582285815204e-07
0.4160000000000002,1.1139923552171659e-07
0.4180000000000002,3.183929459557415e-08
0.4200000000000002,1.5314527718646338e-07
0.42200000000000015,3.012005241370859e-07
0.42400000000000027,2.610687052388618e-07
0.4260000000000002,1.0146598207970946e-07
0.4280000000000002,6.680162209678209e-08
0.4300000000000002,2.1768008846346533e-07
0.4320000000000002,3.348668635386881e-07
0.4340000000000002,2.5054515615050704e-07
0.4360000000000002,9.88421926147176e-08
0.4380000000000002,1.1268207247144835e-07
0.4400000000000002,2.803208847992726e-07
0.4420000000000002,3.568748100238675e-07
0.44400000000000023,2.362071429501747e-07
0.44600000000000023,1.0589611077870681e-07
0.44800000000000023,1.6764699285742868e-07
0.45000000000000023,3.3770558799427544e-07
0.45200000000000023,3.6750122152677187e-07
0.45400000000000024,2.2139405357786412e-07
0.45600000000000024,1.241905120126334e-07
0.45800000000000024,2.290463035599724e-07
0.46000000000000024,3.869629885870987e-07
0.46200000000000024,3.680080484015115e-07
0.46400000000000025,2.0949139822130577e-07
0.46600000000000025,1.543355371393454e-07
0.46800000000000025,2.936469589245351e-07
0.47000000000000025,4.2596938388877667e-07
0.47200000000000025,3.605190040177446e-07
0.47400000000000025,2.036540224575542e-07
0.47600000000000026,1.9591790773390572e-07
0.47800000000000026,3.5792758637607364e-07
0.48000000000000026,4.5352884583439723e-07
0.48200000000000026,3.4783043904125163e-07
0.48400000000000026,2.0654445205070884e-07
0.48600000000000027,2.4751860982314897e-07
0.4880000000000002,4.184041561888438e-07
0.4900000000000003,4.694633125822134e-07
0.49200000000000027,3.331742003185971e-07
0.49400000000000027,2.2010481460143713e-07
0.4960000000000003,3.068238479272088e-07
0.4980000000000003,4.7195168165117124e-07
0.5000000000000002,4.7460974363262853e-07
0.5020000000000002,3.1995096767259076e-07
0.5040000000000002,2.453808273608117e-07
0.5060000000000002,3.7082415346462866e-07
0.5080000000000002,5.160875737155249e-07
0.5100000000000002,4.707309792010249e-07
0.5120000000000002,3.1145243623237687e-07
0.5140000000000002,2.824153189449202e-07
0.5160000000000002,4.360853509241709e-07
0.5180000000000002,5.491882095432984e-07
0.5200000000000002,4.6035355669681033e-07
0.5220000000000002,3.10590549058333e-07
0.5240000000000002,3.3022564444300934e-07
0.5260000000000002,4.9906482538567e-07
0.5280000000000002,5.706199865903629e-07
0.5300000000000002,4.4654942743267007e-07
0.5320000000000003,3.196521220385877e-07
0.5340000000000003,3.8687339836383783e-07
0.5360000000000003,5.564395821316265e-07
0.5380000000000003,5.807773043888485e-07
0.5400000000000003,4.3267992637895103e-07
0.5420000000000003,3.400974194784495e-07
0.5440000000000003,4.4962596067784494e-07
0.5460000000000003,6.054107171953732e-07
0.5480000000000003,5.810302554985596e-07
0.5500000000000003,4.221204748982091e-07
0.5520000000000003,3.724208151359952e-07
0.5540000000000003,5.151985472003594e-07
0.5560000000000003,6.439526224286812e-07
0.5580000000000003,5.735927343054545e-07
0.5600000000000003,4.1798427795640067e-07
0.5620000000000003,4.1608960668626516e-07
0.5640000000000003,5.800544570135763e-07
0.5660000000000003,6.709835547952583e-07
0.5680000000000003,5.613266179384756e-07
0.5700000000000003,4.2286327691168357e-07
0.5720000000000003,4.695724100806098e-07
0.5740000000000003,6.407325108441844e-07
0.5760000000000003,6.864450378392221e-07
0.5780000000000003,5.474999820709835e-07
0.5800000000000003,4.3860486426171644e-07
0.5820000000000002,5.304609209133039e-07
0.5840000000000002,6.941664029759022e-07
0.5860000000000004,6.912885289231223e-07
0.5880000000000004,5.355178818991155e-07
0.5900000000000004,4.6614284091722746e-07
0.5920000000000003,5.956786565080967e-07
0.5940000000000003,7.37961965190017e-07
0.5960000000000003,6.873769200946116e-07
0.5980000000000003,5.286440666178206e-07
0.6000000000000003,5.053998843604704e-07
0.6020000000000003,6.617590724141906e-07
0.6040000000000003,7.706048248223678e-07
0.6060000000000003,6.773147149283058e-07
0.6080000000000003,5.29731863025025e-07
0.6100000000000003,5.552753817006893e-07
0.6120000000000003,7.251654305972036e-07
0.6140000000000003,7.915809645403504e-07
0.6160000000000003,6.642241130888106e-07
0.6180000000000003,5.409826351952633e-07
0.6200000000000003,6.137261620181057e-07
0.6220000000000003,7.826183476039757e-07
0.6240000000000003,8.014038955059428e-07
0.6260000000000003,6.514854448925675e-07
0.6280000000000003,5.637504170512807e-07
0.6300000000000003,6.779384739462671e-07
0.6320000000000003,8.313957269353439e-07
0.6340000000000003,8.015522970162073e-07
0.6360000000000003,6.424604436757256e-07
0.6380000000000003,5.984107544917093e-07
0.6400000000000003,7.445785402755874e-07
0.6420000000000003,8.695741054464724e-07
0.6440000000000003,7.943295798197407e-07
0.6460000000000004,6.40216633052311e-07
0.6480000000000004,6.443094650444674e-07
0.6500000000000004,8.100981576698862e-07
0.6520000000000004,8.961891835483973e-07
0.6540000000000004,7.826614452761081e-07
0.6560000000000004,6.472711467442674e-07
0.6580000000000004,6.998020281728801e-07
0.6600000000000004,8.710635115666103e-07
0.6620000000000004,9.113043067375017e-07
0.6640000000000004,7.698495697728951e-07
0.6660000000000004,6.65372551739412e-07
0.6680000000000004,7.623863208967852e-07
0.6700000000000004,9.244717143665898e-07
0.6720000000000004,9.159865256304876e-07
0.6740000000000004,7.592999777994609e-07
0.6760000000000004,6.95339135088277e-07
0.6780000000000004,8.289209965312364e-07
0.6800000000000004,9.680215126029595e-07
0.6820000000000004,9.121987114939223e-07
0.6840000000000004,7.542444786963476e-07
0.6860000000000004,7.369706925899888e-07
0.6880000000000004,8.959105725191846e-07
0.6900000000000004,1.0003116316919386e-06
0.6920000000000004,9.026221354634795e-07
0.6940000000000004,7.574734439989503e-07
0.6960000000000004,7.890471184846329e-07
0.6980000000000004,9.59828556877651e-07
0.7000000000000004,1.0209505420756201e-06
0.7020000000000004,8.904270122978356e-07
0.7040000000000004,7.7109840468121e-07
0.7060000000000004,8.494204007895162e-07
0.7080000000000004,1.0174440315917355e-06
0.7100000000000004,1.030572640284104e-06
0.7120000000000004,8.790095312027207e-07
0.7140000000000004,7.963630991141002e-07
0.7160000000000003,9.151971233044287e-07
0.7180000000000003,1.066116555249047e-06
0.7200000000000005,1.0307657593560532e-06
