pump_GHz,Idc_A,Ip0_A,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite
13.1,0.00033999999999999997,0.00033,"[4.0, 8.0]",42.08545560761859,7.999999999999986,26.645355506489274,31.838808543584918,42.30005115770372,13.241423603676354,0.8048780487804879,0.7804878048780488,0.7317073170731707,"[(6.199999999999992, 6.199999999999992), (7.299999999999988, 7.399999999999988), (7.999999999999986, 7.999999999999986)]",0.3999999999999986,True
13.12,0.00033999999999999997,0.00033,"[4.0, 8.0]",40.4296807524305,7.699999999999987,29.950356225466933,33.250116938786995,39.22233020754875,10.095649548234986,0.8780487804878049,0.8780487804878049,0.8780487804878049,"[(5.899999999999993, 5.899999999999993), (6.199999999999992, 6.299999999999992), (7.599999999999987, 7.7999999999999865)]",0.5999999999999979,True
13.14,0.00033999999999999997,0.00033,"[4.0, 8.0]",6.051666308782748,4.399999999999999,3.8030639773355848,3.532128515145276,4.348887178916418,0.9290614518237604,0.0,0.0,0.0,"[(4.0, 6.599999999999991), (6.999999999999989, 7.299999999999988), (7.599999999999987, 7.7999999999999865)]",3.399999999999988,True
13.16,0.00033999999999999997,0.00033,"[4.0, 8.0]",4.16052129962183,4.299999999999999,2.7092669357444796,2.5823672690030057,2.7747684345220853,0.8150407158539913,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.099999999999985,True
13.1,0.00033999999999999997,0.00033999999999999997,"[4.0, 8.0]",42.299270108083306,7.499999999999988,22.067042039236394,27.29313765896629,42.26068217230498,15.076115021769727,0.6585365853658537,0.6341463414634146,0.5853658536585366,"[(6.199999999999992, 6.199999999999992), (6.3999999999999915, 6.3999999999999915), (7.099999999999989, 7.099999999999989), (7.499999999999988, 7.499999999999988)]",0.3999999999999986,True
13.12,0.00033999999999999997,0.00033999999999999997,"[4.0, 8.0]",41.39127178356733,7.399999999999988,27.5828378710178,32.119190555814974,42.41112353131523,12.184007881418514,0.8048780487804879,0.8048780487804879,0.8048780487804879,"[(7.299999999999988, 7.399999999999988), (7.899999999999986, 7.899999999999986)]",0.29999999999999893,True
13.14,0.00033999999999999997,0.00033999999999999997,"[4.0, 8.0]",6.692396303967708,4.499999999999998,4.418783049295887,4.142481085749014,4.624027643406313,0.8975252649892241,0.0,0.0,0.0,"[(4.0, 6.69999999999999), (6.999999999999989, 7.299999999999988), (7.699999999999987, 7.7999999999999865)]",3.399999999999988,True
13.16,0.00033999999999999997,0.00033999999999999997,"[4.0, 8.0]",4.631500436591055,4.299999999999999,3.1275832951979585,3.0045290811604457,3.0806961636393098,0.7866966132494657,0.0,0.0,0.0,"[(4.0, 7.899999999999986)]",3.999999999999986,True
13.1,0.00033999999999999997,0.00035,"[4.0, 8.0]",31.97095367479488,6.299999999999992,9.998754210276392,5.419523419523658,40.30362113407902,10.840048654250436,0.36585365853658536,0.3170731707317073,0.2926829268292683,"[(6.299999999999992, 6.299999999999992), (6.499999999999991, 6.499999999999991)]",0.1999999999999993,True
13.12,0.00033999999999999997,0.00035,"[4.0, 8.0]",41.80433517844375,7.399999999999988,24.618800183322865,30.051104050438433,42.15963328150214,14.117736059590731,0.7073170731707317,0.7073170731707317,0.6585365853658537,"[(5.799999999999994, 5.799999999999994), (7.299999999999988, 7.499999999999988)]",0.3999999999999986,True
