pump_GHz,signal_GHz,gain_db
10.3,2.0,3.96656999634021
10.3,2.1,2.1650659555824867
10.3,2.2,0.872395340315073
10.3,2.3000000000000003,0.1552517763446723
10.3,2.4000000000000004,0.017423320311021104
10.3,2.5000000000000004,0.3915765127019155
10.3,2.6000000000000005,1.1584796649305613
10.3,2.7000000000000006,2.1890030473545883
10.3,2.8000000000000007,3.3709733772564126
10.3,2.900000000000001,4.623050875080611
10.3,3.000000000000001,5.8884531075765825
10.3,3.100000000000001,7.1300000505801595
10.3,3.200000000000001,8.330868604417283
10.3,3.300000000000001,9.466660522416726
10.3,3.4000000000000012,10.531954255555993
10.3,3.5000000000000013,11.522683283563573
10.3,3.6000000000000014,12.440490267976973
10.3,3.7000000000000015,13.274256382463445
10.3,3.8000000000000016,14.032416135146184
10.3,3.9000000000000017,14.711308083744818
10.3,4.000000000000002,15.308173115941164
10.3,4.100000000000001,15.825881037510802
10.3,4.200000000000002,16.265684308494894
10.3,4.3000000000000025,16.63264075908851
10.3,4.400000000000002,16.90814461247893
10.3,4.500000000000002,17.117783675036584
10.3,4.600000000000002,17.24757757485871
10.3,4.700000000000003,17.29906076757445
10.3,4.8000000000000025,17.274650258443696
10.3,4.900000000000002,17.16913844435433
10.3,5.000000000000003,16.98322118767918
10.3,5.100000000000003,16.72333750978897
10.3,5.200000000000003,16.387757376740495
10.3,5.3000000000000025,15.980896716577927
10.3,5.400000000000003,15.496530639455644
10.3,5.5000000000000036,14.927317441221524
10.3,5.600000000000003,14.283825371078835
10.3,5.700000000000003,13.56243425522617
10.3,5.800000000000003,12.770166775916183
10.3,5.900000000000004,11.898782504844927
10.3,6.0000000000000036,10.954972531713938
10.3,6.100000000000003,9.931873922487185
10.3,6.200000000000004,8.850787181728117
10.3,6.300000000000004,7.70425780382853
10.3,6.400000000000004,6.505288944981668
10.3,6.5000000000000036,5.282077416203476
10.3,6.600000000000004,4.051044380499175
10.3,6.700000000000005,2.8494667000920897
10.3,6.800000000000004,1.7531608235467422
10.3,6.900000000000004,0.8353776498965044
10.3,7.000000000000004,0.21209516279543109
10.3,7.100000000000005,0.0009625757778023717
10.3,7.200000000000005,0.2974530299792603
10.3,7.300000000000004,1.1415482588545813
10.3,7.400000000000005,2.503545273486787
10.3,7.500000000000005,4.307907153307228
