pump_GHz,signal_GHz,gain_db
10.3,2.0,0.7383225003896409
10.3,2.1,0.8246700270562185
10.3,2.2,0.8407537264348998
10.3,2.3000000000000003,0.7944646266663697
10.3,2.4000000000000004,0.7001169622391318
10.3,2.5000000000000004,0.5757599674641201
10.3,2.6000000000000005,0.4394939499275338
10.3,2.7000000000000006,0.30678059785803213
10.3,2.8000000000000007,0.18988304343200096
10.3,2.900000000000001,0.0980703985973004
10.3,3.000000000000001,0.03639418417342014
10.3,3.100000000000001,0.005249987532122707
10.3,3.200000000000001,0.0015590701428020123
10.3,3.300000000000001,0.02067568950606174
10.3,3.4000000000000012,0.05749283569787849
10.3,3.5000000000000013,0.10680182616974085
10.3,3.6000000000000014,0.16329531181698326
10.3,3.7000000000000015,0.2219627906566057
10.3,3.8000000000000016,0.27926805030715157
10.3,3.9000000000000017,0.33307610160797724
10.3,4.000000000000002,0.38215970983609016
10.3,4.100000000000001,0.4261101208495885
10.3,4.200000000000002,0.46470844093059954
10.3,4.3000000000000025,0.49782912308411614
10.3,4.400000000000002,0.525571449942049
10.3,4.500000000000002,0.5482202208741975
10.3,4.600000000000002,0.5664908559120538
10.3,4.700000000000003,0.5808452436110214
10.3,4.8000000000000025,0.5918480001536226
10.3,4.900000000000002,0.5998894508223671
10.3,5.000000000000003,0.6051691952812467
10.3,5.100000000000003,0.6077909504918039
10.3,5.200000000000003,0.6077875775905969
10.3,5.3000000000000025,0.6051602321208768
10.3,5.400000000000003,0.5998730441769082
10.3,5.5000000000000036,0.591824513419187
10.3,5.600000000000003,0.5808122699205861
10.3,5.700000000000003,0.5664477028120969
10.3,5.800000000000003,0.5481655807454572
10.3,5.900000000000004,0.5255031058903292
10.3,6.0000000000000036,0.4977461585749298
10.3,6.100000000000003,0.46460818260898695
10.3,6.200000000000004,0.4259915593422215
10.3,6.300000000000004,0.38199690684012083
10.3,6.400000000000004,0.3328962767782532
10.3,6.5000000000000036,0.2791012999277428
10.3,6.600000000000004,0.2217877415066499
10.3,6.700000000000005,0.1630947756905625
10.3,6.800000000000004,0.10665819301001787
10.3,6.900000000000004,0.057370998394340886
10.3,7.000000000000004,0.020572044396770347
10.3,7.100000000000005,0.0015308148301549673
10.3,7.200000000000005,0.00530664678062149
10.3,7.300000000000004,0.03653815942735728
10.3,7.400000000000005,0.0983399899380161
10.3,7.500000000000005,0.19029138929508665
10.3,7.600000000000005,0.3072137438942447
10.3,7.700000000000005,0.4400170720503907
10.3,7.800000000000005,0.5762530705239826
10.3,7.900000000000006,0.7005871530256315
10.3,8.000000000000005,0.794806054552575
10.3,8.100000000000005,0.8408974467427798
10.3,8.200000000000006,0.8245509558503205
10.3,8.300000000000006,0.7379345082449098
10.3,8.400000000000006,0.5828430722114455
10.3,8.500000000000005,0.3786332929863002
10.3,8.600000000000005,0.16976989834886322
10.3,8.700000000000006,0.024530336270622316
10.3,8.800000000000006,0.018953350430042863
10.3,8.900000000000006,0.19686388063476196
10.3,9.000000000000007,0.5264364030974149
10.3,9.100000000000007,0.9000684389683645
10.3,9.200000000000006,1.1769799973726132
10.3,9.300000000000006,1.2242303072435932
10.3,9.400000000000006,0.9595478164038101
10.3,9.500000000000007,0.43103352771520287
10.3,9.600000000000007,0.008920762429902465
10.3,9.700000000000006,0.4168061204936334
10.3,9.800000000000008,1.819704418038639
10.3,9.900000000000007,3.402881613328039
10.3,10.000000000000007,4.392291507199706
10.4,2.0,0.6940290664425204
10.4,2.1,0.5684170965214836
10.4,2.2,0.41440159703956303
10.4,2.3000000000000003,0.26035843578746226
10.4,2.4000000000000004,0.130420242261852
10.4,2.5000000000000004,0.04221087291909063
10.4,2.6000000000000005,0.0026235870124780318
10.4,2.7000000000000006,0.008969244911587942
10.4,2.8000000000000007,0.0523012050915453
10.4,2.900000000000001,0.12130963349627515
10.4,3.000000000000001,0.20441029668448155
10.4,3.100000000000001,0.2911739881657825
10.4,3.200000000000001,0.3734767586157802
10.4,3.300000000000001,0.4465274679659265
10.4,3.4000000000000012,0.507709763428891
10.4,3.5000000000000013,0.5560280606610055
10.4,3.6000000000000014,0.5911802634715053
10.4,3.7000000000000015,0.6136880996548906
10.4,3.8000000000000016,0.625071783639234
10.4,3.9000000000000017,0.6273735895344816
10.4,4.000000000000002,0.6226820705262328
10.4,4.100000000000001,0.6128342326399465
10.4,4.200000000000002,0.5992150840969119
10.4,4.3000000000000025,0.5831501800940027
10.4,4.400000000000002,0.5658539324194154
10.4,4.500000000000002,0.5485020857954396
10.4,4.600000000000002,0.5321011161403989
10.4,4.700000000000003,0.5173303463530711
10.4,4.8000000000000025,0.5047415723524373
10.4,4.900000000000002,0.4945660620612279
10.4,5.000000000000003,0.4870392662847894
10.4,5.100000000000003,0.48248927442547856
10.4,5.200000000000003,0.4808853186974737
10.4,5.3000000000000025,0.4824974674660931
10.4,5.400000000000003,0.48705674832154106
10.4,5.5000000000000036,0.4945919747812264
10.4,5.600000000000003,0.5047757245325463
10.4,5.700000000000003,0.5173708844523809
10.4,5.800000000000003,0.5321486395172899
10.4,5.900000000000004,0.5485538718967018
10.4,6.0000000000000036,0.5659081348214047
10.4,6.100000000000003,0.5832036385828089
10.4,6.200000000000004,0.5992659459393141
10.4,6.300000000000004,0.6128778022741925
10.4,6.400000000000004,0.6227234111177347
10.4,6.5000000000000036,0.6273957328670131
10.4,6.600000000000004,0.6250700699780792
10.4,6.700000000000005,0.6136590467248538
10.4,6.800000000000004,0.5911103366876373
10.4,6.900000000000004,0.555943692419022
10.4,7.000000000000004,0.5075899095324674
10.4,7.100000000000005,0.44633143449515883
10.4,7.200000000000005,0.3732663791604277
10.4,7.300000000000004,0.2909391340394601
10.4,7.400000000000005,0.2041918633692304
10.4,7.500000000000005,0.12108599785545994
10.4,7.600000000000005,0.052114904981043125
10.4,7.700000000000005,0.00889527607835008
10.4,7.800000000000005,0.0026715613581196236
10.4,7.900000000000006,0.04239928342021405
10.4,8.000000000000005,0.13083037432661235
10.4,8.100000000000005,0.26085054742847347
10.4,8.200000000000006,0.4149610408815463
10.4,8.300000000000006,0.5689865721674512
10.4,8.400000000000006,0.6944215941794872
10.4,8.500000000000005,0.7617783471828066
10.4,8.600000000000005,0.7472471891531094
10.4,8.700000000000006,0.6398795074495979
10.4,8.800000000000006,0.44948688837343204
10.4,8.900000000000006,0.2202068043690808
10.4,9.000000000000007,0.0391429537374503
10.4,9.100000000000007,0.015880199462763478
10.4,9.200000000000006,0.2156562727905362
10.4,9.300000000000006,0.5845153792073994
10.4,9.400000000000006,0.9534936677712186
10.4,9.500000000000007,1.1216020588958904
10.4,9.600000000000007,0.9371608467673077
10.4,9.700000000000006,0.4144974180937797
10.4,9.800000000000008,0.0010248731129314276
10.4,9.900000000000007,0.5987215491064994
10.4,10.000000000000007,2.1940350532675543
10.5,2.0,0.14594783290298358
10.5,2.1,0.03879096960283033
10.5,2.2,0.00011892886459467004
10.5,2.3000000000000003,0.026916944501913752
10.5,2.4000000000000004,0.10248450924512384
10.5,2.5000000000000004,0.20489661754187385
10.5,2.6000000000000005,0.31301363827913464
10.5,2.7000000000000006,0.41025823536823636
10.5,2.8000000000000007,0.4868079179025587
10.5,2.900000000000001,0.5385296499162155
10.5,3.000000000000001,0.5648092812796682
10.5,3.100000000000001,0.5672891867743699
10.5,3.200000000000001,0.5493950444327763
10.5,3.300000000000001,0.515723254657305
10.5,3.4000000000000012,0.47085877178134566
10.5,3.5000000000000013,0.41880935594765445
10.5,3.6000000000000014,0.3630376055715233
10.5,3.7000000000000015,0.30700257851006574
10.5,3.8000000000000016,0.25364651262038124
10.5,3.9000000000000017,0.20529567094174944
10.5,4.000000000000002,0.16318683091573247
10.5,4.100000000000001,0.12744077873861806
10.5,4.200000000000002,0.09761060880918593
10.5,4.3000000000000025,0.07309359846791068
10.5,4.400000000000002,0.05343373059160711
10.5,4.500000000000002,0.0381513417203894
10.5,4.600000000000002,0.026697625675296238
10.5,4.700000000000003,0.018515205487470265
10.5,4.8000000000000025,0.01286976556353778
10.5,4.900000000000002,0.009142343723905157
10.5,5.000000000000003,0.006788878727525751
10.5,5.100000000000003,0.005439386241809469
10.5,5.200000000000003,0.004824834023346084
10.5,5.3000000000000025,0.004825466366744164
10.5,5.400000000000003,0.005441699065972069
10.5,5.5000000000000036,0.006793165847406535
10.5,5.600000000000003,0.009149416719441193
10.5,5.700000000000003,0.01288063354755285
10.5,5.800000000000003,0.018531015217191797
10.5,5.900000000000004,0.026720023567207173
10.5,6.0000000000000036,0.03818218807732011
10.5,6.100000000000003,0.05347469024751603
10.5,6.200000000000004,0.07314700783290314
10.5,6.300000000000004,0.09767754128498865
10.5,6.400000000000004,0.1275224790498325
10.5,6.5000000000000036,0.16330634956620377
10.5,6.600000000000004,0.2054328142511874
10.5,6.700000000000005,0.253774152531278
10.5,6.800000000000004,0.3071418591374614
10.5,6.900000000000004,0.36320639117471665
10.5,7.000000000000004,0.4189336026286836
10.5,7.100000000000005,0.4709765602575711
10.5,7.200000000000005,0.5158559137721576
10.5,7.300000000000004,0.5494814676137083
