unloaded_cells_each_side,loaded_cells,supercells,pump_GHz,Idc_A,Ip0_A,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite
13,3,1407,12.85,0.00019999999999999998,0.00017999999999999998,"[4.0, 8.0]",0.7778205957895699,7.2499999999999885,0.6262091072081639,0.7496381437267978,0.7773182619334035,0.2345673383268607,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,12.86,0.00019999999999999998,0.00017999999999999998,"[4.0, 8.0]",0.7650512420676986,7.649999999999987,0.6283711715569187,0.6844172662166046,0.7501449394691768,0.18248346700352713,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,12.87,0.00019999999999999998,0.00017999999999999998,"[4.0, 8.0]",0.7519289041101453,7.949999999999986,0.5720752390076302,0.5752900049495704,0.6364787782519856,0.14167212908347998,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,12.879999999999999,0.00019999999999999998,0.00017999999999999998,"[4.0, 8.0]",0.7378897976225682,4.6999999999999975,0.4656416537807958,0.4500023253811849,0.4889871095363531,0.16706850533315715,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,12.889999999999999,0.00019999999999999998,0.00017999999999999998,"[4.0, 8.0]",0.7249732823275896,4.449999999999998,0.34098438876598464,0.28484533175203824,0.6363058445028568,0.21692946097485508,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,12.899999999999999,0.00019999999999999998,0.00017999999999999998,"[4.0, 8.0]",0.7129618065563713,4.299999999999999,0.23002779532348402,0.11885955387375688,0.7059781217063938,0.24089475587697518,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,12.909999999999998,0.00019999999999999998,0.00017999999999999998,"[4.0, 8.0]",0.6995468619395779,4.1,0.15466021943545652,0.019452076875699147,0.6995130456236149,0.22535603632925943,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,12.919999999999998,0.00019999999999999998,0.00017999999999999998,"[4.0, 8.0]",0.6817846159434635,4.0,0.13688096749834158,0.08383494034034641,0.6817770721131354,0.17493763056740205,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,12.929999999999998,0.00019999999999999998,0.00017999999999999998,"[4.0, 8.0]",0.5865885217883122,4.0,0.1899729682583675,0.19174987221391326,0.5865659445798919,0.13687195191826546,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,12.939999999999998,0.00019999999999999998,0.00017999999999999998,"[4.0, 8.0]",0.4901818165554594,6.449999999999991,0.2881844494448251,0.31610200733499483,0.49018170343916917,0.16394869496774395,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,12.949999999999998,0.00019999999999999998,0.00017999999999999998,"[4.0, 8.0]",0.5940792064137097,6.499999999999991,0.3870796098287186,0.4566949676795662,0.5935413567667736,0.20037067955853766,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,12.959999999999997,0.00019999999999999998,0.00017999999999999998,"[4.0, 8.0]",0.6129477347715226,6.0999999999999925,0.46021917433662457,0.5715503628141447,0.612536994562966,0.20559703318744318,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,12.969999999999997,0.00019999999999999998,0.00017999999999999998,"[4.0, 8.0]",0.5999595023249573,5.399999999999995,0.48442511119620957,0.5480765761781017,0.5994545907779185,0.16861143043484872,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
