pump_GHz,mean_abs_mismatch_rad_per_mm,minimum_mismatch_rad_per_mm,maximum_mismatch_rad_per_mm,peak_to_peak_mismatch_rad_per_mm
11.0,0.20247191715974264,0.17697917399006613,0.21126064416916535,0.034281470179099216
11.02,0.20524981560488556,0.1799228088018836,0.21400005245916276,0.034077243657279155
11.04,0.20802771405002787,0.18286644361370108,0.21673946074916373,0.033873017135462646
11.059999999999999,0.21080316284774195,0.18581007842551855,0.21947886903916114,0.033668790613642585
11.079999999999998,0.2135761619980269,0.18875371323733603,0.22221827732915855,0.033464564091822524
11.099999999999998,0.21634916114831165,0.1916973480491535,0.22495768561915597,0.03326033757000246
11.119999999999997,0.21966892277585442,0.19518709821921654,0.22824894406702256,0.033061845847806026
11.139999999999997,0.22298868440339698,0.19867684838927957,0.2315402025148927,0.03286335412561314
11.159999999999997,0.22630593759062456,0.2021665985593355,0.2348314609627522,0.032664862403416706
11.179999999999996,0.22962068233755067,0.20565634872939853,0.2381227194106188,0.03246637068122027
11.199999999999996,0.2329354270844773,0.20914609889946156,0.2414139778584854,0.03226787895902383
11.219999999999995,0.23704451545241836,0.21342948491948732,0.2454938026928417,0.03206431777335439
11.239999999999995,0.24115360382035983,0.21771287093951308,0.24957362752719803,0.031860756587684946
11.259999999999994,0.24526012378944856,0.22199625695954595,0.25365345236156145,0.0316571954020155
11.279999999999994,0.24936407535967037,0.2262796429795717,0.25773327719591776,0.03145363421634606
11.299999999999994,0.2534680269298929,0.23056302899959746,0.2618131020302741,0.03125007303067662
11.319999999999993,0.2588222806506018,0.23609591501385552,0.26714856339567916,0.031052648381823644
11.339999999999993,0.2641765343713179,0.24162880102812245,0.27248402476109135,0.030855223732968895
11.359999999999992,0.26952815878160974,0.2471616870423894,0.27781948612650353,0.030657799084114146
11.379999999999992,0.27487715388147027,0.2526945730566492,0.2831549474919086,0.030460374435259396
11.399999999999991,0.2802261489813383,0.25822745907091615,0.2884904088573208,0.030262949786404647
11.419999999999991,0.287702714109127,0.26588706071911616,0.29594766812443396,0.030060607405317796
11.43999999999999,0.29517927923690873,0.27354666236730907,0.30340492739153646,0.029858265024227393
11.45999999999999,0.30265315277748855,0.28120626401551085,0.3108621866586496,0.029655922643138766
11.47999999999999,0.3101243347308594,0.28886586566371086,0.3183194459257628,0.029453580262051915
11.49999999999999,0.31759551668423025,0.2965254673119109,0.32577670519287594,0.029251237880965064
11.519999999999989,0.32933905444565775,0.30845648968192485,0.3375119111177831,0.029055421435858264
11.539999999999988,0.3410825922070926,0.32038751205194416,0.34924711704269384,0.028859604990749688
11.559999999999988,0.3528233748272141,0.33231853442196346,0.3609823229676081,0.028663788545644664
11.579999999999988,0.36456140230602235,0.34424955679198455,0.3727175288925224,0.028467972100537864
11.599999999999987,0.3762994297848309,0.35618057916200385,0.3844527348174367,0.02827215565543284
11.619999999999987,0.39962931550292113,0.37970247337980645,0.4077740521821731,0.02807157880236666
11.639999999999986,0.42295920122101144,0.40322436759760905,0.4310953695469131,0.02787100194930403
11.659999999999986,0.44628626662421783,0.4267462618154134,0.4544166869116495,0.027670425096236073
11.679999999999986,0.46961051171254753,0.4502681560332231,0.47773800427639657,0.027469848243173445
11.699999999999985,0.4929347568008699,0.4737900502510257,0.5010593216411365,0.027269271390110816
11.719999999999985,0.5669562909706486,0.5480081727193227,0.5750837875759736,0.027075614856650887
11.739999999999984,0.640977825140456,0.622226295187648,0.6491082535108426,0.02688195832319451
11.759999999999984,0.7149964722839707,0.6964444176559805,0.7231327194457151,0.02668830178973458
11.779999999999983,0.7890122324011786,0.7706625401243077,0.7971571853805841,0.026494645256276428
11.799999999999983,0.8630279925183937,0.8448806625926402,0.8711816513154602,0.02630098872282005
