signal_GHz,candidate_1_gain_dB,candidate_2_gain_dB,candidate_3_gain_dB,candidate_4_gain_dB,candidate_5_gain_dB,candidate_6_gain_dB,candidate_7_gain_dB,candidate_8_gain_dB,candidate_9_gain_dB,candidate_10_gain_dB,candidate_11_gain_dB,candidate_12_gain_dB,candidate_13_gain_dB,candidate_14_gain_dB,candidate_15_gain_dB,candidate_16_gain_dB
4.0,33.02918808224917,32.58642994083275,22.286936614772685,24.418706410639757,33.680033578972484,29.477879084021872,31.23876932001059,33.839658250284415,31.030638902378257,29.75392492983189,22.80464073381298,27.15621976111833,34.818818319076186,32.88061175474207,35.7486115101988,32.82658094180269
4.05,33.2107874243483,32.694981641292294,22.396026301758283,24.540238829096953,33.82299710546837,29.63372308974421,31.285003305950625,33.99743309458677,31.343794540311155,29.780592473188733,22.948270729704383,27.240104856025592,34.94862188030562,33.09763259227696,36.16947046414124,33.196220292158856
4.1,33.920565058960236,33.34831008050264,23.027406287027915,25.19508671453151,34.520290890919554,29.78849342597183,31.86824701067081,34.710845522219685,32.19127777003944,29.777569931196652,23.630954371536383,27.31693238613614,35.63454264774113,33.87149697942898,37.07289597707516,34.0947688424916
4.1499999999999995,33.80276274977555,33.15614998667233,22.845377091570846,25.025484556608546,34.35820197124289,29.93697432671481,31.61491117885056,34.55981156118848,32.18750271573518,29.783871243590742,23.464298184652254,27.388929915783375,35.4377509572366,33.79568964080694,37.072990601237954,34.12688498915311
4.199999999999999,33.24443804070953,32.51855647639168,22.231264303192834,24.41258543820572,33.74539771137008,30.084411461949692,30.9173804897502,33.95520076731091,31.73815165260961,29.76494843472249,22.836539322388386,27.44750076629433,34.77782583390597,33.255307568986254,36.55319740365154,33.697474295182865
4.249999999999999,33.50476937524157,32.71275689776252,22.459349058862422,24.634661232517935,33.97364000578789,30.20226904857442,31.05036993151736,34.1944036905958,32.09965388481648,29.80382011443975,23.067933703950537,27.497869518785993,34.97685154313449,33.54376136576208,36.812180748114166,34.07788759039719
4.299999999999999,34.176258865253864,33.335048372581994,23.101939958628233,25.269492153686798,34.63894490783303,30.317280145430313,31.603825805136452,34.874890685229175,32.88618693763703,29.820046472472498,23.716026631504576,27.53154854991415,35.62595234714313,34.251750452830294,37.47954785101126,34.874292997724524
4.349999999999999,33.95095633602263,33.04614372288555,22.865340030516833,25.00813860326245,34.379425503043336,30.4302165494447,31.25599622728055,34.62523743336948,32.756505190716,29.851889374012007,23.450261089155006,27.546142736135675,35.33624592268308,34.02897451388523,37.22102548883591,34.74652492885096
4.399999999999999,33.408884886554304,32.44059871838261,22.31460296637828,24.423335742766092,33.800454092015435,30.53757807721535,30.590340210914604,34.05724390063449,32.30929214409218,29.857580081093165,22.85533129350028,27.5460725227838,34.72697126446703,33.477313299643804,36.65897951408733,34.29357433465225
4.449999999999998,33.71911497533576,32.69931205532575,22.627007160802478,24.699739237783408,34.09854804983509,30.62432507229747,30.785686506629478,34.371572396833,32.71098147331529,29.915697269556865,23.154398019827433,27.54231787561874,35.01922570538127,33.776714948671255,36.98181804700794,34.695122404141664
4.499999999999998,34.34146736329714,33.27980662073902,23.236850495466786,25.28114442066999,34.72762788351437,30.702434463477278,31.2959983478709,35.02057321379632,33.43451212880979,29.941302033541163,23.76508508065836,27.546406360324113,35.652213211930714,34.38620388197155,37.644841181219086,35.41815001981319
4.549999999999998,34.03633226104177,32.91477428932903,22.91755560518714,24.93119133418263,34.39584770886683,30.772254353183257,30.871426354487053,34.70207895126961,33.20572498161919,29.966145828783894,23.43099266791965,27.59546593470772,35.30533594618684,34.013611590970704,37.343968370864594,35.178419364598966
4.599999999999998,33.5269816599476,32.34666812026223,22.381524135557274,24.374527159044707,33.86075229334348,30.83212847268706,30.242064638460388,34.17920843850708,32.773870653451425,29.954916545573077,22.88310713265604,27.738109331495842,34.75070201911483,33.42764700792084,36.83010910802774,34.72434335278188
4.649999999999998,33.88333267404005,32.65824217527552,22.71501312054443,24.709551095579855,34.21885056568172,30.87653922140868,30.48713695890035,34.55515679888337,33.212166202633824,29.981386226994115,23.24740942354335,28.038579604666694,35.10999102216097,33.7036384738666,37.19318161667816,35.14126269430299
4.6999999999999975,34.449835634333155,33.19947495566355,23.25187650325155,25.284959985902514,34.81431402906479,30.914653271414654,30.955932151445676,35.170323186971075,33.88159968663746,29.974999221673734,23.831816050560594,28.44684233594296,35.71181385434601,34.21017896092041,37.77195658984728,35.77809530560125
4.749999999999997,34.04389184324559,32.78186727220833,22.845519604818428,24.948803685242467,34.43401541608348,30.94924737341526,30.47708049366595,34.801564221906176,33.58190581977396,29.961545713050914,23.459174820554374,28.802189838839666,35.319076436180985,33.72016499436049,37.3325715518824,35.41742131675904
