"Freq [GHz]","dB(S(Port1,Port1)) []","dB(S(Port2,Port1)) []","ang_deg(S(Port2,Port1)) [deg]"
0.2,-32.5123759346532,-0.00243595078469036,-0.0188081231506306
0.696666666666667,-32.5033492894267,-0.00244102050548058,-0.0655121054173454
1.19333333333333,-32.4843838859317,-0.0024517066343853,-0.112217034206165
1.69,-32.4556097262093,-0.00246800896700363,-0.15892155925843
2.18666666666667,-32.4172211595488,-0.00248992740814479,-0.205625939463635
2.68333333333333,-32.3694723935363,-0.00251746208801718,-0.252330202138021
3.18,-32.3126731974278,-0.00255061268914984,-0.299034008052399
3.67666666666667,-32.2470895570656,-0.00258943384937499,-0.345737421894092
4.17333333333333,-32.1734981165326,-0.00263369923717706,-0.392440665275956
4.67,-32.0917853348612,-0.00268373702483718,-0.439143157116871
5.16666666666667,-32.0026713872948,-0.00273939169613073,-0.485845278479591
5.66333333333333,-31.906743629647,-0.00280059281608774,-0.532546424920716
6.16,-31.8043538339857,-0.00286742647873553,-0.579247228245086
6.65666666666667,-31.6959968711648,-0.00293989358489643,-0.625947286252396
7.15333333333333,-31.5822043994654,-0.00301796890680379,-0.672646493192903
7.65,-31.4634497928604,-0.00310166154677027,-0.719344854125573
8.14666666666667,-31.3402240334959,-0.00319096063221727,-0.766042348456494
8.64333333333333,-31.2129822063099,-0.00328586997359499,-0.812738756996234
9.14,-31.0821505882727,-0.00338640238698407,-0.859434312529725
9.63666666666667,-30.9481825308658,-0.00349253424559517,-0.906128811774006
10.1333333333333,-30.8114438060449,-0.00360429336944612,-0.952822099274376
10.63,-30.6723430554088,-0.00372165469104309,-0.999514157547543
11.1266666666667,-30.5312146419871,-0.00384463455189087,-1.04620505833476
11.6233333333333,-30.3884095607237,-0.00397321440000231,-1.09289460334718
12.12,-30.2442096528674,-0.00410741609559866,-1.13958283607084
12.6166666666667,-30.0989168788514,-0.00424722205173618,-1.1862695945245
13.1133333333333,-29.9527813940099,-0.00439264175456592,-1.23295490900854
13.61,-29.8060505486868,-0.0045436662153329,-1.27963862492052
14.1066666666667,-29.6589375306896,-0.00470029971909069,-1.32632076130832
14.6033333333333,-29.5116418988267,-0.00486254043480555,-1.37300126319149
15.1,-29.3643427467389,-0.0050303885532022,-1.41968004078782
15.5966666666667,-29.2171983674351,-0.00520384845891634,-1.46635703202556
16.0933333333333,-29.0703646127933,-0.00538290812809351,-1.51303221220467
16.59,-28.923966063138,-0.00556757471690843,-1.55970543755405
17.0866666666667,-28.7781232767627,-0.00575784333481119,-1.60637677232485
17.5833333333333,-28.6329356801137,-0.00595371985057295,-1.65304612206151
18.08,-28.4884996948361,-0.00615519853215737,-1.69971335096033
18.5766666666667,-28.3448956185911,-0.0063622806799769,-1.74637853634337
19.0733333333333,-28.2021980629955,-0.00657496146154225,-1.7930414507921
19.57,-28.0604675532837,-0.0067932433741443,-1.83970220418296
20.0666666666667,-27.9197578152049,-0.00701712703521412,-1.88636062590042
20.5633333333333,-27.780118107325,-0.00724660819165772,-1.93301664675151
21.06,-27.6415872529229,-0.00748168840231846,-1.9796703696732
21.5566666666667,-27.5042007426912,-0.00772236452355871,-2.0263215246528
22.0533333333333,-27.3679863578474,-0.00796863705214919,-2.0729701769306
22.55,-27.2329660894514,-0.00822050812506495,-2.11961631836073
23.0466666666667,-27.099161946947,-0.00847797138149363,-2.16625971469622
23.5433333333333,-26.96658864477,-0.00874102625749977,-2.21290039559158
24.04,-26.8352558133536,-0.00900967521990441,-2.25953831946219
24.5366666666667,-26.7051713200528,-0.00928391792720091,-2.30617350349582
25.0333333333333,-26.576342418707,-0.00956374899044337,-2.35280581358017
25.53,-26.4487695074009,-0.0098491720980775,-2.39943511819985
26.0266666666667,-26.3224555554101,-0.01014018004231,-2.44606147691652
26.5233333333333,-26.197396222588,-0.0104367774639527,-2.49268478150231
27.02,-26.073588641794,-0.0107389614789566,-2.53930495847607
27.5166666666667,-25.9510284662263,-0.0110467285947843,-2.58592198180998
28.0133333333333,-25.8297078595889,-0.0113600804125937,-2.63253580487259
28.51,-25.7096190171948,-0.0116790153565699,-2.6791463152801
29.0066666666667,-25.5907530352291,-0.0120035317663977,-2.72575354140988
29.5033333333333,-25.4731002148094,-0.0123336274293517,-2.77235728867132
30,-25.3566486605853,-0.0126693039789334,-2.81895762412473
