"Freq [GHz]","dB(S(Port2,Port1)) []","dB(S(Port1,Port1)) []","ang_deg(S(Port2,Port1)) [deg]"
0.2,-2.19679274422134E-05,-52.9599632516116,-0.0587154295880777
0.696666666666667,-2.73936876456737E-05,-52.0013514916576,-0.204525243910868
1.19333333333333,-3.88296124162057E-05,-50.4862322083469,-0.350334581600174
1.69,-5.62724587883987E-05,-48.8749122996056,-0.496143911358066
2.18666666666667,-7.97162161305461E-05,-47.3624161917715,-0.641952876892506
2.68333333333333,-0.000109159018734249,-45.997301564742,-0.787761679659879
3.18,-0.000144595670203639,-44.7763625988465,-0.933569892457876
3.67666666666667,-0.000186017253685212,-43.682403835185,-1.07937721226279
4.17333333333333,-0.000233417940997609,-42.6966174879548,-1.22518347805997
4.67,-0.000286789864340895,-41.8023485726098,-1.37098889795436
5.16666666666667,-0.000346129972377612,-40.9856240936309,-1.51679278894771
5.66333333333333,-0.000411426520104001,-40.2351259893492,-1.66259529324627
6.16,-0.000482662460984263,-39.5416492045628,-1.80839613755571
6.65666666666667,-0.000559819137214358,-38.8976456199361,-1.95419556920036
7.15333333333333,-0.000642883151543954,-38.2968441341583,-2.09999322583
7.65,-0.000731812336648956,-37.7342117660215,-2.24578826575687
8.14666666666667,-0.000826588311638552,-37.2053637997216,-2.39158043007161
8.64333333333333,-0.000927216151406273,-36.7064968440298,-2.53737040610235
9.14,-0.00103366985240451,-36.2345414306803,-2.6831577438107
9.63666666666667,-0.00114593372814144,-35.7868210467197,-2.82894270401856
10.1333333333333,-0.00126400635624795,-35.3609825250392,-2.97472299489216
10.63,-0.00138784468019914,-34.9551283704129,-3.12049963713776
11.1266666666667,-0.00151741853061302,-34.5675479622895,-3.26627298866807
11.6233333333333,-0.00165270204033257,-34.1967237960982,-3.41204301185569
12.12,-0.00179366558177231,-33.841325177782,-3.55780954438856
12.6166666666667,-0.0019402383140262,-33.5002624357289,-3.7035708458866
13.1133333333333,-0.00209238321067888,-33.1724769996955,-3.84932651968932
13.61,-0.00225011133529449,-32.8569280441186,-3.99507810093008
14.1066666666667,-0.00241338977545317,-32.5527750627069,-4.14082533548138
14.6033333333333,-0.00258218569421421,-32.259259435038,-4.28656823696719
15.1,-0.00275646379613911,-31.9756983449395,-4.43230672844683
15.5966666666667,-0.00293618931869249,-31.7014705803174,-4.57803994852093
16.0933333333333,-0.00312132428663914,-31.4360147659908,-4.72376445121114
16.59,-0.00331182402684287,-31.1788263916597,-4.86948384802443
17.0866666666667,-0.0035076479477372,-30.9294368381642,-5.01519813501666
17.5833333333333,-0.00370875655437851,-30.6874140863824,-5.16090723718987
18.08,-0.00391510808682974,-30.4523629571727,-5.30661112191011
18.5766666666667,-0.00412666005288743,-30.2239193465513,-5.45230981799969
19.0733333333333,-0.0043433683081686,-30.0017480346933,-5.59800326339575
19.57,-0.00456518942192993,-29.7855374855609,-5.74369136710754
20.0666666666667,-0.00479207720565932,-29.5750008677392,-5.88937422526073
20.5633333333333,-0.00502398530020065,-29.3698712631123,-6.03505180508121
21.06,-0.00526086673207007,-29.1699002805589,-6.18072410452758
21.5566666666667,-0.00550267263739714,-28.9748573927967,-6.32639117190616
22.0533333333333,-0.00574935447236724,-28.7845266172093,-6.47205302316257
22.55,-0.00600086199412856,-28.5987068086278,-6.61770974137618
23.0466666666667,-0.00625714383129451,-28.4172099272866,-6.76336130788006
23.5433333333333,-0.00651814863552391,-28.2398591859956,-6.90900785161967
24.04,-0.00678382349523379,-28.0664891843447,-7.05464941646094
24.5366666666667,-0.00705411543600768,-27.896944070918,-7.20028612451725
25.0333333333333,-0.0073289699555426,-27.7310776662252,-7.34591802422423
25.53,-0.00760833221072606,-27.5687520480242,-7.49154527027832
26.0266666666667,-0.0078921461481183,-27.4098373982005,-7.63716795179918
26.5233333333333,-0.00818035531809541,-27.2542109693944,-7.78278619824073
27.02,-0.00847290317225015,-27.1017564410724,-7.92840020093636
27.5166666666667,-0.00876973026089458,-26.9523648833684,-8.07401005559855
28.0133333333333,-0.00907077891070005,-26.8059318983775,-8.21961593299302
28.51,-0.0093759892773514,-26.6623592435986,-8.365218041213
29.0066666666667,-0.00968530183632218,-26.5215532647761,-8.5108165734339
29.5033333333333,-0.00999865555562698,-26.3834254063268,-8.65641170133004
30,-0.0103159887148166,-26.2478915014293,-8.80200365522014
