cell_type,stub_length_um,L_pH,C_fF,Lf_pH,loss_tangent,Z0_ohm,fit_s21_rmse_db,fit_phase_rmse_deg,source
unloaded,12.0,55.293422258173955,29.780743113650452,123.846759188166,0.0,43.08925347829123,0.0005798699397446769,0.00535704728634735,HFSS
loaded,3.9,54.102868806472884,10.978262398510854,49.277609882912536,0.0,70.20100727735449,1.5266710872876778e-05,0.002501306531699172,HFSS
