"Freq [GHz]","dB(S(Port1,Port1)) []","dB(S(Port2,Port1)) []","ang_deg(S(Port2,Port1)) [deg]"
0.2,-38.429379943503,-0.000623558917629179,-0.0934114945755756
0.696666666666667,-38.4100612676757,-0.000626339065799611,-0.325389166013189
1.19333333333333,-38.3694919064958,-0.000632217814517391,-0.557387253240454
1.69,-38.3081386976748,-0.000641213274355874,-0.789420612091577
2.18666666666667,-38.226910394302,-0.000653319977631731,-1.02150403340304
2.68333333333333,-38.1274918009389,-0.000668449426861157,-1.25365223533263
3.18,-38.0102197589469,-0.000686746844439863,-1.4858801026237
3.67666666666667,-37.8756972930797,-0.000708353422195747,-1.71820250534285
4.17333333333333,-37.7259548174308,-0.000733205119596495,-1.95063425235385
4.67,-37.5619399032612,-0.000761427211642094,-2.18319038883826
5.16666666666667,-37.3856589229217,-0.000792972392360282,-2.41588563498172
5.66333333333333,-37.198237870585,-0.000827945821335538,-2.64873515366218
6.16,-37.0010389422973,-0.000866410559593639,-2.88175402853695
6.65666666666667,-36.7952205490646,-0.000908463913556096,-3.11495747627588
7.15333333333333,-36.5819755823791,-0.000954189127571964,-3.34836085175705
7.65,-36.3624579751648,-0.00100366480242846,-3.5819793334841
8.14666666666667,-36.1380923118103,-0.00105688546326326,-3.81582910385821
8.64333333333333,-35.9097837503029,-0.00111393957664349,-4.04992625431369
9.14,-35.6778790809264,-0.00117504677099853,-4.28428572508208
9.63666666666667,-35.4430177111416,-0.0012403508735031,-4.51892313853664
10.1333333333333,-35.205825168965,-0.00130998792657203,-4.75385467982184
10.63,-34.9668804022763,-0.00138409364432788,-4.98909631809337
11.1266666666667,-34.7266932440847,-0.00146281069085463,-5.2246643376468
11.6233333333333,-34.4856503983571,-0.00154631006928465,-5.46057509091484
12.12,-34.2441218421222,-0.00163475947102139,-5.69684521357199
12.6166666666667,-34.0019972191313,-0.00172850648245006,-5.93349259244722
13.1133333333333,-33.7600967074503,-0.00182753631276457,-6.17053694143507
13.61,-33.5186264186864,-0.00193204959062756,-6.40799263922763
14.1066666666667,-33.2776529129733,-0.00204230749803117,-6.64587640548029
14.6033333333333,-33.0373366953785,-0.00215853236046508,-6.88420578551861
15.1,-32.7977985572061,-0.00228096435013619,-7.1229985387126
15.5966666666667,-32.5591627124979,-0.00240984176494063,-7.36227260093531
16.0933333333333,-32.321500664828,-0.00254543206210514,-7.60204617802869
16.59,-32.0848861130906,-0.002688005131131,-7.84233774353248
17.0866666666667,-31.8493682632444,-0.00283784956116572,-8.08316604198356
17.5833333333333,-31.6149999445484,-0.00299525686098936,-8.32454988857315
18.08,-31.3818011548274,-0.00316054670734935,-8.56650861935793
18.5766666666667,-31.1497880325488,-0.00333405069919244,-8.80906173309036
19.0733333333333,-30.9189768434117,-0.00351610972782726,-9.05222902971036
19.57,-30.6893722026744,-0.00370708404355366,-9.29603059203722
20.0666666666667,-30.4609640940707,-0.00390735846110134,-9.54048693633102
20.5633333333333,-30.2331719072061,-0.00411787347308553,-9.78562456651921
21.06,-30.0064226455441,-0.00433869341994223,-10.0314610661341
21.5566666666667,-29.7808785282835,-0.00457009200106148,-10.2780162564976
22.0533333333333,-29.5565169296217,-0.00481252748181253,-10.5253120418888
22.55,-29.3333170646673,-0.00506647500335297,-10.7733705856454
23.0466666666667,-29.1112535299914,-0.00533243478835154,-11.02221457764
23.5433333333333,-28.8903021716794,-0.00561092689322605,-11.2718670003262
24.04,-28.6704368627515,-0.00590249620415548,-11.5223513195844
24.5366666666667,-28.4516319462604,-0.00620771064772122,-11.7736913973562
25.0333333333333,-28.2338588471614,-0.00652716729392857,-12.0259115697663
25.53,-28.0170910491097,-0.00686148685510857,-12.279036655087
26.0266666666667,-27.8013002956197,-0.00721132050269977,-12.5330919233851
26.5233333333333,-27.58645970542,-0.00757734659627246,-12.7881031384638
27.02,-27.3725405309229,-0.00796027756772242,-13.0440966299569
27.5166666666667,-27.1595176853082,-0.0083608516637416,-13.3010991898548
28.0133333333333,-26.9473634495976,-0.00877984572117949,-13.5591381773405
28.51,-26.7360521595682,-0.00921806820894588,-13.8182415440131
29.0066666666667,-26.5255558957195,-0.00967636964648192,-14.0784378777998
29.5033333333333,-26.3158512363624,-0.0101556300112254,-14.3397562147604
30,-26.1069134402183,-0.0106567725612573,-14.6022263527395
