"Freq [GHz]","dB(S(Port1,Port1)) []","dB(S(Port2,Port1)) []","ang_deg(S(Port2,Port1)) [deg]"
0.2,-38.6980064439316,-0.000586155675388288,-0.0514967640753696
0.696666666666667,-38.4205021945779,-0.000624834978086131,-0.179371923995318
1.19333333333333,-37.8879186999696,-0.000706362701676471,-0.307247244243281
1.69,-37.1836264181376,-0.000830736333946796,-0.435119690424122
2.18666666666667,-36.3872419628184,-0.000997952824535764,-0.562988319114726
2.68333333333333,-35.5577538580446,-0.00120800664823162,-0.690851315039662
3.18,-34.7323924754466,-0.00146089198471519,-0.818707656468175
3.67666666666667,-33.9320066964714,-0.00175659429694348,-0.946556296931033
4.17333333333333,-33.166867882686,-0.0020950880186109,-1.07439662201947
4.67,-32.4407899500604,-0.00247644754160812,-1.20222560117756
5.16666666666667,-31.7544743412976,-0.00290056029084224,-1.33004340802068
5.66333333333333,-31.1064346256496,-0.00336751247677141,-1.45784857553354
6.16,-30.4946248647769,-0.00387717737043727,-1.58563995783063
6.65666666666667,-29.9163901049501,-0.00442962297577185,-1.71341618437298
7.15333333333333,-29.3691664989977,-0.00502480112039609,-1.84117614034776
7.65,-28.8504426206042,-0.00566269477330462,-1.96891844172669
8.14666666666667,-28.3578618404082,-0.00634330003291116,-2.09664208685406
8.64333333333333,-27.8892709547237,-0.0070665998183565,-2.22434546739604
9.14,-27.4427258377867,-0.00783255217033366,-2.3520281998256
9.63666666666667,-27.0164467459664,-0.00864115156412193,-2.47968839512112
10.1333333333333,-26.6088401324984,-0.00949237376362222,-2.60732491025116
10.63,-26.2184711915967,-0.0103861932333264,-2.73493665847348
11.1266666666667,-25.844050820624,-0.0113225757541544,-2.86252252158351
11.6233333333333,-25.4844084213306,-0.0123015093047522,-2.99008098285008
12.12,-25.1384974185488,-0.0133229545664586,-3.11761117069835
12.6166666666667,-24.8053633722778,-0.0143868965343259,-3.2451117012301
13.1133333333333,-24.4841510426294,-0.0154932896875557,-3.37258153088726
13.61,-24.1740773869735,-0.0166421109263436,-3.50001927125803
14.1066666666667,-23.8744333129711,-0.0178333256901938,-3.62742383333849
14.6033333333333,-23.5845718792081,-0.0190669013532656,-3.75479408130739
15.1,-23.3039028122694,-0.0203428020510731,-3.88212864810802
15.5966666666667,-23.0318852779119,-0.0216609940497864,-4.00942654481423
16.0933333333333,-22.7680245925937,-0.0230214362867124,-4.13668640170823
16.59,-22.5118643864297,-0.0244240963849842,-4.26390715276243
17.0866666666667,-22.2629863959923,-0.0258689306284594,-4.39108770469608
17.5833333333333,-22.0210043918677,-0.0273558963130386,-4.51822667802447
18.08,-21.7855600253945,-0.0288849590538113,-4.64532298311573
18.5766666666667,-21.5563238858053,-0.0304560681921741,-4.77237556229944
19.0733333333333,-21.3329887647564,-0.0320691838432835,-4.89938302106642
19.57,-21.1152701980445,-0.0337242587887815,-5.02634429006229
20.0666666666667,-20.9029032524325,-0.0354212468583364,-5.15325825452684
20.5633333333333,-20.6956406436804,-0.0371601045607397,-5.28012362892007
21.06,-20.4932528531418,-0.0389407767379536,-5.40693940893133
21.5566666666667,-20.2955240045263,-0.0407632195131117,-5.5337043208099
22.0533333333333,-20.1022531459362,-0.0426273782122909,-5.6604171958307
22.55,-19.9132512392247,-0.0445332042810888,-5.78707711304967
23.0466666666667,-19.7283415606671,-0.0464806416331521,-5.91368253326401
23.5433333333333,-19.5473575713887,-0.0484696386676713,-6.04023255595177
24.04,-19.3701431368819,-0.0505001371652548,-6.16672597876867
24.5366666666667,-19.1965508989104,-0.0525720816648966,-6.29316169268226
25.0333333333333,-19.0264418112524,-0.0546854174777707,-6.41953864390065
25.53,-18.8596851708907,-0.0568400823779868,-6.54585542788957
26.0266666666667,-18.6961570282371,-0.0590360192464077,-6.67211120867168
26.5233333333333,-18.5357404179783,-0.06127316667913,-6.79830465540182
27.02,-18.3783245641484,-0.0635514630609209,-6.92443474391209
27.5166666666667,-18.2238045965941,-0.0658708444471935,-7.05050030225301
28.0133333333333,-18.0720808022188,-0.0682312499048254,-7.17650029563565
28.51,-17.923058896873,-0.0706326118299145,-7.30243352767162
29.0066666666667,-17.7766491764219,-0.0730748636466739,-7.42829893077176
29.5033333333333,-17.6327661274379,-0.0755579416533017,-7.5540953360786
30,-17.4913286237422,-0.0780817769936713,-7.67982175729416
