frequency_GHz,S21_db,k_star
0.2,-0.017971214182192424,-1.1022745660946295e-07
0.202,-0.09030307595087653,-9.250977117804753e-08
0.204,-0.12302083513765805,-1.6882626007217816e-07
0.20600000000000002,-0.07075163899688493,-2.2769651795572117e-07
0.20800000000000002,-0.006097325160209733,-1.816954343164198e-07
0.21000000000000002,-0.019708717590983905,-8.96158615348435e-08
0.21200000000000002,-0.0924227083945012,-7.535720661369584e-08
0.21400000000000002,-0.12257365963390363,-1.531575194043365e-07
0.21600000000000003,-0.0683540213630025,-2.0948012360177569e-07
0.21800000000000003,-0.005092160211869651,-1.6040551792061955e-07
0.22000000000000003,-0.02151061931555145,-6.903911132930332e-08
0.22200000000000003,-0.09449591246829205,-5.82542569946005e-08
0.22400000000000003,-0.1220346461192798,-1.3741461651390783e-07
0.22600000000000003,-0.06594614217400901,-1.910974602987005e-07
0.22800000000000004,-0.004173826881929346,-1.3901719938128943e-07
0.23000000000000004,-0.02337416238982242,-4.849784415519322e-08
0.23200000000000004,-0.09651955268652973,-4.119625557499158e-08
0.23400000000000004,-0.12140457111916744,-1.2159082546711738e-07
0.23600000000000004,-0.06353164956962325,-1.7254569328862233e-07
0.23800000000000007,-0.003343766825643023,-1.1753228582083363e-07
0.24000000000000005,-0.0252964959599755,-2.7992563724019842e-08
0.24200000000000005,-0.09849056763221631,-2.417838966528845e-08
0.24400000000000005,-0.12068434639869977,-1.0567945786396854e-07
0.24600000000000005,-0.061114205991329225,-1.5382216066075604e-07
0.24800000000000005,-0.00260328749686786,-9.595265225935661e-08
0.25000000000000006,-0.027274679471464763,-7.523634944922326e-09
0.25200000000000006,-0.10040597455206794,-7.195704219867087e-09
0.25400000000000006,-0.11987501785974833,-8.967386903592197e-08
0.25600000000000006,-0.05869748297134615,-1.349243741475886e-07
0.25800000000000006,-0.001953559443830525,-7.42802351279357e-08
0.26000000000000006,-0.02930568741529857,1.2908720206422555e-08
0.26200000000000007,-0.1022628735461109,9.756894382055917e-09
0.26400000000000007,-0.11897776410199415,-7.356746419267136e-08
0.26600000000000007,-0.05628515543050473,-1.1585001965586702e-07
0.26800000000000007,-0.001395614808043094,-5.2517025681984505e-08
0.2700000000000001,-0.03138641356923595,3.330442659762317e-08
0.2720000000000001,-0.10405845187953189,2.668463436946312e-08
0.2740000000000001,-0.11799389483180708,-5.7353704511673397e-08
0.2760000000000001,-0.05388089647392264,-9.659695755879095e-08
0.2780000000000001,-0.0009303453683221413,-3.0665063311644154e-08
0.2800000000000001,-0.03351367617080831,5.366355962106283e-08
0.2820000000000001,-0.10578998786267257,4.3592874430457146e-08
0.2840000000000001,-0.11692484955985974,-4.1026113178129625e-08
0.28600000000000003,-0.05148837163645316,-7.71632227204071e-08
0.28800000000000003,-0.0005585008747624649,-8.726428761562412e-09
0.29000000000000015,-0.03568422241099167,7.398634864594529e-08
0.2920000000000001,-0.10745485487065291,6.048709938889611e-08
0.2940000000000001,-0.11577219523162505,-2.4578281335955326e-08
0.2960000000000001,-0.04911123365717937,-5.7547024277467863e-08
0.2980000000000001,-0.0002806880095077211,1.329676271844514e-08
0.3000000000000001,-0.03789473356412997,9.427318022829211e-08
0.3020000000000001,-0.10905052516537217,7.737291571211034e-08
0.3040000000000001,-0.11453762453704565,-8.00387397765362e-09
0.3060000000000001,-0.046753116662191535,-3.774674514785397e-08
0.3080000000000001,-9.736904431704367e-05,3.5402368297977535e-08
0.3100000000000001,-0.04014182999692538,1.1452460108528871e-07
0.3120000000000001,-0.11057457352230807,9.425604685761504e-08
0.3140000000000001,-0.11322295342081706,8.703364256178701e-09
0.3160000000000001,-0.04441763093729679,-1.7760941285293978e-08
0.3180000000000001,-8.861114371259435e-06,5.758822453779365e-08
0.3200000000000001,-0.04242207629439546,1.347413208235707e-07
0.3220000000000001,-0.11202468057830228,1.1114232845925269e-07
0.3240000000000001,-0.11183011897777635,2.5549603371020392e-08
0.3260000000000001,-0.042108357387075315,2.4116593190775387e-09
0.3280000000000001,-1.533542240269905e-05,7.985215441197284e-08
0.3300000000000001,-0.04473198645877549,1.5492421441836053e-07
0.33200000000000013,-0.11339863649197093,1.2803770336501652e-07
0.33400000000000013,-0.11036117658168218,4.2540922412341586e-08
0.33600000000000013,-0.03982884190635229,2.2772157916295388e-08
0.33800000000000013,-0.0001168170353482185,1.0219197435750588e-07
0.34000000000000014,-0.047068029204386304,1.7507432444616514e-07
0.34200000000000014,-0.11469434386387331,1.4494821653750559e-07
0.34400000000000014,-0.10881829730473407,5.968330396110937e-08
0.34600000000000014,-0.03758259015280888,4.332148651289315e-08
0.34800000000000014,-0.00031318436764836904,1.2460550134329312e-07
