cell_index,impedance_ohm
0,43.08925347829123
1,43.08925347829123
2,43.08925347829123
3,43.08925347829123
4,43.08925347829123
5,43.08925347829123
6,43.08925347829123
7,43.08925347829123
8,43.08925347829123
9,43.08925347829123
10,43.08925347829123
11,43.08925347829123
12,43.08925347829123
13,43.08925347829123
14,43.08925347829123
15,70.20100727735449
16,70.20100727735449
17,70.20100727735449
18,70.20100727735449
19,43.08925347829123
20,43.08925347829123
21,43.08925347829123
22,43.08925347829123
23,43.08925347829123
24,43.08925347829123
25,43.08925347829123
26,43.08925347829123
27,43.08925347829123
28,43.08925347829123
29,43.08925347829123
30,43.08925347829123
31,43.08925347829123
32,43.08925347829123
33,43.08925347829123
34,43.08925347829123
35,43.08925347829123
36,43.08925347829123
37,43.08925347829123
38,43.08925347829123
39,43.08925347829123
40,43.08925347829123
41,43.08925347829123
42,43.08925347829123
43,43.08925347829123
44,43.08925347829123
45,43.08925347829123
46,43.08925347829123
47,43.08925347829123
48,43.08925347829123
49,70.20100727735449
50,70.20100727735449
51,70.20100727735449
52,70.20100727735449
53,43.08925347829123
54,43.08925347829123
55,43.08925347829123
56,43.08925347829123
57,43.08925347829123
58,43.08925347829123
59,43.08925347829123
60,43.08925347829123
61,43.08925347829123
62,43.08925347829123
63,43.08925347829123
64,43.08925347829123
65,43.08925347829123
66,43.08925347829123
67,43.08925347829123
