finger_length_um,Z0_ohm
27.5072,32.480
27.5836,32.480
27.6600,32.398
27.7364,32.316
27.8128,32.316
27.8892,32.316
27.9656,32.153
28.0420,32.153
28.1184,32.153
28.1948,32.153
28.2713,31.990
28.3477,31.990
28.4241,31.909
28.5005,31.909
28.5769,31.746
28.6533,31.664
28.7297,31.664
28.8061,31.746
28.8825,31.664
28.9589,31.664
29.0353,31.582
29.1117,31.582
29.1882,31.582
29.2646,31.501
29.3410,31.664
29.4174,31.582
29.4938,31.419
29.5702,31.338
29.6466,31.338
29.7230,31.338
29.7994,31.175
29.8758,31.175
29.9522,31.175
30.0287,31.175
30.1051,31.011
30.1815,31.011
30.2579,31.011
30.3343,31.011
30.4107,30.930
30.4871,30.848
30.5635,30.767
30.6399,30.604
30.7163,30.604
30.7927,30.685
30.8691,30.767
30.9456,30.604
31.0220,30.604
31.0984,30.522
31.1748,30.604
31.2512,30.522
31.3276,30.604
31.4040,30.604
31.4804,30.440
31.5568,30.359
31.6332,30.359
31.7096,30.359
31.7861,30.196
31.8625,30.196
31.9389,30.196
32.0153,30.196
32.0917,30.196
32.1681,30.033
32.2445,30.033
32.3209,30.033
32.3973,30.033
32.4737,29.951
32.5501,29.951
32.6266,29.788
32.7030,29.788
32.7794,29.788
32.8558,29.869
32.9322,29.788
33.0086,29.788
33.0850,29.706
33.1614,29.706
33.2378,29.625
33.3142,29.788
33.3906,29.788
33.4670,29.625
33.5435,29.543
33.6199,29.543
33.6963,29.380
33.7727,29.380
33.8491,29.380
33.9255,29.380
34.0019,29.217
34.0783,29.217
34.1547,29.217
34.2311,29.217
34.3075,29.217
34.3840,29.217
34.4604,29.054
34.5368,29.135
34.6132,28.891
34.6896,28.891
34.7660,28.972
34.8424,28.972
34.9188,28.972
34.9952,28.891
35.0716,28.891
35.1480,28.809
35.2245,28.809
35.3009,28.891
35.3773,28.891
35.4537,28.809
35.5301,28.728
35.6065,28.728
35.6829,28.564
35.7593,28.564
35.8357,28.564
35.9121,28.564
35.9885,28.564
36.0649,28.401
36.1414,28.401
36.2178,28.401
36.2942,28.401
36.3706,28.401
36.4470,28.320
36.5234,28.320
36.5998,28.157
36.6762,28.075
36.7526,28.157
36.8290,28.157
36.9054,28.238
